bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[29.0, 79.0]",,,,,,,,,,,0.864,,,,,,,,,,,,c39e1c2b-4c1e-4c61-9689-817f411fd890,3838,,"[31.0, 79.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joaquín Sánchez Rodríguez,6651.0,Right Midfield,190,Real Betis,218,"['03301c21-2e36-48f6-90a4-3fbfb501952f', '586c1767-cb56-483b-bc9e-d903e0a82b29']",8,,,,,,,,,,,,,,,,,Real Betis,218,00:46:08.594,Carry,,2017/2018
,,,,"[96.0, 19.0]",,,,,,,,,,,0.453,,,,,,,,,,,,cc472e17-da95-4d7b-ab82-5781148e3f0d,3842,,"[96.0, 18.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,191,Barcelona,217,"['4df3f664-d8c1-4f6a-814b-24a2f0014239', 'eb82e042-7757-4ea0-8374-054f3572b400']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:46:27.029,Carry,,2017/2018
,,,,"[36.0, 65.0]",,,,,,,,,,,0.741,,,,,,,,,,,,10c27fc7-b776-421e-a7db-3ed6ad35781c,3846,,"[33.0, 64.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Camarasa Ferrando,6659.0,Right Defensive Midfield,192,Real Betis,218,"['2b3310ac-2205-4200-90e8-bb5b98e6fbd7', '3f2af2e7-2818-4e81-a56a-90ffbae92685']",29,,,,,,,,,,,,,,,,,Real Betis,218,00:46:29.379,Carry,,2017/2018
,,,,"[50.0, 35.0]",,,,,,,,,,,0.979,,,,,,,,,,,,e3347118-ca71-4de4-8d86-f3e517b85750,3851,,"[43.0, 38.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Andrés Guardado Hernández,5563.0,Left Defensive Midfield,192,Real Betis,218,"['4141794b-bba5-4591-a52c-7da8b07420b6', 'f07c1e24-97ed-4c38-b891-c062a492234c']",33,,,,,,,,,,,,,,,,,Real Betis,218,00:46:33.024,Carry,,2017/2018
,,,,"[77.0, 5.0]",,,,,,,,,,,3.392,,,,,,,,,,,,d6474a59-8405-4fae-af27-542cac3f0306,3854,,"[66.0, 18.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cristian Tello Herrera,6658.0,Left Center Forward,192,Real Betis,218,"['0a70c336-1b88-4551-b157-867a4d7b1e50', '408aa09f-39d6-4729-885b-b45b8fa26443', 'd8aea903-e97c-4dc6-b36f-04597341fa35']",36,,,,,,,,,,,,,,,,,Real Betis,218,00:46:36.581,Carry,True,2017/2018
,,,,"[44.0, 69.0]",,,,,,,,,,,1.524,,,,,,,,,,,,3e1a5923-1fb8-4ad9-9c6a-26075496dc27,3859,,"[41.0, 69.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Deulofeu Lázaro,3726.0,Right Center Midfield,193,Barcelona,217,"['3842e2af-dce9-4d30-81f0-3bd13785a59b', '65fd6f0f-f138-4204-85f6-6a74b6ed7dde', '97385dc5-63e0-4504-a7b5-3956a1132f2a']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:46:41.386,Carry,True,2017/2018
,,,,"[44.0, 49.0]",,,,,,,,,,,1.32,,,,,,,,,,,,38aad8a8-f130-4712-8052-7da4989af4f6,3865,,"[41.0, 50.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Left Wing,194,Barcelona,217,"['69da106e-bff2-4061-9dff-804db860ad05', '752a0527-4db6-4ec6-84ec-6d0d17a05735']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:46:52.392,Carry,,2017/2018
,,,,"[55.0, 36.0]",,,,,,,,,,,1.181,,,,,,,,,,,,545c8790-61c0-4b4d-bf04-a7ecd088fc50,3868,,"[57.0, 36.0]",9765,91,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Paulo Bezzera Maciel Júnior,5542.0,Left Center Midfield,194,Barcelona,217,"['08888ec4-a1cb-4752-9fc2-21b77b9269b6', 'e2692079-188d-44ad-926b-fc408b6d1f70']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:46:54.673,Carry,,2017/2018
,,,,,,,,,,,,,,,1.713,,,,,,,,,,,,82b1d69a-2570-45f9-a95a-7dabfc0983a7,12,,"[58.0, 9.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Wing,2,Real Betis,218,"['056bed6f-4ed4-451c-b54d-dfa44d13ce05', '55b522c3-24fc-4325-9266-37a79f16f966', '86d3add3-6ac9-46aa-bca1-33d328f3d31f']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.035,Pressure,,2017/2018
,,,,,,,,,,,,,,,0.499,,,,,,,,,,,,c61495f5-b652-40a5-b01a-6d50dd3e9504,22,,"[61.0, 36.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Midfield,2,Real Betis,218,,16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.632,Pressure,,2017/2018
