50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.0514,,,,,,,,,,,,,e2eac857-47b3-4ae3-93c8-b93c94a8c362,18,,"[26.9, 10.4]",267670,0,,,,,-0.20550787,,Left Foot,,,,"[62.4, 3.0]",,High Pass,,36.263065,,Incomplete,,Rubén Castro Martín,6832.0,,,,,,,1,From Kick Off,Germán Alejandro Pezzella,7161.0,Left Center Back,2,Real Betis,218,"['2d12c36c-e6d8-4908-817e-bed9c1cdf5e1', '6993f69e-7c4b-4983-82d8-4f2be519d351']",20,,,,,,,,,,,,,,,,Real Betis,218,00:00:20.447,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0075,,,,,,,,,,,,,d443c1e9-3eb9-4566-8511-28f3a4c98f63,21,,"[63.3, 0.1]",267670,0,,,,,0.67615736,,,,,,"[71.9, 7.0]",,High Pass,,11.025879,,,,Rubén Castro Martín,6832.0,,,,,,Throw-in,1,From Throw In,Riza Durmisi,6646.0,Left Wing Back,3,Real Betis,218,['615a51ef-257a-4e5e-b554-9bbe57b6210a'],36,,,,,,,,,,,,,,,,Real Betis,218,00:00:36.067,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5431,,,,,,,,,,,,,f6c81c80-3809-452b-b31c-7c3890ba91ef,23,,"[71.9, 7.0]",267670,0,,,,,0.94270825,,Head,,,,"[78.0, 15.4]",,High Pass,,10.381233,,,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,,1,From Throw In,Rubén Castro Martín,6832.0,Left Center Forward,3,Real Betis,218,['6432edbd-f992-488d-8ae7-ef9583f6563e'],37,,,,,,,,,,,,,,,,Real Betis,218,00:00:37.074,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.940826,,,,,,,,,,,,,2d592dc6-6cbc-4122-9224-b7b489fc5f64,27,,"[76.9, 15.4]",267670,0,,,,,-1.3146449,,Right Foot,,,,"[78.0, 11.2]",,Ground Pass,,4.3416586,,Incomplete,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,,1,From Throw In,Arnaldo Antonio Sanabria Ayala,6880.0,Right Center Forward,3,Real Betis,218,"['273088b0-9b27-4f6f-8684-ef2ccd10eef7', '33060365-724d-41fb-a2ac-b0bd43311eeb', 'c6ac1891-4ab9-471a-b4d0-9e169c6428de']",39,,,,,,,,,,,,,,,,Real Betis,218,00:00:39.410,Pass,True,2016/2017
,,,,,,,,,,,,,,,,0.6664,,,,,,,,,,,,,f71b07a4-c9a9-42ae-ba9a-bc8ef8058013,33,,"[70.4, 15.0]",267670,0,,,,,0.13758674,,Left Foot,,,,"[76.9, 15.9]",,Ground Pass,,6.5620117,,,,Rubén Castro Martín,6832.0,,,,,,,1,From Throw In,Riza Durmisi,6646.0,Left Wing Back,3,Real Betis,218,"['67433ebf-7f8c-4def-a924-e8f408da36f5', 'a57e0682-3d57-4da4-86d5-5c6eb4948f66']",43,,,,,,,,,,,,,,,,Real Betis,218,00:00:43.261,Pass,True,2016/2017
,,,,,,,,,,,,,,,,0.7692,,,,,,,,,,,,,f884d46c-d55a-4db7-adb5-a2cde76ff1af,36,,"[76.9, 15.9]",267670,0,,,,,1.7539071,,Left Foot,,,,"[75.9, 21.3]",,Ground Pass,,5.491812,,,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,,1,From Throw In,Rubén Castro Martín,6832.0,Left Center Forward,3,Real Betis,218,['7c7afc02-0397-403b-8610-b1d35c851546'],44,,,,,,,,,,,,,,,,Real Betis,218,00:00:44.050,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.096883,,,,,,,,,,,,,c47edc63-b7e1-48cc-980d-42ac2cfec31e,39,,"[75.9, 21.3]",267670,0,,,,,-1.6114715,,Right Foot,,,,"[75.2, 4.1]",,Ground Pass,,17.21424,,,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,,1,From Throw In,Arnaldo Antonio Sanabria Ayala,6880.0,Right Center Forward,3,Real Betis,218,['126bada9-a35b-494a-bc14-3318e31fdfec'],44,,,,,,,,,,,,,,,,Real Betis,218,00:00:44.859,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.8002,,,,,,,,,,,,,e5f88784-1e21-421d-b5ab-272a7bff5aa1,42,,"[77.3, 6.0]",267670,0,,,,,1.4357351,,Left Foot,,,,"[85.1, 63.4]",,High Pass,,57.92754,,,,Álvaro Cejudo Carmona,26723.0,,,True,,,,1,From Throw In,Felipe Alejandro Gutiérrez Leiva,12789.0,Left Center Midfield,3,Real Betis,218,['7dca5781-fcfe-445b-8e0a-20dfe11dcf2c'],47,,,,,,,,,,,,,,,,Real Betis,218,00:00:47.569,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.9547,,,,,,,,,,,,,03a6bfcd-15ec-4f9a-8e61-06210351f66c,45,,"[85.1, 63.4]",267670,0,,,,,-1.4319113,,Right Foot,,,,"[86.4, 54.1]",,Low Pass,,9.390421,,,,Jonas Martin,2950.0,,,,,,,1,From Throw In,Álvaro Cejudo Carmona,26723.0,Right Wing Back,3,Real Betis,218,['02478b39-c214-4651-be97-cf8e56ade41d'],50,,,,,,,,,,,,,,,,Real Betis,218,00:00:50.410,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.911683,,,,,,,,,,,,,e54627be-42da-4d0a-93e5-cc55d3f7fad9,48,,"[86.4, 54.1]",267670,0,,,,,2.5070398,,Right Foot,,,,"[79.2, 59.4]",,Ground Pass,,8.940358,,,,Álvaro Cejudo Carmona,26723.0,,,,,,,1,From Throw In,Jonas Martin,2950.0,Right Center Midfield,3,Real Betis,218,['1a56cd41-b86c-4049-ac27-52efd6985060'],51,,,,,,,,,,,,,,,,Real Betis,218,00:00:51.404,Pass,,2016/2017
