ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.707988,,,,,,,,,,,,,,263b786d-7169-4813-b645-5355d7d482e0,17,,"[40.6, 50.9]",266952,0,,,,-1.365564,,Right Foot,,,,"[50.8, 1.9]",,Ground Pass,50.050373,,,,Lucas Digne,6849.0,,True,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['51eda4c1-3aed-43de-8651-929801780456'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.353,Pass,,2016/2017
,,,,,,,,,,,,,,,1.325972,,,,,,,,,,,,,,50da6506-718c-421a-9dec-896012f10ccd,20,,"[50.8, 2.7]",266952,0,,,,2.3256695,,Left Foot,,,,"[38.1, 16.2]",,Ground Pass,18.534832,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Back,2,Barcelona,217,['dae7e3d9-25db-42ef-8668-02e6d20755ba'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.145,Pass,,2016/2017
,,,,,,,,,,,,,,,1.654016,,,,,,,,,,,,,,02917bf3-d622-489e-a665-b1f14ce00ea1,23,,"[38.1, 17.5]",266952,0,,,,1.7298986,,Left Foot,,,,"[32.5, 52.4]",,Ground Pass,35.346428,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['fd2705c5-5fb5-4bfa-a299-777f269c70e9'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.605,Pass,,2016/2017
,,,,,,,,,,,,,,,1.392924,,,,,,,,,,,,,,279d5d23-ac2b-4e4a-83a6-3427a8e7b3f1,26,,"[42.8, 53.0]",266952,0,,,,-1.6697369,,Right Foot,,,,"[40.1, 25.8]",,Ground Pass,27.33368,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['bc6f079b-d33c-410f-bc6b-fa825522a69a'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.168,Pass,,2016/2017
,,,,,,,,,,,,,,,1.3092,,,,,,,,,,,,,,3714ca84-ee70-4eec-a171-912a84d1a156,29,,"[43.0, 22.7]",266952,0,,,,-1.0348678,,Left Foot,,,,"[54.7, 3.0]",,Ground Pass,22.912441,,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['70cb5b60-91d6-44bb-8560-c1ceb6df94d7'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.068,Pass,,2016/2017
,,,,,,,,,,,,,,,0.695483,,,,,,,,,,,,,,efc9a7db-4297-4f48-a7fa-f987125f7b56,33,,"[54.0, 3.3]",266952,0,,,,-0.13010205,,Left Foot,,,,"[64.7, 1.9]",,Ground Pass,10.7912,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Back,2,Barcelona,217,"['2e3cf45b-6968-4dcf-8424-169e311c769f', 'fa50fe67-1db1-412f-9a17-8e4d0115a10d']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.596,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.105351,,,,,,,,,,,,,,17fc21fa-c92e-4a9f-9bdd-a12ab94e90c6,35,,"[64.9, 3.7]",266952,0,,,,-0.42456138,,Left Foot,,,,"[72.2, 0.4]",,Ground Pass,8.011242,,Out,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['bfdc78d9-d932-41e5-959a-4ed86825751f'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.292,Pass,,2016/2017
,,,,,,,,,,,,,,,3.1508,,,,,,,,,,,,,,e73572c5-09eb-4bbb-ba0a-9e05db386eea,37,,"[53.2, 80.0]",266952,0,,,,-0.74818134,,,,,,"[72.7, 61.9]",,High Pass,26.605639,,Incomplete,,Cédric Bakambu,6862.0,,,,,Throw-in,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,3,Villarreal,222,"['a661b750-9f39-4752-b678-86f4fa133cac', 'd34a3ac8-ab96-4ffb-800c-1868bfca030f']",43,,,,,,,,,,,,,,,,,Villarreal,222,00:00:43.072,Pass,,2016/2017
,,,,,,,,,,,,,,,1.5738,,,,,,,,,,,,,,d34a3ac8-ab96-4ffb-800c-1868bfca030f,39,,"[47.4, 18.2]",266952,0,,,,0.40009692,,Right Foot,,,,"[70.1, 27.8]",,High Pass,24.646502,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Villarreal,222,"['a518d44a-2c8b-4b01-abb1-0f7f8d4c24a4', 'e73572c5-09eb-4bbb-ba0a-9e05db386eea']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.222,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0496,,,,,,,,,,,,,,5ee2cf20-de31-4d3d-83e1-cf2fa402f13e,41,,"[68.5, 26.4]",266952,0,,,,0.7032306,,Head,,,,"[82.3, 38.1]",,High Pass,18.092264,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Villarreal,222,"['3f167d19-164f-4f66-af03-873173797871', 'bc7c2b4b-eb33-464a-8832-66df16ff2af6']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.916,Pass,,2016/2017
