bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,595bc6da-3f82-4ca1-a668-10ac98aacafd,1,,,69176,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19767, 'name': 'Giorgios Seitaridis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26392, 'name': 'Fabiano Eler dos Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 26118, 'name': 'Antonio López Guerrero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26123, 'name': 'Peter Luccin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 19760, 'name': 'Nuno Ricardo de Oliveira Ribeiro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 26122, 'name': 'Luciano Martín Galletti'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 19888, 'name': 'Martin Petrov'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a480dd29-49c0-484c-bb42-e3350e62ee79,2,,,69176,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,97b8ea70-a7c5-4860-9ab5-1f620a319521,3,,,69176,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['510ba67d-20e6-4dc5-bf44-5e4368b436c2'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,510ba67d-20e6-4dc5-bf44-5e4368b436c2,4,,,69176,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['97b8ea70-a7c5-4860-9ab5-1f620a319521'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e0161a56-c751-4aeb-ad34-cf3671824c62,1477,,,69176,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,101,Atlético Madrid,212,['f1930041-2bc2-4fc2-a0b1-a7135a59babb'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1930041-2bc2-4fc2-a0b1-a7135a59babb,1478,,,69176,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,101,Atlético Madrid,212,['e0161a56-c751-4aeb-ad34-cf3671824c62'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.440872,,,,,,,,,,,,,,e39c59d5-d213-4bd6-89d7-fead9bcac211,5,,"[60.0, 40.0]",69176,0,,True,,,-2.2318394,,Right Foot,,,"[59.3, 39.1]",,Ground Pass,,1.1401755,,,,José Manuel Jurado Marín,6870.0,,,,,,Kick Off,1,From Kick Off,Fernando José Torres Sanz,6382.0,Center Forward,2,Atlético Madrid,212,['f89f1810-66d0-43a8-81f0-b5618d124425'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.370,Pass,,2006/2007
,,,,,,,,,,,,,,2.338069,,,,,,,,,,,,,,c3dbf57a-5912-4847-88b5-d33f40585f54,7,,"[58.5, 39.1]",69176,0,,,,,2.7697911,,Left Foot,,,"[42.6, 45.3]",,Ground Pass,,17.066048,,,,Peter Luccin,26123.0,,,,,,,1,From Kick Off,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,2,Atlético Madrid,212,['8892a9e6-8c97-4fcb-848c-cb54ae1e203c'],1,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.617,Pass,,2006/2007
,,,,,,,,,,,,,,1.32258,,,,,,,,,,,,,,9e42c7bd-ac32-4c56-bd63-852f04ff0320,10,,"[40.9, 37.6]",69176,0,,,,,-1.9997184,,Right Foot,,,"[33.4, 21.2]",,Ground Pass,,18.033579,,,,Fabiano Eler dos Santos,26392.0,,,,,,,1,From Kick Off,Peter Luccin,26123.0,Right Center Midfield,2,Atlético Madrid,212,['d7cf460a-5079-458c-a305-aee9755da4c8'],5,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.212,Pass,,2006/2007
,,,,,,,,,,,,,,2.282,,,,,,,,,,,,,,816aa8b1-8a9b-414e-93b4-3a3ff923ccbb,13,,"[31.0, 13.3]",69176,0,,,,,0.25035232,,Left Foot,,,"[79.1, 25.6]",,High Pass,,49.64776,,Incomplete,,Fernando José Torres Sanz,6382.0,,,,,,,1,From Kick Off,Fabiano Eler dos Santos,26392.0,Left Center Back,2,Atlético Madrid,212,"['897f09a0-a27f-44f5-a74a-2ca4ba54dbf3', 'f16de37e-cd03-40ed-aa7d-affcea549db0']",9,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:09.362,Pass,,2006/2007
