50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.918692,,,,,,,,,,,,,33f56db6-c06c-4a61-8e6d-ec7c7e6efd25,17,,"[37.5, 77.4]",9620,0,,,,,-1.2847449,,Left Foot,,,,"[39.0, 72.3]",,Ground Pass,,5.3160133,,,,Cristian Portugués Manzanera,6582.0,,,,,,1,From Kick Off,Jonás Ramalho Chimeno,6887.0,Right Center Back,2,Girona,211,['ad417518-be33-4ace-b53e-292d2a38740d'],10,,,,,,,,,,,,,,,,,,Girona,211,00:00:10.968,Pass,,2017/2018
,,,,,,,,,,,,,,0.719918,,,,,,,,,,,,,444e517b-5b3b-4b2e-b6d7-df952a6c1eea,20,,"[41.1, 71.6]",9620,0,,,,,0.7853982,,Right Foot,,,,"[46.7, 77.2]",,Ground Pass,,7.9195957,,,,Jonás Ramalho Chimeno,6887.0,,,,,,1,From Kick Off,Cristian Portugués Manzanera,6582.0,Right Wing Back,2,Girona,211,['44f4ac5e-7157-4b80-9707-d2bfc3f67488'],12,,,,,,,,,,,,,,,,,,Girona,211,00:00:12.576,Pass,,2017/2018
,,,,,,,,,,,,,,0.94502,,,,,,,,,,,,,dc564a8e-5c8b-417e-8346-f2618333cf4f,23,,"[47.5, 77.4]",9620,0,,,,,-0.055842504,,Right Foot,,,,"[63.6, 76.5]",,Ground Pass,,16.125135,,,,Aleix García Serrano,6888.0,,,,,,1,From Kick Off,Jonás Ramalho Chimeno,6887.0,Right Center Back,2,Girona,211,['159e9eb7-0bc1-46c6-bfdc-03406a5d4bac'],13,,,,,,,,,,,,,,,,,,Girona,211,00:00:13.426,Pass,,2017/2018
,,,,,,,,,,,,,,1.271184,,,,,,,,,,,,,c54e52dc-a289-493c-8b88-6aac4415ead1,26,,"[51.0, 0.1]",9620,0,,True,,,2.4514468,,,,,,"[42.4, 7.2]",,Low Pass,,11.15213,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['3affde09-3940-484d-ac2c-a11595b272c3'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.707,Pass,,2017/2018
,,,,,,,,,,,,,,1.133341,,,,,,,,,,,,,bb026902-ac1b-4d71-bafa-67ce192ef453,29,,"[51.0, 5.5]",9620,0,,,,,-3.02069,,Right Foot,,,,"[40.3, 4.2]",,Ground Pass,,10.778683,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Midfield,3,Barcelona,217,"['607ed145-1c32-44d8-bff6-9b156785a9a8', 'c0aa4873-a45c-4cac-a77f-832d0c9a3c23']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.056,Pass,True,2017/2018
,,,,,,,,,,,,,,1.428888,,,,,,,,,,,,,04443b79-f32f-4dfc-bb9d-ff1cca3b5362,32,,"[37.5, 2.5]",9620,0,,,,,3.1031501,,Right Foot,,,,"[21.9, 3.1]",,Ground Pass,,15.611534,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['e86f1f77-cd0b-46d4-8de7-119469d2c886'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.730,Pass,,2017/2018
,,,,,,,,,,,,,,1.124764,,,,,,,,,,,,,2eeb1c8b-a10d-483d-9955-585a2f675b2e,36,,"[20.8, 3.6]",9620,0,,,,,1.3111666,,Left Foot,,,,"[24.2, 16.4]",,Ground Pass,,13.243867,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['2e617315-d6ff-4e15-94f8-66d600c1b7ab', 'cb8a51c3-365f-483a-950e-0c9b3e417484']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.626,Pass,True,2017/2018
,,,,,,,,,,,,,,1.373998,,,,,,,,,,,,,56ee1ee4-bab9-4694-86ba-a1217a81f399,39,,"[25.7, 21.5]",9620,0,,,,,1.3171222,,Right Foot,,,,"[31.3, 43.1]",,Ground Pass,,22.314121,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Left Defensive Midfield,3,Barcelona,217,['eeccb53d-34c1-4f48-ab92-453a936909e7'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.403,Pass,,2017/2018
,,,,,,,,,,,,,,2.472432,,,,,,,,,,,,,9e50ab8b-d601-4028-8c60-ae83a722e152,42,,"[52.9, 51.3]",9620,0,,,,,-1.3598492,,Right Foot,,,,"[62.9, 4.6]",,High Pass,,47.758663,,,,Jordi Alba Ramos,5211.0,,True,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['64134d8c-fb99-4509-9c4b-bce2910c0fa4'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.283,Pass,,2017/2018
,,,,,,,,,,,,,,0.775413,,,,,,,,,,,,,e57c45c1-6450-40b1-8569-2d47a50a8382,45,,"[57.8, 5.3]",9620,0,,,,,1.1186424,,Right Foot,,,,"[61.2, 12.3]",,Ground Pass,,7.7820306,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['bb22aabd-e8db-4053-a57f-ca94ff3ca881'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.715,Pass,,2017/2018
