50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43b2d50a-67ce-490c-ad5a-9a882c1ab6d2,1,,,266066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c84ecf6c-47dd-47a3-af52-015f637884da,2,,,266066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25971, 'name': 'Esteban Andrés Suárez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27516, 'name': 'Rafael Ramos Lozano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27515, 'name': 'Marco Natanel Torsiglieri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27246, 'name': 'Sebastián Dubarbier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 24127, 'name': 'Ramon Olamilekan Azeez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27458, 'name': 'Jonathan Sundy Zongo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26432, 'name': 'Miguel Ángel García Pérez Roldán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 24145, 'name': 'Rodrigo Ríos Lozano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Almería,403,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23676a6f-291c-4331-a84e-49624f827314,3,,,266066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2b273993-8246-4073-94dd-a325282a933e'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b273993-8246-4073-94dd-a325282a933e,4,,,266066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['23676a6f-291c-4331-a84e-49624f827314'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,595d3fa5-69e4-4aa2-ad88-2ebfc056dfdc,1828,,,266066,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['9dcab79f-e5ea-434e-a7be-c15b08e7179c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9dcab79f-e5ea-434e-a7be-c15b08e7179c,1829,,,266066,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['595d3fa5-69e4-4aa2-ad88-2ebfc056dfdc'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.4146,,,,,,,,,,,,,,5e976462-f340-42b3-b056-778ecb41893b,5,,"[60.0, 40.0]",266066,0,,,,,0.72297937,,Right Foot,,,,"[61.7, 41.5]",,Ground Pass,,2.2671568,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['fbb2376d-e200-4113-aa83-e464f64668dd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.560,Pass,,2013/2014
,,,,,,,,,,,,,,,,,1.120456,,,,,,,,,,,,,,ecd1dfc3-6eba-4a1d-9d82-d3a52a6cf777,7,,"[61.4, 42.4]",266066,0,,,,,-2.435838,,Right Foot,,,,"[49.9, 32.6]",,Ground Pass,,15.109269,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['f43be0c3-8f36-4761-9acf-f0f46511b95b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.975,Pass,,2013/2014
,,,,,,,,,,,,,,,,,1.444469,,,,,,,,,,,,,,5634b3d5-be4d-42ef-8d5a-5638c40a4a43,10,,"[51.8, 30.4]",266066,0,,,,,-1.4478672,,Right Foot,,,,"[55.0, 4.5]",,Ground Pass,,26.096935,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['15c414f1-e8f1-4025-ad5d-a303e807ebcd'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.225,Pass,,2013/2014
,,,,,,,,,,,,,,,,,0.918659,,,,,,,,,,,,,,549db7a1-382a-4ded-9c3a-5af14fc0d780,13,,"[52.0, 4.0]",266066,0,,,,,2.540138,,Right Foot,,,,"[41.8, 11.0]",,Ground Pass,,12.370934,,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['9a053465-9b04-4538-b51c-f0c8ae62c43a'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.896,Pass,,2013/2014
