bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.273769,,,,,,,,,,,,,,,,8de41b66-3792-42e6-825d-021a0c08f55e,17,,"[32.5, 42.6]",69170,0,,,,,-1.3590648,,Right Foot,,,,"[34.8, 31.9]",,Ground Pass,,10.944405,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['05c55534-98c4-4408-bac3-38f52e209e36'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.018,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.931628,,,,,,,,,,,,,,,,fd0a700f-b53b-4a65-9f2f-f2d4e937e7f8,20,,"[34.8, 27.7]",69170,0,,,,,1.6778619,,Left Foot,,,,"[32.5, 49.1]",,Ground Pass,,21.523243,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['eef18f4a-f7c3-4fad-8e52-b7a82882ed55'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.292,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.801501,,,,,,,,,,,,,,,,042d6b40-e2c2-48bd-8891-27f4b9440d45,23,,"[35.4, 50.2]",69170,0,,,,,0.865685,,Right Foot,,,,"[43.4, 59.6]",,Ground Pass,,12.343419,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['b7bb0bb2-81ba-4ff9-b32d-98e11f189986'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.344,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.252847,,,,,,,,,,,,,,,,50afa6e5-f581-410b-b300-49d4d3278ced,26,,"[56.4, 58.4]",69170,0,,,,,-1.5707964,,Right Foot,,,,"[56.4, 35.9]",,Ground Pass,,22.5,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,2,Barcelona,217,['62d4f303-87ea-4541-a725-39bea1dc4a77'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.557,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.405316,,,,,,,,,,,,,,,,1c3e5b4e-fb33-4b82-b1df-7beab443c591,29,,"[54.5, 33.1]",69170,0,,,,,-2.3654535,,Right Foot,,,,"[43.6, 22.4]",,Ground Pass,,15.274161,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['e9556093-6d30-4cf6-ac90-380f1fed6b3b'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.167,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.943678,,,,,,,,,,,,,,,,81338687-06f1-425b-9935-21de57d1c6ee,33,,"[42.8, 22.8]",69170,0,,,,,2.6430578,,Left Foot,,,,"[16.9, 36.9]",,Ground Pass,,29.48932,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,"['0e4bc736-c7d1-47fc-afd3-6534aa2a2007', '22396e85-922f-41f6-be36-156ea8e22938']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.592,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.457764,,,,,,,,,,,,,,,,63216521-0935-4102-a5d3-4b021965668c,36,,"[19.4, 39.0]",69170,0,,,,,0.71435684,,Right Foot,,,,"[33.7, 51.4]",,Ground Pass,,18.927494,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['d9756274-d583-4531-a255-171bb2084590'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.800,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.237052,,,,,,,,,,,,,,,,661135af-2a58-445a-bc69-876453d2ec71,39,,"[44.4, 50.0]",69170,0,,,,,1.4448837,,Left Foot,,,,"[47.4, 73.7]",,Ground Pass,,23.889118,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['ddb907d3-5fef-4201-bf44-e2177f76a298'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.819,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.818386,,,,,,,,,,,,,,,,da1baf17-f3ac-40bb-a176-8090ac0cb13b,42,,"[49.1, 74.3]",69170,0,,,,,-1.359703,,Right Foot,,,,"[51.8, 61.7]",,Ground Pass,,12.886039,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['03a0ca62-d9a9-464d-8128-661f5b88a71b'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.194,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.072023,,,,,,,,,,,,,,,,934c5fb7-9e4b-4fb2-b3fa-91d5b5229647,46,,"[51.4, 62.6]",69170,0,,,,,2.1302352,,Right Foot,,,,"[44.7, 73.3]",,Ground Pass,,12.624579,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['1f3f8fe5-13e5-4710-9ce5-f8458a6f72c9', '246bc4a8-3636-4fce-8c1e-92e407cb1699']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.054,Pass,True,2007/2008
