ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.4769,,,,,,,,,,,,,,,,353b7ea5-24e1-4dcc-a8d5-aa3721996a7f,17,,"[56.0, 14.4]",69158,0,,,,,0.27952215,,Left Foot,,,"[99.2, 26.8]",High Pass,,44.94441,,,Incomplete,,Álvaro Negredo Sánchez,20542.0,,,,,,,1,From Kick Off,Santiago Wilmer Acasiete Ariadela,26434.0,Left Center Back,2,Almería,403,"['15dec5bd-072c-4bc1-8dc1-21e5aaf31def', '8abf1b95-d74e-4899-8303-c89606f6d127']",16,,,,,,,,,,,,,,,,,,Almería,403,00:00:16.037,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.1643,,,,,,,,,,,,,,,,8abf1b95-d74e-4899-8303-c89606f6d127,19,,"[21.8, 54.2]",69158,0,,,,,0.71200085,,Head,,,"[29.1, 60.5]",Low Pass,,9.642613,,,,,Gianluca Zambrotta,15774.0,,,,,,Interception,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Almería,403,"['353b7ea5-24e1-4dcc-a8d5-aa3721996a7f', 'f428cbdf-1384-4b6e-bff7-1411e514a15e']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.514,Pass,,2007/2008
,,,,,,,,,,,,,,,,3.0116,,,,,,,,,,,,,,,,0b961551-41af-4287-9d7c-c284d49683eb,23,,"[31.9, 60.3]",69158,0,,,,,0.3286312,,Right Foot,,,"[58.0, 69.2]",High Pass,,27.575714,,,Incomplete,,,,,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Almería,403,['663e5d37-92d5-4fca-9ff1-e92398bd1933'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.718,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.5218,,,,,,,,,,,,,,,,663e5d37-92d5-4fca-9ff1-e92398bd1933,25,,"[63.0, 11.8]",69158,0,,,,True,0.66206044,,,,,"[69.8, 17.1]",Low Pass,,8.621485,,,Incomplete,,Albert Crusat Domene,26437.0,,,,,,Recovery,1,From Kick Off,Juan Jesús Gutiérrez Robles,25883.0,Center Defensive Midfield,2,Almería,403,"['0b961551-41af-4287-9d7c-c284d49683eb', '15913abc-41b0-44ec-9891-0d188ccb99c5', '938b68a6-15d9-494c-8b6d-4b8db6679dd2', 'd755a045-7dcc-4175-81e3-c905a5a1a2d9']",22,,,,,,,,,,,,,,,,,,Almería,403,00:00:22.730,Pass,True,2007/2008
,,,,,,,,,,,,,,,,0.809276,,,,,,,,,,,,,,,,485428a2-1349-45ef-9d52-9e3a23a4e16e,29,,"[75.7, 17.4]",69158,0,,,,,-1.4920124,,Left Foot,,,"[76.6, 6.0]",Low Pass,,11.435472,,,,,José Manuel Jiménez Ortiz,26436.0,,,,,,Recovery,1,From Kick Off,Albert Crusat Domene,26437.0,Left Wing,2,Almería,403,"['927cb887-e8f7-4077-a344-5fa9fc464dff', 'e3e4fc45-1c74-4765-b81d-04c7ac5e50b3']",24,,,,,,,,,,,,,,,,,,Almería,403,00:00:24.339,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.4666,,,,,,,,,,,,,,,,9d67be22-ccf4-419d-abc8-0f123ba51b8d,32,,"[85.6, 6.5]",69158,0,,,,,0.96113646,,Left Foot,,,"[94.4, 19.1]",Ground Pass,,15.368799,,,Incomplete,,Albert Crusat Domene,26437.0,,,,,,,1,From Kick Off,José Manuel Jiménez Ortiz,26436.0,Left Back,2,Almería,403,"['8da378f9-700c-43f2-b622-9cf925ad1159', 'ae2ef76e-c1cf-4662-b584-9552cf9d522b']",28,,,,,,,,,,,,,,,,,,Almería,403,00:00:28.359,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.678656,,,,,,,,,,,,,,,,b428a8a0-12de-4e27-a7d3-fab03f48b79d,37,,"[31.0, 58.8]",69158,0,,,,,-0.94270825,,Right Foot,,,"[37.1, 50.4]",Ground Pass,,10.381233,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['1022dd70-aec7-47fb-bfa1-2ab5e6c64c7c'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.037,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.346034,,,,,,,,,,,,,,,,0db52de5-afe4-4546-a503-1a6701d05efb,41,,"[37.5, 50.8]",69158,0,,,,,-1.7694204,,Right Foot,,,"[31.2, 19.5]",Ground Pass,,31.92773,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,3,Barcelona,217,"['3f364bd1-a3e3-4104-8edf-c2f3fce56229', '88960c62-1a15-4dda-a60a-8a8e56898859']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.737,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.81411,,,,,,,,,,,,,,,,7ab20437-9c16-4abf-bcb1-cabd7d52a447,44,,"[35.4, 17.2]",69158,0,,,,,-0.2742928,,Left Foot,,,"[58.5, 10.7]",Ground Pass,,23.997084,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['bc5f6c41-bf49-4b68-a0d0-250f121d7ab3'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.667,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.3892,,,,,,,,,,,,,,,,eb0289ad-c462-49c4-bb4d-0d584b0d4310,56,,"[105.6, 61.1]",69158,0,,,,,0.27829966,,Right Foot,,,"[117.5, 64.5]",Ground Pass,,12.376186,,,,,Bruno Saltor Grau,3095.0,,,,,,,1,Regular Play,Fernando Soriano Marco,26435.0,Right Center Midfield,3,Barcelona,217,['73dda9bd-288d-42ba-80fb-3b8f58235d7a'],46,,,,,,,,,,,,,,,,,,Almería,403,00:00:46.089,Pass,,2007/2008
