bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20422035-9158-4f34-9740-ec288832f7da,1,,,3773547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4513ce6e-6430-4ac2-a632-860f28f66d89,2,,,3773547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24211, 'name': 'Sergio Herrera Pirón'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6591, 'name': 'Ignacio Vidal Miralles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23949, 'name': 'Unai García Lugea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6693, 'name': 'Raúl Rodríguez Navas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 30277, 'name': 'Jon Moncayola Tollar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 23945, 'name': 'Iñigo Pérez Soto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 8654, 'name': 'Ante Budimir'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Osasuna,422,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,df3a3106-985b-4064-b95f-0426d00c2d0e,3,,,3773547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9eddc57a-8cc2-4141-b128-6257bfda9b84'],0,,,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9eddc57a-8cc2-4141-b128-6257bfda9b84,4,,,3773547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['df3a3106-985b-4064-b95f-0426d00c2d0e'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,75e717b5-c8b3-42da-ab9e-3e73ea2f159c,2128,,,3773547,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Osasuna,422,['2f25b94e-9793-422a-9fc3-d8b7328bfa16'],0,,,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2f25b94e-9793-422a-9fc3-d8b7328bfa16,2129,,,3773547,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Osasuna,422,['75e717b5-c8b3-42da-ab9e-3e73ea2f159c'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,1.463899,,,,,,,,,,,,266ef5bc-8272-4daa-87f8-f9537956ed79,5,,"[60.0, 40.0]",3773547,0,,,,-2.593352,,Right Foot,,,,"[46.9, 32.0]",,Ground Pass,,15.349593,,,,Frenkie de Jong,8118.0,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Barcelona,217,['b4508ed0-4eab-4287-85db-fd054a3c3b15'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.969,Pass,,2020/2021
,,,,,,,,,,,,,,,1.633448,,,,,,,,,,,,0e8e7170-589f-47d6-899b-767cbdf6ab18,8,,"[47.1, 33.3]",3773547,0,,,,-1.3499676,,Right Foot,,,,"[51.5, 13.7]",,Ground Pass,,20.087807,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Defensive Midfield,2,Barcelona,217,['bb3763b3-fec2-47a6-98d9-8faf8a5e4277'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.934,Pass,,2020/2021
,,,,,,,,,,,,,,,2.083155,,,,,,,,,,,,f02781fe-a036-4eb0-9472-ef858826c500,11,,"[51.5, 13.7]",3773547,0,,,,1.7934976,,Left Foot,,,,"[41.4, 58.3]",,High Pass,,45.729313,,,,Óscar Mingueza García,43728.0,,True,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['6759d5c1-5da7-4299-90a0-d96c395abad4'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.528,Pass,,2020/2021
,,,,,,,,,,,,,,,1.236717,,,,,,,,,,,,bbddf43a-e1d8-4c28-bda1-7464fa593890,14,,"[41.4, 58.3]",3773547,0,,,,-1.8389071,,Right Foot,,,,"[33.9, 31.0]",,Ground Pass,,28.311481,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['1f7a184e-3b1f-479e-a7ab-2225927d27f1'],9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.227,Pass,,2020/2021
