50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f8c665f5-99ef-4419-a5bc-6502d5d31af1,1,,,69187,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a19e0b9e-9fd3-461b-9c6a-6e584bf6b251,2,,,69187,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 40}, {'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6836, 'name': 'Francisco Javier García Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 26518, 'name': 'Enrique Sola Clemente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Osasuna,422,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7616c39-553d-4f4b-ab3e-ef7b5c528607,3,,,69187,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fcb690f3-e254-4acf-ba69-02c0d52ac7e3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fcb690f3-e254-4acf-ba69-02c0d52ac7e3,4,,,69187,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c7616c39-553d-4f4b-ab3e-ef7b5c528607'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d34081b5-7e60-4ca3-9d0a-11901e75403c,1720,,,69187,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['79020b30-b0f8-4bf7-b795-aabfad1c5408'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,79020b30-b0f8-4bf7-b795-aabfad1c5408,1721,,,69187,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['d34081b5-7e60-4ca3-9d0a-11901e75403c'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,1.157417,,,,,,,,,,,,be6d92fd-6e62-4d9b-916a-33a84b361ead,5,,"[61.0, 41.0]",69187,0,,,,,-1.5707964,,Right Foot,,,"[61.0, 39.2]",Ground Pass,,1.8,,,Enrique Sola Clemente,26518.0,,,,,Kick Off,1,From Kick Off,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,2,Osasuna,422,['840e6edc-d504-4599-8638-57f6cc65c999'],2,,,,,,,,,,,,,,,,,Osasuna,422,00:00:02.027,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.3958,,,,,,,,,,,,2fb78c18-07c4-46c1-bd5c-49b4d528a8ab,8,,"[61.0, 39.2]",69187,0,,,,,-1.0966779,,Right Foot,,,"[72.7, 16.4]",High Pass,,25.626743,Incomplete,,,,,,,,,1,From Kick Off,Enrique Sola Clemente,26518.0,Center Forward,2,Osasuna,422,['442b679f-908d-4265-a573-7fd26ff862bf'],3,,,,,,,,,,,,,,,,,Osasuna,422,00:00:03.416,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.7424,,,,,,,,,,,,442b679f-908d-4265-a573-7fd26ff862bf,9,,"[48.3, 64.6]",69187,0,,,,,2.0187385,,Head,,,"[40.9, 80.0]",Low Pass,,17.085667,Out,,Gianluca Zambrotta,15774.0,,,,,Recovery,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Osasuna,422,"['2fb78c18-07c4-46c1-bd5c-49b4d528a8ab', '4055c282-b676-4c93-9358-106c4db4c20d']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.812,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.885117,,,,,,,,,,,,02914393-c75b-4e72-8e2b-d82bd85b4241,11,,"[81.1, 1.0]",69187,0,,,,,1.2442149,,,,,"[87.4, 19.6]",Low Pass,,19.637974,,,Enrique Sola Clemente,26518.0,,,,,Throw-in,1,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,3,Osasuna,422,['6c926a0b-41e6-4bae-bb53-acb793403942'],19,,,,,,,,,,,,,,,,,Osasuna,422,00:00:19.341,Pass,,2007/2008
