50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.681747,,,,,,,,,,,,,,00180a1c-1fd3-42b7-b467-1e2ffab1f96d,16,,"[42.8, 19.9]",69270,0,,,,,-1.849096,,Right Foot,,,"[38.6, 5.2]",,Ground Pass,,15.288231,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['b462b634-60dd-4f1b-b568-c483a971316a'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.992,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.402495,,,,,,,,,,,,,,44cfc71c-1315-48d8-b692-ce9c8bfd8874,19,,"[39.6, 6.7]",69270,0,,,,,2.2782855,,Left Foot,,,"[27.2, 21.2]",,Ground Pass,,19.079046,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['f56f1549-5e23-4b61-8d64-31baa83ccc02'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.907,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.899741,,,,,,,,,,,,,,2fb68441-6bef-433e-9986-aa22bd07a9a7,22,,"[27.6, 19.7]",69270,0,,,,,1.3206933,,Right Foot,,,"[35.8, 51.8]",,Ground Pass,,33.130802,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['32417b13-e085-4add-8933-31b7f639b25a'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.999,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.37844,,,,,,,,,,,,,,23d3fd97-e0d5-4e44-90a1-712c05edd0ed,25,,"[36.7, 53.7]",69270,0,,,,,-1.743657,,Right Foot,,,"[31.2, 22.2]",,Ground Pass,,31.976553,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a2ce015f-6fbd-4aed-a506-0146f1393f5e'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.338,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.9281,,,,,,,,,,,,,,9c661090-0760-4783-a35a-9d271d92ea1f,28,,"[48.9, 19.1]",69270,0,,,,,-0.16820677,,Right Foot,,,"[70.1, 15.5]",,Ground Pass,,21.503489,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['3f4767fc-57a7-49c9-9615-e92e82046791'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.835,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.483025,,,,,,,,,,,,,,0456634a-6720-49ac-8ddc-538b5d5071b3,30,,"[72.6, 15.1]",69270,0,,,,,-1.1212323,,Right Foot,,,"[79.5, 0.8]",,Ground Pass,,15.877657,,Out,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['04bb8c63-5e27-4e29-b1f4-0ebe372fae5a'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.764,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.7803,,,,,,,,,,,,,,d6fe5786-5520-468a-8c01-fe7523b2646d,32,,"[42.9, 80.0]",69270,0,,,,,-0.06139814,,,,,"[67.3, 78.5]",,High Pass,,24.446064,,Incomplete,,Pedro Ríos Maestre,26657.0,,,,,Throw-in,1,From Throw In,Pablo César Pintos Cabral,26722.0,Right Back,3,Getafe,216,"['0c0da58b-4a12-4cbe-bd17-59af57fe6357', 'd16d3d92-0f3a-4e18-a919-3c9a8a80b33e']",34,,,,,,,,,,,,,,,,,,Getafe,216,00:00:34.845,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.9312,,,,,,,,,,,,,,d16d3d92-0f3a-4e18-a919-3c9a8a80b33e,34,,"[53.7, 2.5]",69270,0,,,,,0.13477129,,Head,,,"[65.5, 4.1]",,Low Pass,,11.907981,,,,David Villa Sánchez,12737.0,,,,,Recovery,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Getafe,216,"['cf1c03b6-3f18-483e-8bea-ebd3d55dfaf8', 'd6fe5786-5520-468a-8c01-fe7523b2646d']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.625,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.56225,,,,,,,,,,,,,,6c626a57-4da2-4167-a9d1-bf934241270c,41,,"[54.5, 78.3]",69270,0,,,,,0.15137544,,Right Foot,,,"[60.4, 79.2]",,Ground Pass,,5.9682493,,,,Pedro Ríos Maestre,26657.0,,,,,,1,From Throw In,Víctor Sánchez Mata,6758.0,Right Center Midfield,3,Getafe,216,['dc8be7e9-13ac-4d0d-a0ad-333f29edca7a'],39,,,,,,,,,,,,,,,,,,Getafe,216,00:00:39.543,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.599,,,,,,,,,,,,,,9179b813-4c9b-45ae-9903-61f9883ac438,45,,"[55.2, 3.7]",69270,0,,,,,0.06512516,,Right Foot,,,"[64.4, 4.3]",,Low Pass,,9.219544,,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,4,Barcelona,217,['8f319c00-21f9-461e-904b-4617d93a53f6'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.083,Pass,,2010/2011
