bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d45eeab6-1519-4efb-b7c9-457267baa53e,1569,,"[57.0, 63.9]",9661,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,103,Barcelona,217,['185e0c41-21bf-4e4a-b067-e611eb6b071d'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:56.634,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6fd4b7a4-c47e-42f4-83ef-255e90ebce3f,1577,,"[83.7, 64.1]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Aritz Aduriz Zubeldia,6394.0,Center Forward,103,Barcelona,217,['9710b961-69aa-4d2e-aaa6-e2fdd9624a12'],12,,,,,,,,,,,,,,,,,,Athletic Club,215,00:38:12.189,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056f973b-3332-48a1-9034-792ed293ed3c,1580,,"[21.4, 42.7]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Gerard Piqué Bernabéu,5213.0,Right Center Back,103,Barcelona,217,['bb97e504-33db-473a-9953-cf180d0f2ec1'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:15.455,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defbe737-583b-4294-a481-a564c6b73a70,1582,,"[36.4, 41.7]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,103,Barcelona,217,['ac866237-ee12-4b4e-8b5a-03f427418fac'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:17.531,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4429e81-2ac6-4f99-842b-0212d574da15,1584,,"[48.1, 48.7]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ivan Rakitić,5470.0,Right Midfield,103,Barcelona,217,['40d4b120-ee1b-47cd-953f-d54f265e3584'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:22.792,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f33cab9-f158-4e61-a939-738c31642fa5,1587,,"[57.5, 75.0]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Sergi Roberto Carnicer,6379.0,Right Back,103,Barcelona,217,['6d5b8a59-657f-4510-9a2e-ea68f89e499e'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:26.412,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9b4955d3-39a3-4446-bcad-9cedbf9c006a,1590,,"[71.0, 75.8]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,103,Barcelona,217,['4076258d-ccf7-4562-8537-69804f7f8681'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:28.123,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63259185-b34a-4e81-971b-d70ab5db85f9,1593,,"[87.4, 73.9]",9661,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ivan Rakitić,5470.0,Right Midfield,103,Barcelona,217,['66193f1b-8665-4548-b1a7-f68d09f9ae7b'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:31.166,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61462e53-72c5-4cee-9df0-53c677dbde34,1600,,"[78.7, 46.0]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sergi Roberto Carnicer,6379.0,Right Back,104,Barcelona,217,['bc01f36a-1bd4-42ca-9271-805b62c83055'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:10.279,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd586ee5-fe04-4949-8d7f-6a6268077530,1603,,"[69.3, 32.7]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jordi Alba Ramos,5211.0,Left Back,104,Barcelona,217,['cb8f52fb-403b-4d64-80ac-f209dd877b25'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:14.249,Ball Receipt*,,2017/2018
