ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.60669,,,,,,,,,,,,,,6e2293dc-68c7-46e1-ade5-1c7478b8af27,18,,,"[32.6, 54.9]",70273,0,,,,,1.3031167,,Right Foot,,,,"[39.1, 78.6]",,Ground Pass,24.575191,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['35b0385c-6a73-4a73-8bd3-c8cc3e771d85'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.591,Pass,,2014/2015
,,,,,,,,,,,,,,2.758669,,,,,,,,,,,,,,a87b7939-d1a0-41ac-adf0-8d8a1dff016e,22,,,"[31.6, 71.1]",70273,0,,,,,-2.5240905,,Right Foot,,,,"[4.0, 51.5]",,Ground Pass,33.85144,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,2,Barcelona,217,"['466699ea-740f-4131-ba2f-ad6ee3e320de', 'd922807d-311a-4f10-98d2-486eada88e38']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.341,Pass,True,2014/2015
,,,,,,,,,,,,,,3.5441,,,,,,,,,,,,,,ab75ec14-13ec-4d69-87db-1a3bffeb37e5,26,,,"[4.2, 51.5]",70273,0,,,,,0.67437017,,Right Foot,,,,"[37.1, 77.8]",,High Pass,42.120068,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['8c7e3293-dcd0-41b7-a83b-73650259cdaa'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.219,Pass,,2014/2015
,,,,,,,,,,,,,,1.879643,,,,,,,,,,,,,,82724b18-9553-4ab1-adfa-27a183b7c593,28,,,"[37.1, 77.8]",70273,0,,,,,0.1791605,,Head,,,,"[49.8, 80.1]",,High Pass,12.906588,,Out,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,2,Barcelona,217,['af0ff5d7-b83e-4c38-bb15-945b48963f4a'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.803,Pass,,2014/2015
,,,,,,,,,,,,,,0.999501,,,,,,,,,,,,,,7f6e8821-7871-4715-93f1-f8e777fbf1ea,30,,,"[71.0, 1.0]",70273,0,,,,,0.8422474,,,,,,"[76.8, 7.5]",,Low Pass,8.711487,,,,Iker Muniain Goñi,6842.0,,,,,Throw-in,1,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,3,Athletic Club,215,['d54cac6a-ecd0-4485-a791-01897ac07324'],29,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:29.682,Pass,,2014/2015
,,,,,,,,,,,,,,1.5201,,,,,,,,,,,,,,7f39067a-9422-4ae6-bc8f-f5380bb87a83,34,,,"[68.0, 0.9]",70273,0,,,,,3.082606,,Right Foot,,,,"[42.6, 2.4]",,Ground Pass,25.444252,,,,Aymeric Laporte,4353.0,,,,,,1,From Throw In,Iker Muniain Goñi,6842.0,Left Wing,3,Athletic Club,215,"['89554b08-87b2-43ae-b4b5-2968604504a4', '895d48b8-d5fb-444d-b414-e4dff260052e']",32,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:32.726,Pass,True,2014/2015
,,,,,,,,,,,,,,3.2402,,,,,,,,,,,,,,f175e14b-e2c0-4301-8079-99a8f0de5827,37,,,"[43.0, 2.4]",70273,0,,,,,2.1483045,,Left Foot,,,,"[22.8, 33.4]",,Ground Pass,37.00054,,,,Gorka Iraizoz Moreno,6576.0,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,3,Athletic Club,215,"['47e6c7f3-f830-4a34-869d-affcbecff860', 'acc116f8-0a13-407e-b2de-c838a1be0e61']",34,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:34.247,Pass,True,2014/2015
,,,,,,,,,,,,,,1.3787,,,,,,,,,,,,,,5c27df9e-4923-4a4e-be4e-11700315764a,39,,,"[22.8, 33.4]",70273,0,,,,,1.1496762,,Right Foot,,,,"[31.4, 52.6]",,Ground Pass,21.038061,,,,Carlos Gurpegi Nausia,26087.0,,,,,,1,From Throw In,Gorka Iraizoz Moreno,6576.0,Goalkeeper,3,Athletic Club,215,['21bd366c-0ab5-4112-81c8-5a344a974408'],37,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:37.487,Pass,,2014/2015
,,,,,,,,,,,,,,1.5747,,,,,,,,,,,,,,b7b1f62b-20ce-4429-95c2-2981e60d60cc,42,,,"[31.4, 52.6]",70273,0,,,,,1.0987456,,Right Foot,,,,"[43.5, 76.3]",,Ground Pass,26.61015,,,,Óscar de Marcos Arana,6649.0,,,,,,1,From Throw In,Carlos Gurpegi Nausia,26087.0,Right Center Back,3,Athletic Club,215,['2e72678b-6c3c-4fc8-b662-5d247304cc8b'],39,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:39.913,Pass,,2014/2015
,,,,,,,,,,,,,,2.1151,,,,,,,,,,,,,,5f0cd1b1-0cb5-4b31-ae31-9687f7975475,45,,,"[43.4, 76.1]",70273,0,,,,,-0.04298426,,Right Foot,,,,"[80.6, 74.5]",,High Pass,37.234394,,Incomplete,,Beñat Etxebarria Urkiaga,6396.0,,,,,,1,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,3,Athletic Club,215,"['529f5e39-f91a-4524-ab57-9185c4664837', 'e7dfbd50-991f-4b37-a86f-1a2fb27a4ebc']",43,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:43.562,Pass,,2014/2015
