50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.6949,,,,,,,,,,,,,,2de22d25-4c6d-462e-9723-62f6871a161f,743,,"[33.1, 17.4]",267611,20,,,True,0.86931276,,,,,"[38.0, 23.2]",,High Pass,,7.5927596,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Recovery,1,From Free Kick,Marc Bartra Aregall,7068.0,Left Center Back,44,Las Palmas,208,"['451d1350-6a39-45af-95da-eaa756a460ea', 'ee4c1e27-d4a8-498a-ad02-3b9b426d48f1', 'fecec69d-dd0c-4468-8da8-a85d849bbac0']",5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:05.733,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,2.4306,,,,,,,,,,,,,,dc9e3681-993e-433a-845a-80287c48250c,745,,"[38.2, 23.0]",267611,20,,,,-2.2113094,,Head,,,"[26.2, 6.9]",,High Pass,,20.08009,,,Incomplete,,,,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Midfield,44,Las Palmas,208,['7e024738-6e6e-4cda-8329-4d3654ad065f'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:07.427,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.149055,,,,,,,,,,,,,,f15afb23-ea9d-402e-9ff9-e27b3d51865d,748,,"[85.1, 75.4]",267611,20,,,,-2.205823,,Left Foot,,,"[76.7, 64.0]",,Ground Pass,,14.160508,,,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,,1,From Free Kick,Roque Mesa Quevedo,3610.0,Right Center Midfield,44,Las Palmas,208,['155ac1c8-956a-41b2-a638-bce519d09833'],11,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:11.771,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.0301,,,,,,,,,,,,,,e0c9107b-86f9-471a-831e-e2fbc0557a25,751,,"[76.9, 63.8]",267611,20,,,,-2.0280745,,Right Foot,,,"[70.7, 51.2]",,Ground Pass,,14.042791,,,,,Mubarak Wakaso,6626.0,,,,,,,1,From Free Kick,Hernán Daniel Santana Trujillo,15805.0,Center Defensive Midfield,44,Las Palmas,208,['b3f524d4-cc31-462a-b2eb-9eaa21148c54'],13,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:13.856,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.205097,,,,,,,,,,,,,,763234a4-7776-4f7a-8fc1-c3d73f6ba99f,754,,"[63.2, 43.4]",267611,20,,,,-1.4952646,,Left Foot,,,"[64.6, 24.9]",,Ground Pass,,18.552896,,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Free Kick,Mubarak Wakaso,6626.0,Left Center Midfield,44,Las Palmas,208,['5992a88f-989c-4235-9468-eadead7ee8a4'],16,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:16.382,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.740044,,,,,,,,,,,,,,c43c7c9f-502a-4416-9a28-33f99760bfd9,762,,"[81.4, 34.0]",267611,20,,,,1.1775169,,Left Foot,,,"[85.3, 43.4]",,Ground Pass,,10.176934,,,,,Sergio Ezequiel Araújo,8167.0,,,,,,,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,44,Las Palmas,208,"['acee5248-0d1e-44eb-b777-2074f0ba6c48', 'b2818961-8f67-4ba9-b086-633e10c21652']",20,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:20.575,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.1163,,,,,,,,,,,,,,f455c50d-7621-4364-ac33-6eeb6581f43a,766,,"[88.2, 39.5]",267611,20,,,,-2.2867875,,Right Foot,,,"[70.8, 19.5]",,Ground Pass,,26.50962,,,,,Dani Castellano Betancor,6932.0,,,,,,,1,From Free Kick,Sergio Ezequiel Araújo,8167.0,Right Center Forward,44,Las Palmas,208,['6a9de955-bcee-49c2-98e9-3e0155737687'],23,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:23.177,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.744813,,,,,,,,,,,,,,d47a08ba-ffa2-4b1b-8c72-a4844cfa327e,770,,"[78.8, 22.0]",267611,20,,,,1.7995951,,Left Foot,,,"[77.1, 29.3]",,Ground Pass,,7.495332,,,,,Mubarak Wakaso,6626.0,,,,,,,1,From Free Kick,Dani Castellano Betancor,6932.0,Left Wing Back,44,Las Palmas,208,"['7f3a10f1-1570-460d-8c6c-bb6501e0327e', '83d72d85-11ba-420b-9eb4-c233a122628d']",26,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:26.451,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.9154,,,,,,,,,,,,,,13201265-1cd3-4970-b769-ac22d2bc367c,774,,"[76.3, 29.5]",267611,20,,,,1.672767,,Left Foot,,,"[71.9, 72.5]",,Low Pass,,43.22453,,,,,David Simón Rodríguez Santana,7906.0,,,True,,,,1,From Free Kick,Mubarak Wakaso,6626.0,Left Center Midfield,44,Las Palmas,208,"['3b760c54-2b04-44a4-8eec-aa1cf61e498e', 'efd19088-eda3-40e6-88fe-6badc2a69bd6']",28,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:28.181,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.006144,,,,,,,,,,,,,,639aa5f2-c1cb-419a-822f-d1b52f4c64a8,777,,"[71.9, 72.5]",267611,20,,,,-1.4415213,,Right Foot,,,"[73.2, 62.5]",,Ground Pass,,10.084146,,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,David Simón Rodríguez Santana,7906.0,Right Wing Back,44,Las Palmas,208,['11b3303a-1ed5-486f-9373-3942557c7f54'],31,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:31.171,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.55607,,,,,,,,,,,,,,a2e0aa82-91f2-44c6-aff3-91bfc6d8fbc4,780,,"[73.2, 62.5]",267611,20,,,,1.5451609,,Right Foot,,,"[73.4, 70.3]",,Ground Pass,,7.8025637,,,,,David Simón Rodríguez Santana,7906.0,,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Left Center Forward,44,Las Palmas,208,['d9cfc9b8-e102-446c-80a1-0cb9f70d84dc'],32,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:32.486,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.4466,,,,,,,,,,,,,,821a4c4a-9f25-47df-8135-d9568e42a70a,783,,"[73.2, 71.6]",267611,20,,,,-0.9796392,,Right Foot,,,"[78.1, 64.3]",,Ground Pass,,8.792042,,,,,Roque Mesa Quevedo,3610.0,,,,,,,1,From Free Kick,David Simón Rodríguez Santana,7906.0,Right Wing Back,44,Las Palmas,208,['d1231951-4fd4-4796-a043-a8e2ace81f8e'],34,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:34.841,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.4422,,,,,,,,,,,,,,c18e090a-582c-46b6-84f6-7ff1fce3eedf,787,,"[75.7, 66.8]",267611,20,,,,2.7732437,,Right Foot,,,"[64.3, 71.2]",,Ground Pass,,12.219656,,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Roque Mesa Quevedo,3610.0,Right Center Midfield,44,Las Palmas,208,"['69f90705-83bc-4582-9812-5423c774e9e7', 'e004ee9b-af91-4a4a-a90c-af5f54c6fae8']",36,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:36.656,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,0.869862,,,,,,,,,,,,,,5683bf4a-9ec9-4ced-acd3-0f6fe446674c,790,,"[64.3, 71.2]",267611,20,,,,-1.1215363,,Right Foot,,,"[69.7, 60.0]",,Ground Pass,,12.433825,,,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Left Center Forward,44,Las Palmas,208,['3f8b56bf-36cd-4805-b654-1cc5992f375f'],37,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:37.164,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.607625,,,,,,,,,,,,,,2f7a3f1e-4e71-4976-9a13-e8c981b10a1e,793,,"[69.7, 60.0]",267611,20,,,,0.81569195,,Right Foot,,,"[76.1, 66.8]",,Ground Pass,,9.338094,,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Hernán Daniel Santana Trujillo,15805.0,Center Defensive Midfield,44,Las Palmas,208,['323094ba-77b1-4b75-a4c0-7bde8d0d41e7'],38,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:38.682,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.61183,,,,,,,,,,,,,,a7025081-ee4d-4889-9a46-009ad9388393,796,,"[86.8, 62.7]",267611,20,,,,-0.6982409,,Right Foot,,,"[92.4, 58.0]",,Ground Pass,,7.3109508,,,,,Roque Mesa Quevedo,3610.0,,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Left Center Forward,44,Las Palmas,208,['71fc3981-431f-4664-9664-b06f8b5c88f6'],41,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:41.304,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.611795,,,,,,,,,,,,,,4f9533ce-c436-403c-958e-31a9ba350057,799,,"[92.6, 60.2]",267611,20,,,,-2.001489,,Right Foot,,,"[90.9, 56.5]",,Ground Pass,,4.0718546,,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Roque Mesa Quevedo,3610.0,Right Center Midfield,44,Las Palmas,208,['db91ad93-8cc6-4490-a1f7-3575566813e3'],42,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:42.738,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.193415,,,,,,,,,,,,,,29cd1006-0936-4882-8a20-a7d8e7c9b880,803,,"[90.8, 50.0]",267611,20,,,,0.012986283,7135bc81-fd05-40be-b82e-16798cd1330d,Right Foot,,,"[106.2, 50.2]",,Ground Pass,,15.4012985,,,,,Sergio Ezequiel Araújo,8167.0,True,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Left Center Forward,44,Las Palmas,208,['68efcc83-2e72-4996-8258-6a393614c0ae'],44,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:20:44.306,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,3.399673,,,,,,,,,,,,,,12314638-8542-4f15-a574-85caa5b93251,809,,"[7.0, 35.7]",267611,21,True,,,-0.9153287,,Keeper Arm,,,"[23.3, 14.5]",,Low Pass,,26.741915,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,45,Barcelona,217,['ac8d5e95-e6b5-4400-a65d-1cdc2d4b1b5e'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:04.795,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.6909,,,,,,,,,,,,,,fce69f92-4faf-4196-a060-471c22d6d845,811,,"[54.0, 27.4]",267611,21,,,,0.34149665,,Right Foot,,,"[87.2, 39.2]",,High Pass,,35.234642,,,Incomplete,,Munir El Haddadi Mohamed,6616.0,,,,,,,1,From Keeper,Sergio Busquets i Burgos,5203.0,Left Center Midfield,45,Barcelona,217,"['2624da88-5852-4314-a313-745cb237897b', '2cc5ed55-e88e-4938-9be7-2db194b90756']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:13.810,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.495397,,,,,,,,,,,,,,8c467908-5455-45c8-8aa1-5e0e872f17b7,814,,"[47.9, 41.3]",267611,21,,,,-1.9530343,,Left Foot,,,"[39.9, 21.4]",,High Pass,,21.447844,,,,,Dani Castellano Betancor,6932.0,,,,,,Recovery,1,Regular Play,Mubarak Wakaso,6626.0,Left Center Midfield,46,Las Palmas,208,['64d2d71e-2bdb-4d6f-8c41-bc0026d54536'],16,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:21:16.273,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.724177,,,,,,,,,,,,,,ba160d3b-9725-4a58-8137-6973543f8917,823,,"[97.5, 0.1]",267611,21,,,,0.2466234,,,,,"[111.8, 3.7]",,Low Pass,,14.746186,,,,,Jonathan Viera Ramos,10755.0,,,,,,Throw-in,1,From Throw In,Dani Castellano Betancor,6932.0,Left Wing Back,47,Las Palmas,208,['ee7fc9a9-01a0-4ead-9338-e844447ddfa7'],39,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:21:39.078,Pass,,2015/2016
