bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.952027,,,,,,,,,,,,,6a3acb11-b32c-48b5-8b73-02fd427ad52f,18,,,"[42.3, 58.8]",3773586,0,,,,,-1.8331761,,Right Foot,,,,"[37.6, 41.3]",,Ground Pass,,18.120155,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['44e61fca-a4cb-4088-bc49-fd3b12443960'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.908,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.923747,,,,,,,,,,,,,5a5175c2-d029-48be-b359-bc91f4c76446,21,,,"[44.0, 39.0]",3773586,0,,,,,-0.68009806,,Right Foot,,,,"[50.8, 33.5]",,Ground Pass,,8.745856,,,,,Moriba Kourouma Kourouma,39073.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['5618ccd7-09da-4d55-b63f-d8e6720ee890'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.783,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.235073,,,,,,,,,,,,,ad48bdfa-a827-431f-92d4-2fed75ea5a9c,24,,,"[71.2, 19.5]",3773586,0,,,,,-1.2428088,,Right Foot,,,,"[76.1, 5.1]",,Ground Pass,,15.210852,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Moriba Kourouma Kourouma,39073.0,Left Center Midfield,2,Barcelona,217,['6e0561b9-2a6b-454c-af80-5f60a722f1da'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.301,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.85566,,,,,,,,,,,,,8d10862a-e928-424e-b142-362fc9444be7,27,,,"[77.3, 5.8]",3773586,0,,,,,1.6814536,,Left Foot,,,,"[76.3, 14.8]",,Ground Pass,,9.055386,,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['f3465821-2aa8-4658-b249-3b4e07aca5f9'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.443,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.824911,,,,,,,,,,,,,5c8464e5-5ccc-43a6-862a-dd642bb81769,30,,,"[77.6, 10.6]",3773586,0,,,,,-2.683933,,Left Foot,,,,"[70.9, 7.3]",,Ground Pass,,7.4686007,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['f5b11a23-effa-45de-83fa-41307e379ecc'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.809,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.123285,,,,,,,,,,,,,bdeaf323-7b77-4005-aa85-6a69f8b16325,33,,,"[70.9, 7.3]",3773586,0,,,,,1.5485778,,Left Foot,,,,"[71.1, 16.3]",,Ground Pass,,9.002222,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['da0e3125-1c1c-4dea-a286-4ca23d16c621'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.757,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.818078,,,,,,,,,,,,,e1285e69-ae2f-4917-a5f9-68922b4ce46c,37,,,"[69.8, 14.8]",3773586,0,,,,,-0.03099782,,Left Foot,,,,"[82.7, 14.4]",,Ground Pass,,12.9062,,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2da7d2ef-d642-46eb-bf5c-ad06e85aff0f'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.884,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.860039,,,,,,,,,,,,,a29b6403-60ce-41c8-b09e-1bfdc428755d,40,,,"[82.7, 14.4]",3773586,0,,,,,-1.3642602,,Left Foot,,,,"[84.9, 3.9]",,Low Pass,,10.728001,,,,,Moriba Kourouma Kourouma,39073.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['9d301e0d-4e1b-49ca-93ad-e7b427b75d09'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.830,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.046805,,,,,,,,,,,,,da5e9af5-26b1-4ce8-85e4-e24adc4d3c04,44,,,"[84.9, 3.0]",3773586,0,,,,,2.976444,,Right Foot,,,,"[72.3, 5.1]",,Low Pass,,12.773801,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Moriba Kourouma Kourouma,39073.0,Left Center Midfield,2,Barcelona,217,"['3d0eb1bb-213f-4d06-94f9-952a23cc2fa6', '6d936283-e26e-4a82-8a2a-cdb24ed45760']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.498,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.735194,,,,,,,,,,,,,1cc5fb31-4468-412c-8848-4bdbeedd9593,47,,,"[70.9, 6.1]",3773586,0,,,,,2.4914885,,Left Foot,,,,"[49.2, 22.6]",,Ground Pass,,27.260593,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['7892a702-10cb-4d6d-ba32-80d9dd5a41b9'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.536,Pass,,2020/2021
