bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.373566,,,,,,,,,,,,,,,e943f575-2ae6-4d69-8181-7ad89ecb3847,1527,,"[68.1, 36.5]",266106,35,,,,,-1.5202066,,Right Foot,,,,"[68.5, 28.6]",Ground Pass,7.91012,,,,Samuel Castillejo Azuaga,6829.0,,,,,Recovery,1,Regular Play,Cédric Bakambu,6862.0,Left Center Forward,56,Villarreal,222,['83e7be99-bf22-4d73-8ab5-232f230643b4'],40,,,,,,,,,,,,,,,,,Villarreal,222,00:35:40.046,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.7399,,,,,,,,,,,,,,,b0a93ce4-d9c5-49b6-9030-bf8b14fa44a6,1530,,"[69.9, 29.2]",266106,35,,,,,0.90833825,,Left Foot,,,,"[100.4, 68.3]",High Pass,49.58891,,,,Roberto Soldado Rillo,26009.0,,,,,,1,Regular Play,Samuel Castillejo Azuaga,6829.0,Left Midfield,56,Villarreal,222,['81dd2f39-b962-4e30-9c73-b45230a07054'],41,,,,,,,,,,,,,,,,,Villarreal,222,00:35:41.272,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.3788,,,,,,,,,,,,,,,d4acccdc-ee30-4aa8-8437-394de6e28763,1533,,"[111.7, 69.9]",266106,35,,,,,3.059585,,Right Foot,,,,"[97.1, 71.1]",Ground Pass,14.649232,,,,Denis Suárez Fernández,6609.0,,,,,,1,Regular Play,Roberto Soldado Rillo,26009.0,Right Center Forward,56,Villarreal,222,['b2bc2be1-e93a-4385-9c25-6bba08aad026'],45,,,,,,,,,,,,,,,,,Villarreal,222,00:35:45.493,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.0945,,,,,,,,,,,,,,,3acc0ea7-18d6-4b74-8e1d-fecdd90702a0,1536,,"[97.1, 71.1]",266106,35,,,,,-1.2023295,,Right Foot,True,,,"[107.1, 45.2]",High Pass,27.763466,,,,Cédric Bakambu,6862.0,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Right Midfield,56,Villarreal,222,['01643313-b232-4003-8afb-0e9018ac0842'],46,,,,,,,,,,,,,,,,,Villarreal,222,00:35:46.885,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.7679,,,,,,,,,,,,,,,11a14096-4c1e-48a2-ad02-897dac8bc9f0,1539,,"[105.7, 55.8]",266106,35,,,,,1.5776927,,Right Foot,,,,"[105.6, 70.3]",Ground Pass,14.500345,,,,Denis Suárez Fernández,6609.0,,,,,,1,Regular Play,Cédric Bakambu,6862.0,Left Center Forward,56,Villarreal,222,['6b9508ca-95db-42ee-9a18-582ae1a5e7e1'],51,,,,,,,,,,,,,,,,,Villarreal,222,00:35:51.074,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.339,,,,,,,,,,,,,,,5745e8a7-c4bc-45f9-9ea1-a99ee2fdc6e3,1542,,"[111.1, 66.2]",266106,35,,,,,-2.1057515,7e50a742-f59c-4de9-92d1-1968956693e9,Right Foot,,,,"[101.5, 50.0]",Low Pass,18.830826,,,,Manuel Trigueros Muñoz,6771.0,True,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Right Midfield,56,Villarreal,222,['c78f8740-7e73-4be4-b6b2-c935dc9c1433'],54,,,,,,,,,,,,,,,,,Villarreal,222,00:35:54.731,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.354628,,,,,,,,,,,,,,,65bd7c1e-fb27-4e67-ba6e-89dd3e3ab9fa,1546,,"[11.1, 41.1]",266106,36,,True,,,0.8069002,,Drop Kick,,,,"[47.5, 79.1]",High Pass,52.620907,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Keeper,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,58,Barcelona,217,['2a75b78b-dde5-4e18-abb9-052ea7684066'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:36:02.711,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.270554,,,,,,,,,,,,,,,b137ad5a-c092-45f6-9345-1a2d443194b0,1551,,"[74.0, 80.0]",266106,36,,True,,,-2.9701092,,,,,,"[56.1, 76.9]",Low Pass,18.166452,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,59,Barcelona,217,['429e99aa-64f1-4052-bd5c-d9ef9bb58d1a'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:36:10.368,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.097178,,,,,,,,,,,,,,,03115f85-4fd8-469b-9e66-258bca31785d,1553,,"[48.9, 63.4]",266106,36,,,,,-0.83414,,Right Foot,,,,"[56.7, 54.8]",Ground Pass,11.61034,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,59,Barcelona,217,['e1a17375-526c-43e0-8186-75bb68fb880a'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:36:17.501,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.578034,,,,,,,,,,,,,,,9c8944cb-8fd2-49cc-855b-07766d7c59a2,1555,,"[56.4, 48.3]",266106,36,,True,,,-1.3418214,,Right Foot,,,,"[65.0, 11.4]",High Pass,37.888916,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,59,Barcelona,217,['54adf85c-25d9-40fc-87d5-7cdbeb764cdc'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:36:21.218,Pass,,2015/2016
