bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b8f2c149-de6a-48b6-95e1-1e0f0b94077c,1,,,266664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d4ecabed-6ac0-4f0b-8cf7-8590a177ae32,2,,,266664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b1f87f84-b07f-402c-8167-5d397899d68f,3,,,266664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['a749106d-b7cd-49a1-a75a-2db209afd21b'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a749106d-b7cd-49a1-a75a-2db209afd21b,4,,,266664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['b1f87f84-b07f-402c-8167-5d397899d68f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f753cec1-1a7c-4a99-bc03-f261d3222bf5,1934,,,266664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Real Sociedad,210,['78f33cd1-bc04-4072-b037-492bb82f9446'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78f33cd1-bc04-4072-b037-492bb82f9446,1935,,,266664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Real Sociedad,210,['f753cec1-1a7c-4a99-bc03-f261d3222bf5'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.597901,,,,,,,,,,,,c4681a3c-eb4d-427d-a1d2-1407cfe8fc36,5,,"[60.0, 40.0]",266664,0,,,,,1.5337762,,Right Foot,,,,"[60.1, 42.7]",,Ground Pass,,2.7018511,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Munir El Haddadi Mohamed,6616.0,Center Forward,2,Barcelona,217,['a724791e-1013-45f0-981e-af1f699b6f87'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.075,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.2568,,,,,,,,,,,,8bd06948-d809-4196-a0b4-bdad8eae341f,7,,"[59.8, 43.4]",266664,0,,,,,-2.8849673,,Right Foot,,,,"[45.7, 39.7]",,Ground Pass,,14.57738,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['6dd693b5-5c8d-4d32-8a61-f450286888f1'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.673,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.8561,,,,,,,,,,,,7a062944-f1b8-48f3-9170-44d507885738,10,,"[46.5, 38.9]",266664,0,,,,,-1.6499507,,Right Foot,,,,"[43.7, 3.6]",,Ground Pass,,35.410873,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['d6d9969a-3b6c-4b13-812f-788ca7cda0a0'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.732,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.704748,,,,,,,,,,,,7793235d-39b5-4296-9019-34940ba4d0a6,13,,"[43.0, 4.5]",266664,0,,,,,2.3372266,,Right Foot,,,,"[24.9, 23.3]",,Ground Pass,,26.096935,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Left Back,2,Barcelona,217,['2402664a-0acf-4a53-bc7b-21caa01c9df1'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.909,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.9774,,,,,,,,,,,,754928d4-7347-47c7-894a-d96bf3ddcbe8,16,,"[20.8, 23.6]",266664,0,,,,,2.178285,,Right Foot,,,,"[7.8, 42.3]",,Ground Pass,,22.774767,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['874346ee-4cb5-445c-b2a7-21aeded98393'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.583,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.219,,,,,,,,,,,,92ff017d-1b71-4655-babc-171764464dd8,19,,"[9.5, 42.9]",266664,0,,,,,-0.121464826,,Right Foot,,,,"[30.8, 40.3]",,Ground Pass,,21.4581,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['a1fc3e66-f9b1-4fbe-9769-888a35a528db'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.985,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.8293,,,,,,,,,,,,68091332-ca7f-4efe-aa0b-63b022714f13,21,,"[31.1, 39.7]",266664,0,,,,,2.489643,,Right Foot,,,,"[10.4, 55.5]",,Ground Pass,,26.04093,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c3b06aad-7ed9-4eef-a075-75088039da6a'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.204,Pass,,2015/2016
