ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a81f8864-c40e-463e-a710-e8ed835bcf09,1,,,69177,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3095, 'name': 'Bruno Saltor Grau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26434, 'name': 'Santiago Wilmer Acasiete Ariadela'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26494, 'name': 'Hernán Darío Pellerano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 26436, 'name': 'José Manuel Jiménez Ortiz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 26440, 'name': 'Juan Manuel Ortiz Palazón'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 25883, 'name': 'Juan Jesús Gutiérrez Robles'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 25978, 'name': 'Iriney Santos Da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26437, 'name': 'Albert Crusat Domene'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 26495, 'name': 'Kalu Uche'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 5}]}",Almería,403,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3817716d-aa13-4a62-91b4-c20f622d3728,2,,,69177,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51df0820-3b62-4f20-badf-38e27cffbe33,3,,,69177,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['7a69c4f6-a70f-4736-8e17-cc75b3669d0b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7a69c4f6-a70f-4736-8e17-cc75b3669d0b,4,,,69177,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['51df0820-3b62-4f20-badf-38e27cffbe33'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f1346d0-6b1f-4ecc-8f32-d3d85b033e8d,1739,,,69177,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Barcelona,217,['2322af4d-2b50-4869-abf4-184a06446a6b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2322af4d-2b50-4869-abf4-184a06446a6b,1740,,,69177,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Barcelona,217,['0f1346d0-6b1f-4ecc-8f32-d3d85b033e8d'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.592562,,,,,,,,,,,,,2d24bae3-1f13-4db7-866f-73db0b1deb33,5,,"[60.0, 40.0]",69177,0,,,,,-1.4711276,,Left Foot,,,,"[60.1, 39.0]",,Ground Pass,,1.0049876,,,,Kalu Uche,26495.0,,,,,Kick Off,1,From Kick Off,Álvaro Negredo Sánchez,20542.0,Right Center Forward,2,Almería,403,['946128d2-e3ee-4657-929a-691448d2d84b'],1,,,,,,,,,,,,,,,,,Almería,403,00:00:01.241,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.886539,,,,,,,,,,,,,3dc7b699-5d4d-4726-a642-5578a4d7d2e6,8,,"[62.0, 36.5]",69177,0,,,,,-0.94897205,,Right Foot,,,,"[70.6, 24.5]",,Ground Pass,,14.763469,,,,Albert Crusat Domene,26437.0,,,,,,1,From Kick Off,Kalu Uche,26495.0,Left Center Forward,2,Almería,403,['54f0817f-566c-4dec-9c57-ac9b09ec16de'],2,,,,,,,,,,,,,,,,,Almería,403,00:00:02.576,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.976299,,,,,,,,,,,,,be3d10e8-1b15-4c43-85ef-5dd9d0781c21,15,,"[60.9, 58.1]",69177,0,,,,,1.64296,,Right Foot,,,,"[60.3, 66.4]",,Ground Pass,,8.321658,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['3bce60da-4b2e-4d44-a42a-693912cbc568', 'c9a2002a-7c06-44bb-957b-0ec3877e19a4']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.508,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.311701,,,,,,,,,,,,,8df28b76-6d53-4d38-823f-8f7f59eacf9a,18,,"[60.0, 65.7]",69177,0,,,,,-1.8698808,,Right Foot,,,,"[56.3, 53.7]",,Ground Pass,,12.557467,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['9afed694-4f5b-4e97-8186-97f148c4da00'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.564,Pass,,2008/2009
