50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a9ce8b75-679d-417b-955c-8d01f22f9050,1,,,,267520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b736ccb5-66a0-4113-8d12-9ef0acb6be75,2,,,,267520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26441, 'name': 'Daniel Estrada Agirrezablaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7321, 'name': 'Liassine Cadamuro-Bentaïba'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 24042, 'name': 'Javier Ros Añón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 23796, 'name': 'Marco Sangalli Fuentes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6fa13880-8b24-4a7b-b119-114175ae21cf,3,,,,267520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9349558d-eae5-44bd-ae74-b5ee134ab115'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9349558d-eae5-44bd-ae74-b5ee134ab115,4,,,,267520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6fa13880-8b24-4a7b-b119-114175ae21cf'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c8d9fe20-f1bf-4d66-b9d3-906c0f51d5dc,2057,,,,267520,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Barcelona,217,['df5cca77-94b5-498d-bac9-bacfac3f8071'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,df5cca77-94b5-498d-bac9-bacfac3f8071,2058,,,,267520,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Barcelona,217,['c8d9fe20-f1bf-4d66-b9d3-906c0f51d5dc'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,0.50143,,,,,,,,,,,8d911a12-1c30-4146-a9f2-32765eb8ae0c,5,,,"[61.0, 41.0]",267520,0,,,,1.1824776,,Left Foot,,,,"[61.9, 43.2]",,Ground Pass,,2.376973,,,Xabier Prieto Argarate,6690.0,,,,,Kick Off,1,From Kick Off,Haris Seferović,5543.0,Center Forward,2,Real Sociedad,210,['715bc30f-4e63-4a5a-862c-23be727228dd'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.396,Pass,,2013/2014
,,,,,,,,,,,,,,,,,1.222148,,,,,,,,,,,e8557596-433f-495d-8e3d-7a9a47394dbd,8,,,"[66.0, 38.7]",267520,0,,,,3.1049118,,Right Foot,,,,"[55.1, 39.1]",,Ground Pass,,10.907337,,,Markel Bergara Larrañaga,6633.0,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Center Attacking Midfield,2,Real Sociedad,210,['64492b01-9d72-4f5b-8700-931caa202513'],2,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.948,Pass,,2013/2014
,,,,,,,,,,,,,,,,,1.963252,,,,,,,,,,,491aa2d9-4c12-4cc2-86ff-ddc86c01cff4,11,,,"[53.2, 40.8]",267520,0,,,,1.909771,,Right Foot,,,,"[41.6, 73.7]",,Ground Pass,,34.885098,,,Daniel Estrada Agirrezablaga,26441.0,,,,,,1,From Kick Off,Markel Bergara Larrañaga,6633.0,Right Center Midfield,2,Real Sociedad,210,['ce72d08d-6afb-4eea-9dab-c87098af3968'],4,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:04.940,Pass,,2013/2014
,,,,,,,,,,,,,,,,,2.1307,,,,,,,,,,,98a41a5f-916b-425c-ab09-2e5b178d565a,14,,,"[42.5, 75.2]",267520,0,,,,-0.13504264,,Right Foot,,,,"[79.3, 70.2]",,High Pass,,37.13812,,,Xabier Prieto Argarate,6690.0,,,,,,1,From Kick Off,Daniel Estrada Agirrezablaga,26441.0,Right Back,2,Real Sociedad,210,['c2f30d52-7cf8-43e1-bda3-f54adf495e0b'],7,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:07.824,Pass,,2013/2014
