ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.185689,,,,,,,,,,,,,,b29fdd44-663e-430d-bc88-0a8c47e74013,19,,"[61.0, 1.9]",69149,0,,,,3.069602,,Right Foot,,,"[40.2, 3.4]",,Ground Pass,,20.854017,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,"['23a09790-aa51-43dc-81b3-017f734b6b82', 'df8af1f5-966d-4bef-8a0b-49d1558f586c']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.839,Pass,True,2008/2009
,,,,,,,,,,,,,,,,2.229421,,,,,,,,,,,,,,11e5d097-9feb-4a93-9523-55dfee3dd670,22,,"[32.7, 8.5]",69149,0,,,,1.7248179,,Left Foot,,,"[29.3, 30.4]",,Ground Pass,,22.162355,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['0fc83c14-5e2d-48aa-a095-dacd9a99d48b'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.155,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.024164,,,,,,,,,,,,,,fb02b3f5-fa6a-4afb-a9ce-c0d7e44f797a,25,,"[35.6, 30.1]",69149,0,,,,0.5743048,,Right Foot,,,"[50.9, 40.0]",,Ground Pass,,18.223612,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['9928dbd0-adfa-4d49-a1c3-459bfbf1fcdd'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.751,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.48981,,,,,,,,,,,,,,b6a45049-23b3-45e5-b771-53a7fcd15ac7,29,,"[57.3, 49.4]",69149,0,,,,1.4971592,,Right Foot,,,"[59.1, 73.8]",,Ground Pass,,24.466303,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,['104ea687-1519-49bf-a897-f3bfab05d31b'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.689,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.9671,,,,,,,,,,,,,,8193d8f8-1a62-4ea8-ab2b-a95c4af2c321,32,,"[58.5, 76.6]",69149,0,,,,-0.89413786,,Right Foot,,,"[68.7, 63.9]",,Ground Pass,,16.288954,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['0ee2d055-54a7-428f-989f-60e0aa5f39d5', '29ed59b0-6a1c-4c66-bd68-b3abbfbf74f9']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.739,Pass,,2008/2009
,,,,,,,,,,True,,,,,,1.1215,,,,,,,,,,,,,,29ed59b0-6a1c-4c66-bd68-b3abbfbf74f9,34,,"[52.3, 17.1]",69149,0,,,,-1.7876699,,Right Foot,,,"[49.7, 5.3]",,Low Pass,,12.083046,,,,Juan Manuel Mata García,3294.0,,,,,Interception,1,Regular Play,Rubén Baraja Vegas,20129.0,Left Center Midfield,3,Valencia,207,"['133bb4b9-31bd-402e-8178-6ba64acab5fb', '8193d8f8-1a62-4ea8-ab2b-a95c4af2c321']",22,,,,,,,,,,,,,,,,,Valencia,207,00:00:22.706,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.097773,,,,,,,,,,,,,,af3020cb-beae-42d8-9b3b-59ffe4aa2320,39,,"[51.1, 7.0]",69149,0,,,,1.2110894,,Left Foot,,,"[55.5, 18.7]",,Ground Pass,,12.5,,,,Rubén Baraja Vegas,20129.0,,,,,,1,Regular Play,Juan Manuel Mata García,3294.0,Left Wing,3,Valencia,207,['e996ef81-ca51-47c0-982c-56a260cc49e1'],25,,,,,,,,,,,,,,,,,Valencia,207,00:00:25.209,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0944,,,,,,,,,,,,,,f71b40f3-26ec-4d54-9058-17a327ae9474,41,,"[55.7, 18.5]",69149,0,,,,-2.6508431,,Right Foot,,,"[42.6, 11.5]",,Ground Pass,,14.852946,,,,Asier del Horno Cosgaya,26398.0,,,,,,1,Regular Play,Rubén Baraja Vegas,20129.0,Left Center Midfield,3,Valencia,207,['f8afd35f-45b6-4674-a168-ca3dd238c236'],26,,,,,,,,,,,,,,,,,Valencia,207,00:00:26.306,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0844,,,,,,,,,,,,,,08845360-ae25-4f58-b585-a6ccd9d10d27,44,,"[44.4, 10.1]",69149,0,,,,0.37422112,,Left Foot,,,"[71.9, 20.9]",,High Pass,,29.544712,,Incomplete,,David Villa Sánchez,12737.0,,,,,,1,Regular Play,Asier del Horno Cosgaya,26398.0,Left Back,3,Valencia,207,"['283da81f-9105-424c-9b5d-e5e87c67bfab', 'c327a199-bd4b-4915-8320-8cc4fd2d7724']",28,,,,,,,,,,,,,,,,,Valencia,207,00:00:28.491,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.4456,,,,,,,,,,,,,,c6448f72-3fc2-4c71-aefd-f840782db311,55,,"[77.1, 18.8]",69149,0,,,,0.68482125,,Right Foot,,,"[83.1, 23.7]",,Low Pass,,7.746612,,Incomplete,,Thierry Henry,15516.0,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,4,Barcelona,217,"['4dde41fc-3947-49e7-86c2-893c1196111a', '6b64a169-e98f-4e1f-97fc-150e68104370']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.047,Pass,,2008/2009
