50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b8248b47-0fa1-4ff4-8f23-e0c7478a7183,1,,,266557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,770d1b27-ca52-4966-8edb-e22a67d09d1b,2,,,266557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Valencia,207,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9cc30397-e099-4954-bf47-50f9d3952220,3,,,266557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4a41c713-2b7a-4077-9afa-d553263aaa94'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4a41c713-2b7a-4077-9afa-d553263aaa94,4,,,266557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9cc30397-e099-4954-bf47-50f9d3952220'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b12ba56-d14e-4ff9-bd1b-af080eff5b1a,1849,,,266557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,89,Barcelona,217,['feb87a90-58e5-4acd-bf96-0cc2c05d247e'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,feb87a90-58e5-4acd-bf96-0cc2c05d247e,1850,,,266557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,89,Barcelona,217,['6b12ba56-d14e-4ff9-bd1b-af080eff5b1a'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,2.386907,,,,,,,,,,,,9065c50a-c238-4155-96a4-cd1b4be215a4,5,,"[61.0, 40.1]",266557,0,,,,2.819842,,Right Foot,,,"[32.5, 49.6]",,Ground Pass,,30.041637,,,,,Shkodran Mustafi,3638.0,,,,,Kick Off,1,From Kick Off,Santiago Mina Lorenzo,6594.0,Center Forward,2,Valencia,207,['4260328e-177e-48b8-9fd2-0fd0b877137e'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.927,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,3.737712,,,,,,,,,,,,5454cf00-f37e-4039-9cf9-67e304e6bdc3,8,,"[33.3, 49.4]",266557,0,,,,-0.8019843,,Right Foot,,,"[74.8, 6.5]",,High Pass,,59.688023,,,,,André Filipe Tavares Gomes,10802.0,,True,,,,1,From Kick Off,Shkodran Mustafi,3638.0,Right Center Back,2,Valencia,207,['71d376d3-6e10-4469-976c-9ae104cf2ea2'],4,,,,,,,,,,,,,,,,Valencia,207,00:00:04.235,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.3151,,,,,,,,,,,,7dbf8583-468b-47a1-85b7-9b60ed260645,10,,"[73.1, 5.8]",266557,0,,,True,1.2807094,,,,,"[77.1, 19.2]",,High Pass,,13.984277,,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Midfield,2,Valencia,207,"['742dcde6-da95-4aca-96e6-4abc96939d09', 'd493c41b-b1cc-453d-9183-eb94d63eab0b', 'f05d2cfd-b194-4290-8c0e-bbb9a7ef3ed3']",7,,,,,,,,,,,,,,,,Valencia,207,00:00:07.973,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,0.823676,,,,,,,,,,,,d493c41b-b1cc-453d-9183-eb94d63eab0b,13,,"[43.0, 60.9]",266557,0,,,,2.7301364,,Right Foot,,,"[32.0, 65.7]",,Low Pass,,12.001667,,,,,Ivan Rakitić,5470.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['7dbf8583-468b-47a1-85b7-9b60ed260645', 'fe6f053a-eb2d-4ad0-a687-77fc7686e779']",9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.288,Pass,,2015/2016
