bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e3bc11c1-3398-4862-8937-a5d9c362e6c9,1,,,69343,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5d866f98-e05a-4ca7-9022-4204e6b919e0,2,,,69343,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 7069, 'name': 'Miguel Ángel Moyà Rumbo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26815, 'name': 'Tsepo Peter Masilela'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26657, 'name': 'Pedro Ríos Maestre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 26144, 'name': 'Francisco Javier Casquero Paredes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 26252, 'name': 'Diego Castro Giménez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Getafe,216,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,80d71bb3-87b4-480c-92bc-f2e773a44352,3,,,69343,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d799fa63-e17d-4d9a-a6f9-15fec4e6b03a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d799fa63-e17d-4d9a-a6f9-15fec4e6b03a,4,,,69343,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['80d71bb3-87b4-480c-92bc-f2e773a44352'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bfdfdfd2-3d44-49e8-a875-598d33f60c70,1858,,,69343,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Getafe,216,['b7ff0673-5937-4ae7-a03e-a0f4664c0b6d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b7ff0673-5937-4ae7-a03e-a0f4664c0b6d,1859,,,69343,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Getafe,216,['bfdfdfd2-3d44-49e8-a875-598d33f60c70'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,1.166913,,,,,,,,,,,,,,,7bb56cb1-bed1-421e-b73a-ba171c9c1208,5,,"[61.0, 41.0]",69343,0,,,,,1.6373645,,Right Foot,,,"[60.8, 44.0]",,Ground Pass,,3.0066593,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Left Center Forward,2,Barcelona,217,['c2585149-4e03-4d58-80e2-29016a6403e2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.189,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.2464,,,,,,,,,,,,,,,931a828e-4120-4b62-8247-f95b18e307d2,8,,"[60.5, 44.2]",69343,0,,,,,-2.9068701,,Right Foot,,,"[46.7, 40.9]",,Ground Pass,,14.18908,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Barcelona,217,['fde8b39a-57f2-443f-975d-1f7ebdcc33d7'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.961,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.4785,,,,,,,,,,,,,,,75e78fee-69d6-4b44-8065-e0c196120dc6,10,,"[46.7, 40.9]",69343,0,,,,,1.2008903,,Right Foot,,,"[50.5, 50.7]",,Ground Pass,,10.510946,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e3ec0719-19c7-497f-a255-d92643681a6b'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.208,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.8021,,,,,,,,,,,,,,,febbbee3-fa2f-40c8-81e6-6d608743f66d,13,,"[55.9, 53.0]",69343,0,,,,,-2.3993332,,Right Foot,,,"[41.4, 39.7]",,Ground Pass,,19.675873,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['8dbcff78-fbae-4efe-81c5-3e812eba65be'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.288,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.1977,,,,,,,,,,,,,,,020d1575-60aa-4a2e-b4fb-21aaf31781bf,16,,"[45.0, 34.6]",69343,0,,,,,-1.0863184,,Right Foot,,,"[51.0, 23.2]",,Ground Pass,,12.882546,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Back,2,Barcelona,217,['a31343fa-c4aa-4256-87e4-062c028391dc'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.558,Pass,,2011/2012
