ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.0656,,,,,,,,,,,,,,22aa126c-1bff-4dd3-89f9-15c9dc4497c3,15,,"[64.6, 77.0]",266433,0,,,,,-2.8995945,,Right Foot,,,,"[48.8, 73.1]",,Ground Pass,,16.274212,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,['7ea7a9a5-1821-4d65-abb6-65cbeb408255'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.565,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.8485,,,,,,,,,,,,,,b17758d1-a2a7-4bb5-997b-e129153054db,18,,"[49.5, 71.4]",266433,0,,,,,-1.3139699,,Right Foot,,,,"[52.1, 61.5]",,Ground Pass,,10.235722,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['0d955eae-4177-4ab2-ba7d-3edfd7223824'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.504,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.4378,,,,,,,,,,,,,,3347a374-e0a3-482d-8a58-ef21d9be47b6,21,,"[49.5, 62.1]",266433,0,,,,,1.8525681,,Right Foot,,,,"[47.3, 69.7]",,Ground Pass,,7.9120164,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['a8763567-87de-4688-a971-60d741f60bf7', 'c1b3ed97-c47a-4087-b95a-73ec410b63ea']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.353,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.0636,,,,,,,,,,,,,,e5134ec8-5cd5-4033-b40d-c1a50bcda105,24,,"[45.9, 66.1]",266433,0,,,,,-1.2865708,,Right Foot,,,,"[51.1, 48.3]",,Ground Pass,,18.544003,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['0fbf3517-6eb7-4a72-97bc-1c050d273674'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.130,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.2689,,,,,,,,,,,,,,de981c24-67aa-4c9f-87df-f57744db6ad1,27,,"[55.3, 57.0]",266433,0,,,,,0.92815137,,Right Foot,,,,"[69.3, 75.7]",,Ground Pass,,23.360008,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ed68c9fb-7eac-45a0-bf37-505c698eb4f7'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.594,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.3712,,,,,,,,,,,,,,1daf1d0c-6f7b-4a8b-b43a-ace223aacd65,30,,"[62.8, 69.6]",266433,0,,,,,-2.1421337,,Right Foot,,,,"[56.5, 59.8]",,Ground Pass,,11.650322,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,['821afa1e-3659-4c65-9a21-35fd4684c308'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.342,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.3054,,,,,,,,,,,,,,81bd9951-8b23-49ca-a284-d21590a0a030,33,,"[56.9, 54.1]",266433,0,,,,,-1.6554989,,Right Foot,,,,"[55.1, 32.9]",,Ground Pass,,21.276278,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['4dfb49eb-4431-42b5-8a53-04b7199f1017'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.836,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.6651,,,,,,,,,,,,,,48ecbbd5-6e4c-45f5-aac2-12b338139e82,36,,"[56.5, 24.1]",266433,0,,,,,-0.85856575,,Right Foot,,,,"[74.2, 3.6]",,Ground Pass,,27.083944,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['76a9383e-e8a0-434b-a229-68905fc626c6'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.345,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.9425,,,,,,,,,,,,,,0bec801f-a48e-442e-a3a4-06288f2bfd1c,39,,"[74.6, 9.6]",266433,0,,,,,2.1695802,,Right Foot,,,,"[68.8, 18.1]",,Ground Pass,,10.290287,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['f91c9d77-d996-4cff-a05c-80f9fcff25b8'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.222,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.5078,,,,,,,,,,,,,,d851b552-17dc-47fc-a363-8586ea6f18f0,42,,"[68.9, 23.2]",266433,0,,,,,1.0241362,,Right Foot,,,,"[98.9, 72.5]",,High Pass,,57.710396,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,True,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['b886d585-5b8d-4537-9e57-e51282d9ca11'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.586,Pass,,2012/2013
