50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e32bc78-f5c0-4a7e-95ad-7f6a1cd6aaa5,1,,,266525,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a169ca2f-63a7-4fd8-acfd-5893ca39b260,2,,,266525,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 27480, 'name': 'Lucas Alfonso Orbán Alegre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62f9d9bd-cb77-4e44-96ef-a473b110aa0f,3,,,266525,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['81949e58-f0d5-4b1e-a013-16142f2a2c6f'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81949e58-f0d5-4b1e-a013-16142f2a2c6f,4,,,266525,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['62f9d9bd-cb77-4e44-96ef-a473b110aa0f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d58091eb-e817-4ec1-b6e5-902f39bcea4b,1840,,,266525,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,98,Barcelona,217,['96d4f4bd-e283-490c-9754-286d4f423a8d'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96d4f4bd-e283-490c-9754-286d4f423a8d,1841,,,266525,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,98,Barcelona,217,['d58091eb-e817-4ec1-b6e5-902f39bcea4b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.5957,,,,,,,,,,,,,c76785fa-3347-4ebf-b9ef-c2085f137408,5,,"[61.0, 40.1]",266525,0,,,,1.9138203,,Left Foot,,,"[60.0, 42.9]",,Ground Pass,,2.9732137,,,,André Filipe Tavares Gomes,10802.0,,,,,Kick Off,1,From Kick Off,Rodrigo Moreno Machado,5718.0,Left Wing,2,Valencia,207,['2c9e1dc3-bf92-4976-934d-0c8597077c7d'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.685,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.8477,,,,,,,,,,,,,5cecbd41-e4a3-464a-87ec-fa8a0f226035,7,,"[59.4, 43.1]",266525,0,,,,-2.4743629,,Right Foot,,,"[34.9, 23.8]",,Ground Pass,,31.18878,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Center Midfield,2,Valencia,207,['58a073a9-a068-4cb4-ba0a-d04c36077043'],1,,,,,,,,,,,,,,,,,,Valencia,207,00:00:01.280,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.3439,,,,,,,,,,,,,8049ecc5-0896-4b48-94da-17f3139ba574,10,,"[35.6, 23.9]",266525,0,,,,-0.081365034,,Right Foot,,,"[82.2, 20.1]",,High Pass,,46.75468,,Incomplete,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,2,Valencia,207,"['338321cb-ac8b-4de1-b549-ffb3ed8d08f4', '7d915d05-1d3c-4969-a22e-5ad4d5e1404c']",4,,,,,,,,,,,,,,,,,,Valencia,207,00:00:04.549,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.9045,,,,,,,,,,,,,7d915d05-1d3c-4969-a22e-5ad4d5e1404c,13,,"[37.9, 60.0]",266525,0,,,True,-0.8256989,,,,,"[49.8, 47.1]",,Low Pass,,17.550499,,,,Xavier Hernández Creus,20131.0,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['70aa18ee-7aab-4ba0-85fa-b5d504dff79c', '8049ecc5-0896-4b48-94da-17f3139ba574', '8d275dfb-658f-4f54-89eb-a964ba0a3c14']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.893,Pass,True,2014/2015
