ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[33.7, 53.0]",,,,,,,,,,,1.8747,,,,,,,,,,,,,,f31d4944-f0d6-4690-9b6a-ebac85c1684b,1763,,"[28.2, 51.9]",70309,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,67,Barcelona,217,"['37c5dd05-642d-49ca-9f69-8e4877827b65', 'e85e1db6-cf97-4c75-94db-321465b3c073']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:58.574,Carry,,2012/2013
,,,"[37.6, 39.3]",,,,,,,,,,,0.8398,,,,,,,,,,,,,,9f847ea5-09f2-415f-93ee-51c1b8a992e2,1766,,"[37.6, 39.3]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,67,Barcelona,217,"['17164136-e600-4c63-81b7-1dbf61e1a0ee', 'ff61bd00-34d7-4b29-99d2-551c3dc9959d']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:01.703,Carry,,2012/2013
,,,"[56.1, 19.9]",,,,,,,,,,,4.7657,,,,,,,,,,,,,,d45a3983-f4e0-46f1-aaef-d7f808ed6bdb,1769,,"[42.6, 19.7]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,67,Barcelona,217,"['30694728-3e9e-49f1-8fec-8d636d3a34aa', '79ba362c-b41b-4bd8-8e9f-4462b0b4f4b3', '83b62b63-c909-4595-aa1e-36de790c3f5f']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:04.116,Carry,True,2012/2013
,,,"[40.0, 4.7]",,,,,,,,,,,3.5674,,,,,,,,,,,,,,ea0d2fed-8d1e-491c-931b-36320a17d02d,1773,,"[57.6, 4.5]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,67,Barcelona,217,"['1141075d-a721-4e16-af93-2428d04f0e69', 'a9a9f452-b609-4ceb-8405-3daa8dca8972', 'df9f69c1-675f-49fb-b44f-d2e0156dee6d']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:09.976,Carry,True,2012/2013
,,,"[7.3, 15.3]",,,,,,,,,,,0.04,,,,,,,,,,,,,,1fcd7d1a-4c3a-4f19-a45f-bab158400d01,1778,,"[6.7, 16.2]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,67,Barcelona,217,"['08efa1cc-9da1-480e-bd1f-b224e6165772', '3598017c-d26f-4750-8883-7bc85f58d5ef', '866e71ec-0f14-4202-ab96-cc6c9d02de3e']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:17.367,Carry,True,2012/2013
,,,"[66.0, 74.6]",,,,,,,,,,,0.08,,,,,,,,,,,,,,03f715e5-45b6-4982-b264-91ce378f3c3c,1784,,"[66.0, 74.6]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Franco Zuculini,7701.0,Right Midfield,68,Real Zaragoza,395,"['0b0aefe1-e030-4fc4-a6fc-b2a0efdb8018', '1a21410c-35a4-4489-a984-2a2bc9d7973b']",23,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:37:23.885,Carry,,2012/2013
,,,"[66.9, 60.9]",,,,,,,,,,,1.13179,,,,,,,,,,,,,,98395217-65fa-41cd-8692-2083446edd1a,1787,,"[64.7, 59.1]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jose María Movilla Cubero,25920.0,Right Defensive Midfield,68,Real Zaragoza,395,"['90a752a5-fb81-489c-8022-d1f35d0d7f89', 'df478767-70de-4b91-b2ba-672d7f87775e']",24,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:37:24.896,Carry,,2012/2013
,,,"[28.2, 17.3]",,,,,,,,,,,1.0001,,,,,,,,,,,,,,bf499e0b-7532-4867-8c3c-9a225b944386,1792,,"[30.6, 18.2]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,69,Barcelona,217,"['5d75601e-57c6-4246-9e21-ed398590c1ef', 'b1418c4a-5ad2-43da-8d3b-304e6180e157']",28,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:28.001,Carry,,2012/2013
,,,"[35.4, 15.6]",,,,,,,,,,,1.1268,,,,,,,,,,,,,,bffab2b0-762a-40cf-9819-c57a2f4da66c,1795,,"[35.2, 14.0]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,69,Barcelona,217,"['34d78cfb-fd76-41c3-830c-b6e7c30bf2d1', 'b7a6e52a-ecd0-4d19-bd11-7fc9987411bd']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:30.029,Carry,,2012/2013
,,,"[41.3, 39.1]",,,,,,,,,,,2.3845,,,,,,,,,,,,,,5c98f801-2f60-4bf5-9ed8-15dcb4a109b7,1798,,"[30.6, 31.0]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,69,Barcelona,217,"['6e7467df-63c0-4c13-a05c-c6ea6b0d0faf', '73dba359-5e2a-4723-84e1-075b013085f0']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:32.450,Carry,,2012/2013
