bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,f7fcb539-3e07-40a6-abd9-8d79b8938e5b,1,,,69174,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20215, 'name': 'Álvaro Arbeloa Coca'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26492, 'name': 'Juan Manuel Delgado Moreno'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26206, 'name': 'Sergio González Soriano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 26217, 'name': 'Ángel Javier Arizmendi de Lucas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 26212, 'name': 'Cristian Hidalgo González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 26055, 'name': 'Iván Sánchez Rico Soto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,cebf3b28-ab4e-42cc-a441-f49f4c94de1f,2,,,69174,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 25962, 'name': 'Javier Pedro Saviola Fernández'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7739264e-ef59-4010-9c56-6ccdc84b1cf3,3,,,69174,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['47714417-402c-42ac-b833-e22b428bbd1a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,47714417-402c-42ac-b833-e22b428bbd1a,4,,,69174,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['7739264e-ef59-4010-9c56-6ccdc84b1cf3'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,49ec5b22-ac4d-45bb-9932-7e9bc0b99405,1828,,,69174,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,116,RC Deportivo La Coruña,219,['74b6168b-5b74-4a21-8727-d14fbc92660e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,74b6168b-5b74-4a21-8727-d14fbc92660e,1829,,,69174,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,116,RC Deportivo La Coruña,219,['49ec5b22-ac4d-45bb-9932-7e9bc0b99405'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.7068,,,,,,,,,,,,,,,,,1be729ef-1ac3-4b58-be3a-03e7b44f23e7,5,,"[60.0, 40.0]",69174,0,,,,,1.833791,,Right Foot,,,"[59.3, 42.6]",Ground Pass,,2.6925824,,,,,Anderson Luís de Souza,19757.0,,,,,,Kick Off,1,From Kick Off,Javier Pedro Saviola Fernández,25962.0,Center Forward,2,Barcelona,217,['50f241ce-f3cc-4671-9239-4f5f423008a1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.209,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.059685,,,,,,,,,,,,,,,,,39768910-137b-42aa-a276-271ef640f7a8,8,,"[58.1, 43.4]",69174,0,,,,,-2.301703,,Right Foot,,,"[47.7, 31.8]",Ground Pass,,15.5794735,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['6b231076-c8fa-4a75-9df1-136aa8077391'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.104,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.78405,,,,,,,,,,,,,,,,,07137466-b16b-44f0-84b2-35706c9a49d3,11,,"[47.7, 31.8]",69174,0,,,,,-1.6221346,,Right Foot,,,"[46.4, 6.5]",Ground Pass,,25.333378,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['f8ff0ddd-6118-44a4-bf1a-b811a7eb5d8f'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.115,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,2.579969,,,,,,,,,,,,,,,,,dd5688b9-a250-44fc-9be1-0117389b4f66,14,,"[45.0, 6.5]",69174,0,,,,,2.5702553,,Left Foot,,,"[19.8, 22.7]",Ground Pass,,29.95797,,,,,Lilian Thuram,15071.0,,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Back,2,Barcelona,217,['ec91cca8-817d-4638-bcea-a6c6673a2f05'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.311,Pass,,2006/2007
