bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.361344,,,,,,,,,,,,,6a2859ae-922f-4ac1-aa7f-ca33cd99702a,15,,"[32.6, 1.0]",68325,0,,,,,1.1253285,,,,,,"[37.9, 12.1]",,Low Pass,,12.300406,,,,Anderson Luís de Souza,19757.0,,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['38927f65-0519-4767-b87b-5d31e1667d94'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.429,Pass,,2005/2006
,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,ebd50cf7-a1c8-4b20-9f7d-f535436deb20,23,,"[45.2, 11.1]",68325,0,,,,,-2.782822,,Right Foot,,,,"[43.6, 10.5]",,Low Pass,,1.7088008,,Unknown,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,3,Barcelona,217,['f740efbb-9577-4a5a-98a4-98fa40ea36bb'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.214,Pass,,2005/2006
,,,,,,,,,,,,,,,1.300999,,,,,,,,,,,,,7c2cc8c7-bdce-425f-b01f-37dcb682f3e9,27,,"[47.6, 3.9]",68325,0,,,,,2.5106912,,Left Foot,,,,"[33.5, 14.2]",,Ground Pass,,17.461386,,,,Rafael Márquez Álvarez,5558.0,,,,,,Free Kick,1,From Free Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['bfdb4230-c447-4ad9-9415-ffeb7184edf4'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.068,Pass,,2005/2006
,,,,,,,,,,,,,,,1.024476,,,,,,,,,,,,,32915544-2d77-483b-b461-f05c74d826c1,30,,"[33.9, 13.8]",68325,0,,,,,-0.70492715,,Right Foot,,,,"[40.6, 8.1]",,Ground Pass,,8.79659,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Left Center Back,4,Barcelona,217,['a19af8b7-2401-4fb2-8fc7-dfdeb954d89e'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.737,Pass,,2005/2006
,,,,,,,,,,,,,,,2.853465,,,,,,,,,,,,,b4e7e0e6-4dff-4ae3-aa25-b07ccc95a925,33,,"[46.1, 16.5]",68325,0,,,,,0.55134946,,Right Foot,,,,"[100.9, 50.2]",,High Pass,,64.33296,,,,Henrik Larsson,15743.0,,,,,,,1,From Free Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['1aadca1e-51eb-4088-a42b-df8c6af3bc4d'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.169,Pass,,2005/2006
,,,,,,,,,,,,,,,0.0631,,,,,,,,,,,,,c88790ae-6043-4d26-9fbe-69b7f0215182,35,,"[100.7, 49.8]",68325,0,,,,,1.4601392,,Head,,,,"[100.9, 51.6]",,High Pass,,1.811077,,Incomplete,,Ludovic Giuly,25878.0,,,,,,,1,From Free Kick,Henrik Larsson,15743.0,Center Forward,4,Barcelona,217,"['4c16e82c-e186-4dd8-8d44-59975f547e8a', '89b2db80-edf1-4724-9fa1-cac5c4a466d0']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.022,Pass,,2005/2006
,,,,,,,,,,,,,,,1.922092,,,,,,,,,,,,,886ef0eb-8a7c-4a55-828c-efb970639456,42,,"[28.7, 71.0]",68325,0,,,,,-0.21924432,,Right Foot,,,,"[65.5, 62.8]",,High Pass,,37.70252,,,,Víctor Casadesús Castaño,23791.0,,,,,,,1,From Free Kick,David Cortés Caballero,25994.0,Right Back,4,Barcelona,217,"['4cc8a924-313d-4375-a954-176be7b810fc', 'd1bb9153-36fc-4db2-9821-559ecb757b98']",53,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:53.048,Pass,True,2005/2006
,,,,,,,,,,,,,,,1.110065,,,,,,,,,,,,,5a373bd3-9d61-44dc-b1ee-1aca46fe1ef3,46,,"[61.6, 1.0]",68325,1,,,,,0.7853982,,,,,,"[73.4, 12.8]",,Low Pass,,16.68772,,,,Ronaldo de Assis Moreira,25879.0,,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,5,Barcelona,217,['827873dc-8670-494c-8b80-e01332e59e57'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.490,Pass,,2005/2006
,,,,,,,,,,,,,,,1.092988,,,,,,,,,,,,,13d5a144-81fc-4d63-bb6d-c3c5e586f4f7,49,,"[73.4, 12.8]",68325,1,,,,,2.1866663,,Right Foot,,,,"[64.2, 25.8]",,Ground Pass,,15.926079,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['64bb8649-9987-40a8-a7f5-77c729ea2d3a'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.640,Pass,,2005/2006
,,,,,,,,,,,,,,,2.630573,,,,,,,,,,,,,000fa8c3-6bd9-4238-9de4-9dc7689dc6f9,52,,"[64.2, 25.8]",68325,1,,,,,0.7648249,,Right Foot,,,,"[101.4, 61.5]",,High Pass,,51.558994,,Incomplete,,Ludovic Giuly,25878.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,5,Barcelona,217,"['2f37f1a3-a239-438f-9c1f-bf80cfee0529', 'ae31df98-31b6-4dbc-beb9-11c9fc2e6033']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.912,Pass,,2005/2006
