bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.186561,,,,,,,,,,,,,,4fd93740-de68-4358-8bf6-2572ad550705,18,,"[64.6, 64.7]",69232,0,,,,,-0.41080013,,Left Foot,,,"[80.9, 57.6]",,Ground Pass,,17.779202,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['b29c725c-e71b-468a-90dc-0566dd3fe4e1'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.874,Pass,,2008/2009
,,,,,,,,,,,,,,2.854358,,,,,,,,,,,,,,3ac987af-f96b-499e-8173-fa40b06d3bec,24,,"[78.8, 65.3]",69232,0,,,,,-1.8496869,,Right Foot,,,"[66.0, 20.6]",,High Pass,,46.49656,,,,Eric-Sylvain Bilal Abidal,20177.0,,True,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['e3c6630e-2899-4486-85cc-b3d7bfb8ce47'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.246,Pass,,2008/2009
,,,,,,,,,,,,,,1.11549,,,,,,,,,,,,,,a106a958-13dc-4018-af58-9cb5b46fb5b7,27,,"[66.8, 17.6]",69232,0,,,,,-0.8450881,,Left Foot,,,"[78.6, 4.3]",,Ground Pass,,17.780045,,,,Thierry Henry,15516.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['9d4e43f4-3b3f-4f86-91d0-17d204cd98ae'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.323,Pass,,2008/2009
,,,,,,,,,,,,,,1.354116,,,,,,,,,,,,,,91854a92-88a9-4094-84a3-64d37e50083f,31,,"[78.6, 7.2]",69232,0,,,,,-0.06241881,,Right Foot,,,"[101.0, 5.8]",,Ground Pass,,22.443707,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Thierry Henry,15516.0,Left Wing,3,Barcelona,217,"['0ee9def2-27f9-4d24-b244-27f1a72ed199', 'fe673a25-a005-427e-840b-7c15dc291666']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.346,Pass,True,2008/2009
,,,,,,,,,,,,,,1.584657,,,,,,,,,,,,,,b80f2913-63d9-4f93-9790-d381fcb385f7,34,,"[108.0, 3.7]",69232,0,,,,,3.0351264,,Left Foot,,,"[94.9, 5.1]",,Ground Pass,,13.174597,,,,Thierry Henry,15516.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['41aa3e36-cbe1-44e7-a40a-2bc8e3f6a45b'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.135,Pass,,2008/2009
,,,,,,,,,,,,,,1.537766,,,,,,,,,,,,,,abfde99d-ae19-41c6-8517-76b331ad47d1,38,,"[88.5, 14.2]",69232,0,,,,,3.0072713,,Right Foot,,,"[77.4, 15.7]",,Ground Pass,,11.200892,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Thierry Henry,15516.0,Left Wing,3,Barcelona,217,['0558869b-0fcf-454c-aada-00801cd583d8'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.803,Pass,,2008/2009
,,,,,,,,,,,,,,2.41058,,,,,,,,,,,,,,02b226aa-e67b-4809-999c-34053d8f11e7,42,,"[75.0, 15.7]",69232,0,,,,,2.0842402,,Right Foot,,,"[54.7, 51.7]",,Ground Pass,,41.329044,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,['5f3ddd35-a9ee-46b0-90cf-f2f547d88755'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.686,Pass,,2008/2009
,,,,,,,,,,,,,,1.643665,,,,,,,,,,,,,,f328b122-4320-439c-b426-7e0ca46f9d0d,45,,"[56.8, 51.1]",69232,0,,,,,0.8906588,,Right Foot,,,"[75.0, 73.6]",,Ground Pass,,28.939419,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,3,Barcelona,217,['6a81e008-eb91-4ab9-9070-60b8fe359cc4'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.609,Pass,,2008/2009
,,,,,,,,,,,,,,1.007987,,,,,,,,,,,,,,1b632837-71aa-44bf-92b7-90d116b9e8f2,48,,"[78.2, 69.1]",69232,0,,,,,2.2416537,,Right Foot,,,"[73.2, 75.4]",,Ground Pass,,8.04301,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['f0cfa019-9dcd-4192-80d8-e4b58e6f396f'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.283,Pass,,2008/2009
,,,,,,,,,,,,,,1.443435,,,,,,,,,,,,,,60cadc45-80b5-4a74-adbc-5ed1bdf367b5,51,,"[76.2, 72.5]",69232,0,,,,,-1.3174746,,Left Foot,,,"[81.3, 52.8]",,Ground Pass,,20.349447,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['fa49f800-fb67-44e9-866f-4a732b868b86'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.084,Pass,,2008/2009
