Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
7,Jordi Alba,es ESP,DF,Barcelona,27,1989,26,21,1968,21.9,1,6,7,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32,Matches
9,Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,9.5,6,3,9,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94,Matches
12,Carles Aleñá,es ESP,MF,Barcelona,18,1998,3,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Claudio Bravo,cl CHI,GK,Barcelona,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Sergio Busquets,es ESP,MF,Barcelona,28,1988,33,33,2687,29.9,0,3,3,0,0,0,9,0,0.00,0.10,0.10,0.00,0.10,Matches
112,Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Lucas Digne,fr FRA,DF,Barcelona,23,1993,17,14,1171,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
197,André Gomes,pt POR,MF,Barcelona,23,1993,30,17,1591,17.7,3,1,4,3,0,0,3,0,0.17,0.06,0.23,0.17,0.23,Matches
216,Munir El Haddadi,ma MAR,"FW,MF",Barcelona,20,1995,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
233,Andrés Iniesta,es ESP,MF,Barcelona,32,1984,23,13,1336,14.8,0,3,3,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
321,Marlon,br BRA,DF,Barcelona,20,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
331,Javier Mascherano,ar ARG,DF,Barcelona,32,1984,25,20,1921,21.3,1,3,4,0,1,1,6,0,0.05,0.14,0.19,0.00,0.14,Matches
332,Jérémy Mathieu,fr FRA,DF,Barcelona,32,1983,13,12,1039,11.5,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
343,Lionel Messi,ar ARG,FW,Barcelona,29,1987,34,32,2830,31.4,37,9,46,31,6,7,6,0,1.18,0.29,1.46,0.99,1.27,Matches
374,Neymar,br BRA,FW,Barcelona,24,1992,30,30,2649,29.4,13,10,23,12,1,1,7,1,0.44,0.34,0.78,0.41,0.75,Matches
412,Gerard Piqué,es ESP,DF,Barcelona,29,1987,25,25,2191,24.3,2,0,2,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
418,Rafinha,br BRA,MF,Barcelona,23,1993,18,14,1073,11.9,6,2,8,6,0,0,1,0,0.50,0.17,0.67,0.50,0.67,Matches
419,Ivan Rakitić,hr CRO,MF,Barcelona,28,1988,32,26,2341,26.0,8,6,14,8,0,0,5,0,0.31,0.23,0.54,0.31,0.54,Matches
439,Sergi Roberto,es ESP,DF,Barcelona,24,1992,32,26,2383,26.5,0,5,5,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19,Matches
495,Denis Suárez,es ESP,MF,Barcelona,22,1994,26,12,1186,13.2,1,3,4,1,0,0,1,0,0.08,0.23,0.30,0.08,0.30,Matches
497,Luis Suárez,uy URU,FW,Barcelona,29,1987,35,34,2857,31.7,28,12,40,28,0,0,8,0,0.88,0.38,1.26,0.88,1.26,Matches
503,Marc-André ter Stegen,de GER,GK,Barcelona,24,1992,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
518,Arda Turan,tr TUR,"FW,MF",Barcelona,29,1987,18,14,1244,13.8,3,3,6,3,0,0,1,0,0.22,0.22,0.43,0.22,0.43,Matches
521,Samuel Umtiti,fr FRA,DF,Barcelona,22,1993,25,24,2129,23.7,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
533,Aleix Vidal,es ESP,DF,Barcelona,26,1989,6,5,476,5.3,2,2,4,2,0,0,0,0,0.38,0.38,0.76,0.38,0.76,Matches
