Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
6,Adriano,br BRA,"DF,MF",es Barcelona,28,1984,5,5,450,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
13,Jordi Alba,es ESP,"DF,MF",es Barcelona,24,1989,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Dani Alves,br BRA,"DF,MF",es Barcelona,30,1983,8,8,720,8.0,2,0,2,2,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches
53,Marc Bartra,es ESP,DF,es Barcelona,22,1991,4,2,268,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Sergio Busquets,es ESP,MF,es Barcelona,25,1988,9,9,793,8.8,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
180,Cesc Fàbregas,es ESP,"FW,MF",es Barcelona,26,1987,9,7,560,6.2,1,2,3,1,0,0,4,0,0.16,0.32,0.48,0.16,0.48,Matches
273,Andrés Iniesta,es ESP,MF,es Barcelona,29,1984,9,9,779,8.7,0,3,3,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35,Matches
370,José Manuel Pinto,es ESP,GK,es Barcelona,37,1975,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
375,Jean Marie Dongou,cm CMR,FW,es Barcelona,18,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
382,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,29,1984,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
400,Lionel Messi,ar ARG,"FW,MF",es Barcelona,26,1987,7,7,630,7.0,8,0,8,6,2,2,0,0,1.14,0.00,1.14,0.86,0.86,Matches
416,Martín Montoya,es ESP,DF,es Barcelona,22,1991,2,2,180,2.0,0,1,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,Matches
442,Neymar,br BRA,"FW,MF",es Barcelona,21,1992,10,9,776,8.6,4,3,7,4,0,0,1,0,0.46,0.35,0.81,0.46,0.81,Matches
466,Pedro,es ESP,"FW,MF",es Barcelona,26,1987,7,3,304,3.4,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
478,Gerard Piqué,es ESP,DF,es Barcelona,26,1987,9,9,722,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
495,Carles Puyol,es ESP,DF,es Barcelona,35,1978,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Sergi Roberto,es ESP,"DF,MF",es Barcelona,21,1992,4,1,114,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
544,Alexis Sánchez,cl CHI,"FW,MF",es Barcelona,24,1988,9,5,467,5.2,0,2,2,0,0,0,3,0,0.00,0.39,0.39,0.00,0.39,Matches
581,Alexandre Song,cm CMR,"DF,MF",es Barcelona,25,1987,4,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
609,Cristian Tello,es ESP,"FW,MF",es Barcelona,21,1991,2,0,39,0.4,1,0,1,1,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches
620,Adama Traoré,es ESP,"FW,MF",es Barcelona,17,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
626,Víctor Valdés,es ESP,GK,es Barcelona,31,1982,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
661,Xavi,es ESP,MF,es Barcelona,33,1980,10,9,811,9.0,1,3,4,0,1,1,0,0,0.11,0.33,0.44,0.00,0.33,Matches
679,Gil Patri,,,es Barcelona,,,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
