Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
28,Ronald Araújo,uy URU,DF,es Barcelona,25,1999,5.8,,,,,,,,,,,,,,,,,,,,,Matches
54,Alejandro Balde,es ESP,DF,es Barcelona,20,2003,8.9,,,,,,,,,,,,,,,,,,,,,Matches
138,Marc Casado,es ESP,MF,es Barcelona,20,2003,7.0,,,,,,,,,,,,,,,,,,,,,Matches
151,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,28,1996,0.1,,,,,,,,,,,,,,,,,,,,,Matches
171,Pau Cubarsí,es ESP,DF,es Barcelona,17,2007,10.9,,,,,,,,,,,,,,,,,,,,,Matches
172,Andres Cuenca,es ESP,DF,es Barcelona,17,2007,0.1,,,,,,,,,,,,,,,,,,,,,Matches
214,Sergi Dominguez,es ESP,DF,es Barcelona,19,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
245,Ansu Fati,es ESP,"FW,MF",es Barcelona,21,2002,0.5,,,,,,,,,,,,,,,,,,,,,Matches
254,Héctor Fort,es ESP,DF,es Barcelona,17,2006,0.6,,,,,,,,,,,,,,,,,,,,,Matches
271,Eric García,es ESP,"DF,MF",es Barcelona,23,2001,3.1,,,,,,,,,,,,,,,,,,,,,Matches
275,Gavi,es ESP,MF,es Barcelona,19,2004,3.3,,,,,,,,,,,,,,,,,,,,,Matches
370,Frenkie de Jong,nl NED,MF,es Barcelona,27,1997,8.9,,,,,,,,,,,,,,,,,,,,,Matches
421,Jules Koundé,fr FRA,DF,es Barcelona,25,1998,12.3,,,,,,,,,,,,,,,,,,,,,Matches
450,Robert Lewandowski,pl POL,FW,es Barcelona,35,1988,10.8,,,,,,,,,,,,,,,,,,,,,Matches
460,Fermin López,es ESP,MF,es Barcelona,21,2003,5.0,,,,,,,,,,,,,,,,,,,,,Matches
491,Gerard Martín,es ESP,DF,es Barcelona,22,2002,5.0,,,,,,,,,,,,,,,,,,,,,Matches
497,Iñigo Martínez,es ESP,DF,es Barcelona,33,1991,10.6,,,,,,,,,,,,,,,,,,,,,Matches
590,Dani Olmo,es ESP,MF,es Barcelona,26,1998,4.8,,,,,,,,,,,,,,,,,,,,,Matches
622,Pedri,es ESP,MF,es Barcelona,21,2002,12.3,,,,,,,,,,,,,,,,,,,,,Matches
624,Iñaki Peña,es ESP,GK,es Barcelona,25,1999,5.0,,,,,,,,,,,,,,,,,,,,,Matches
654,Raphinha,br BRA,MF,es Barcelona,27,1996,13.6,,,,,,,,,,,,,,,,,,,,,Matches
771,Wojciech Szczęsny,pl POL,GK,es Barcelona,34,1990,8.3,,,,,,,,,,,,,,,,,,,,,Matches
785,Marc-André ter Stegen,de GER,GK,es Barcelona,32,1992,1.0,,,,,,,,,,,,,,,,,,,,,Matches
804,Pablo Torre,es ESP,MF,es Barcelona,21,2003,0.2,,,,,,,,,,,,,,,,,,,,,Matches
806,Ferrán Torres,es ESP,FW,es Barcelona,24,2000,4.7,,,,,,,,,,,,,,,,,,,,,Matches
839,Pau Victor,es ESP,FW,es Barcelona,22,2001,0.6,,,,,,,,,,,,,,,,,,,,,Matches
863,Lamine Yamal,es ESP,MF,es Barcelona,17,2007,12.2,,,,,,,,,,,,,,,,,,,,,Matches
