Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2016-2017,Claudio Bravo,cl CHI,GK,33.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Javier Mascherano,ar ARG,DF,32.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Lionel Messi,ar ARG,FW,29.0,2,2,180.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.5,1.5,Matches,Barcelona
2016-2017,Arda Turan,tr TUR,FW,29.0,2,2,166.0,1.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.08,0.54,1.63,1.08,1.63,Matches,Barcelona
2016-2017,Sergio Busquets,es ESP,MF,28.0,2,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Denis Suárez,es ESP,MF,22.0,2,1,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Lucas Digne,fr FRA,DF,23.0,2,1,124.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73,Matches,Barcelona
2016-2017,Ivan Rakitić,hr CRO,MF,28.0,2,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Munir El Haddadi,ma MAR,FW,20.0,2,1,104.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.87,0.0,0.87,0.87,0.87,Matches,Barcelona
2016-2017,André Gomes,pt POR,MF,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Gerard Piqué,es ESP,DF,29.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Sergi Roberto,es ESP,DF,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Luis Suárez,uy URU,FW,29.0,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches,Barcelona
2016-2017,Samuel Umtiti,fr FRA,DF,22.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Aleix Vidal,es ESP,DF,26.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Andrés Iniesta,es ESP,MF,32.0,1,1,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Jérémy Mathieu,fr FRA,DF,32.0,1,1,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Jordi Alba,es ESP,"DF,MF",27.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Sergi Samper,es ESP,MF,21.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2016-2017,Jordi Masip,es ESP,GK,27.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
