Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2024-2025,Pau Cubarsí,es ESP,DF,17.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Jules Koundé,fr FRA,DF,25.0,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches,Barcelona
2024-2025,Pedri,es ESP,MF,21.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Alejandro Balde,es ESP,DF,20.0,2,2,172.0,1.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.52,0.52,1.05,0.52,1.05,Matches,Barcelona
2024-2025,Marc Casado,es ESP,MF,20.0,2,2,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,Matches,Barcelona
2024-2025,Raphinha,br BRA,MF,27.0,2,2,168.0,1.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.07,0.54,1.61,1.07,1.61,Matches,Barcelona
2024-2025,Robert Lewandowski,pl POL,FW,35.0,2,2,162.0,1.8,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.56,0.56,1.11,0.0,0.56,Matches,Barcelona
2024-2025,Wojciech Szczęsny,pl POL,GK,34.0,2,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Gavi,es ESP,MF,19.0,2,2,130.0,1.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.69,0.69,1.38,0.69,1.38,Matches,Barcelona
2024-2025,Lamine Yamal,es ESP,MF,17.0,2,2,120.0,1.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,1.5,Matches,Barcelona
2024-2025,Iñigo Martínez,es ESP,DF,33.0,2,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Ronald Araújo,uy URU,DF,25.0,1,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Dani Olmo,es ESP,"FW,MF",26.0,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Iñaki Peña,es ESP,GK,25.0,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Ferrán Torres,es ESP,"FW,MF",24.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Fermin López,es ESP,MF,21.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Frenkie de Jong,nl NED,"DF,MF",27.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Eric García,es ESP,"DF,MF",23.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Gerard Martín,es ESP,DF,22.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2024-2025,Ander Astralaga,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2024-2025,Toni Fernández,es ESP,MF,16.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2024-2025,Héctor Fort,es ESP,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2024-2025,Pablo Torre,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2024-2025,Pau Victor,es ESP,FW,22.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
