Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2020-2021,Jordi Alba,es ESP,DF,31.0,2,2,240.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,Barcelona
2020-2021,Ronald Araújo,uy URU,DF,21.0,2,2,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Antoine Griezmann,fr FRA,FW,29.0,2,2,240.0,2.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.75,0.37,1.13,0.75,1.13,Matches,Barcelona
2020-2021,Frenkie de Jong,nl NED,MF,23.0,2,2,240.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,Matches,Barcelona
2020-2021,Marc-André ter Stegen,de GER,GK,28.0,2,2,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Clément Lenglet,fr FRA,DF,25.0,2,2,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Ousmane Dembélé,fr FRA,"MF,FW",23.0,2,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Sergio Busquets,es ESP,MF,32.0,2,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Pedri,es ESP,MF,17.0,2,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Óscar Mingueza,es ESP,DF,21.0,2,1,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Lionel Messi,ar ARG,FW,33.0,1,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Martin Braithwaite,dk DEN,MF,29.0,2,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Sergiño Dest,us USA,DF,19.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Miralem Pjanić,ba BIH,MF,30.0,2,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Francisco Trincão,pt POR,"FW,MF",20.0,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Riqui Puig,es ESP,MF,20.0,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Junior Firpo,do DOM,"DF,MF",23.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2020-2021,Ilaix Moriba,gn GUI,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2020-2021,Neto,br BRA,GK,31.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2020-2021,Iñaki Peña,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2020-2021,Samuel Umtiti,fr FRA,DF,26.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
