Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Phillip Cocu,nl NED,"DF,FW",32.0,36,36.0,3129,34.8,5.0,2.0,7.0,5.0,0.0,0.0,5.0,2.0,0.14,0.06,0.2,0.14,0.2,Matches,Barcelona
Xavi,es ESP,MF,23.0,36,34.0,3014,33.5,4.0,9.0,13.0,4.0,0.0,0.0,3.0,0.0,0.12,0.27,0.39,0.12,0.39,Matches,Barcelona
Giovanni van Bronckhorst,nl NED,"DF,MF",28.0,34,34.0,3007,33.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Barcelona
Víctor Valdés,es ESP,GK,21.0,33,33.0,2914,32.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ronaldinho,br BRA,"FW,MF",23.0,32,32.0,2677,29.7,15.0,5.0,20.0,13.0,2.0,2.0,10.0,1.0,0.5,0.17,0.67,0.44,0.61,Matches,Barcelona
Michael Reiziger,nl NED,DF,30.0,30,29.0,2488,27.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Barcelona
Javier Saviola,ar ARG,FW,21.0,33,28.0,2274,25.3,14.0,5.0,19.0,14.0,0.0,1.0,5.0,0.0,0.55,0.2,0.75,0.55,0.75,Matches,Barcelona
Carles Puyol,es ESP,DF,25.0,27,27.0,2338,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Luis García,es ESP,MF,25.0,25,23.0,1659,18.4,4.0,7.0,11.0,4.0,0.0,0.0,1.0,0.0,0.22,0.38,0.6,0.22,0.6,Matches,Barcelona
Edgar Davids,nl NED,MF,30.0,18,18.0,1468,16.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,Barcelona
Oleguer Presas,es ESP,DF,23.0,18,17.0,1558,17.3,0.0,,,0.0,0.0,,3.0,0.0,0.0,,,0.0,,Matches,Barcelona
Rafael Márquez,mx MEX,"DF,MF",24.0,22,17.0,1388,15.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,Barcelona
Thiago Motta,it ITA,MF,20.0,20,13.0,1020,11.3,1.0,1.0,2.0,1.0,0.0,0.0,10.0,3.0,0.09,0.09,0.18,0.09,0.18,Matches,Barcelona
Gabri García,es ESP,"DF,MF",24.0,16,12.0,1082,12.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches,Barcelona
Patrick Kluivert,nl NED,FW,27.0,21,11.0,1287,14.3,8.0,2.0,10.0,8.0,0.0,0.0,2.0,0.0,0.56,0.14,0.7,0.56,0.7,Matches,Barcelona
Gerard López,es ESP,MF,24.0,19,11.0,1232,13.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches,Barcelona
Luis Enrique,es ESP,"FW,MF",33.0,24,10.0,1022,11.4,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,0.26,0.18,0.44,0.26,0.44,Matches,Barcelona
Ricardo Quaresma,pt POR,"FW,MF",19.0,22,10.0,1000,11.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.09,0.09,0.18,0.09,0.18,Matches,Barcelona
Marc Overmars,nl NED,"FW,MF",30.0,20,5.0,799,8.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches,Barcelona
Andrés Iniesta,es ESP,MF,19.0,11,5.0,498,5.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.18,0.36,0.54,0.18,0.54,Matches,Barcelona
Rüştü Reçber,tr TUR,GK,30.0,4,3.0,326,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Óscar López,es ESP,DF,23.0,6,2.0,311,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,Barcelona
Patrik Andersson,se SWE,DF,31.0,4,2.0,208,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sergio García,es ESP,"FW,MF",20.0,4,2.0,206,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,Matches,Barcelona
Albert Jorquera,es ESP,GK,24.0,2,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sergio Santamaría,es ESP,"FW,MF",23.0,4,1.0,146,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Mario,es ESP,DF,21.0,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ramón Ros,es ESP,MF,22.0,1,0.0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
