ID_Partido,Fecha,Temporada,Rival,URL_FBref
755,2018-01-28,2017-2018,Alavés,https://fbref.com/en/matches/8e1c406c/Barcelona-Alaves-January-28-2018-La-Liga
757,2018-02-04,2017-2018,Espanyol,https://fbref.com/en/matches/79bbc767/Espanyol-Barcelona-February-4-2018-La-Liga
759,2018-02-11,2017-2018,Getafe,https://fbref.com/en/matches/22bd07eb/Barcelona-Getafe-February-11-2018-La-Liga
760,2018-02-17,2017-2018,Eibar,https://fbref.com/en/matches/32a852b1/Eibar-Barcelona-February-17-2018-La-Liga
762,2018-02-24,2017-2018,Girona,https://fbref.com/en/matches/d65971f2/Barcelona-Girona-February-24-2018-La-Liga
763,2018-03-01,2017-2018,Las Palmas,https://fbref.com/en/matches/22a21afb/Las-Palmas-Barcelona-March-1-2018-La-Liga
764,2018-03-04,2017-2018,Atlético Madrid,https://fbref.com/en/matches/dde69bde/Barcelona-Atletico-Madrid-March-4-2018-La-Liga
767,2018-03-18,2017-2018,Athletic Club,https://fbref.com/en/matches/e9de296f/Barcelona-Athletic-Club-March-18-2018-La-Liga
768,2018-03-31,2017-2018,Sevilla,https://fbref.com/en/matches/8b72278e/Sevilla-Barcelona-March-31-2018-La-Liga
770,2018-04-07,2017-2018,Leganés,https://fbref.com/en/matches/819b75df/Barcelona-Leganes-April-7-2018-La-Liga
772,2018-04-14,2017-2018,Valencia,https://fbref.com/en/matches/958a070e/Barcelona-Valencia-April-14-2018-La-Liga
773,2018-04-17,2017-2018,Celta Vigo,https://fbref.com/en/matches/964d343b/Celta-Vigo-Barcelona-April-17-2018-La-Liga
775,2018-04-29,2017-2018,Dep La Coruña,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
776,2018-05-06,2017-2018,Real Madrid,https://fbref.com/en/matches/d1d121c7/El-Clasico-Barcelona-Real-Madrid-May-6-2018-La-Liga
777,2018-05-09,2017-2018,Villarreal,https://fbref.com/en/matches/0a1c93b4/Barcelona-Villarreal-May-9-2018-La-Liga
779,2018-05-20,2017-2018,Real Sociedad,https://fbref.com/en/matches/c57a8e8d/Barcelona-Real-Sociedad-May-20-2018-La-Liga
781,2018-08-18,2018-2019,Alavés,https://fbref.com/en/matches/e95b2588/Barcelona-Alaves-August-18-2018-La-Liga
782,2018-08-25,2018-2019,Valladolid,https://fbref.com/en/matches/262193b3/Valladolid-Barcelona-August-25-2018-La-Liga
783,2018-09-02,2018-2019,Huesca,https://fbref.com/en/matches/0b6d40c5/Barcelona-Huesca-September-2-2018-La-Liga
784,2018-09-15,2018-2019,Real Sociedad,https://fbref.com/en/matches/afa6f343/Real-Sociedad-Barcelona-September-15-2018-La-Liga
786,2018-09-23,2018-2019,Girona,https://fbref.com/en/matches/96e8cb92/Barcelona-Girona-September-23-2018-La-Liga
787,2018-09-26,2018-2019,Leganés,https://fbref.com/en/matches/2ffc9376/Leganes-Barcelona-September-26-2018-La-Liga
788,2018-09-29,2018-2019,Athletic Club,https://fbref.com/en/matches/104beba1/Barcelona-Athletic-Club-September-29-2018-La-Liga
790,2018-10-07,2018-2019,Valencia,https://fbref.com/en/matches/5df44b11/Valencia-Barcelona-October-7-2018-La-Liga
791,2018-10-20,2018-2019,Sevilla,https://fbref.com/en/matches/ce338edb/Barcelona-Sevilla-October-20-2018-La-Liga
797,2018-11-11,2018-2019,Real Betis,https://fbref.com/en/matches/8113b235/Barcelona-Real-Betis-November-11-2018-La-Liga
798,2018-11-24,2018-2019,Atlético Madrid,https://fbref.com/en/matches/21323dd4/Atletico-Madrid-Barcelona-November-24-2018-La-Liga
800,2018-12-02,2018-2019,Villarreal,https://fbref.com/en/matches/abb582f2/Barcelona-Villarreal-December-2-2018-La-Liga
802,2018-12-08,2018-2019,Espanyol,https://fbref.com/en/matches/6e08f11b/Espanyol-Barcelona-December-8-2018-La-Liga
804,2018-12-16,2018-2019,Levante,https://fbref.com/en/matches/190484d3/Levante-Barcelona-December-16-2018-La-Liga
805,2018-12-22,2018-2019,Celta Vigo,https://fbref.com/en/matches/7a2c8e2d/Barcelona-Celta-Vigo-December-22-2018-La-Liga
806,2019-01-06,2018-2019,Getafe,https://fbref.com/en/matches/91572149/Getafe-Barcelona-January-6-2019-La-Liga
808,2019-01-13,2018-2019,Eibar,https://fbref.com/en/matches/bc534a87/Barcelona-Eibar-January-13-2019-La-Liga
810,2019-01-20,2018-2019,Leganés,https://fbref.com/en/matches/582c7af9/Barcelona-Leganes-January-20-2019-La-Liga
812,2019-01-27,2018-2019,Girona,https://fbref.com/en/matches/fe1f2ee5/Girona-Barcelona-January-27-2019-La-Liga
814,2019-02-02,2018-2019,Valencia,https://fbref.com/en/matches/2cb199b0/Barcelona-Valencia-February-2-2019-La-Liga
816,2019-02-10,2018-2019,Athletic Club,https://fbref.com/en/matches/7a72c2d3/Athletic-Club-Barcelona-February-10-2019-La-Liga
817,2019-02-16,2018-2019,Valladolid,https://fbref.com/en/matches/df8fbe37/Barcelona-Valladolid-February-16-2019-La-Liga
819,2019-02-23,2018-2019,Sevilla,https://fbref.com/en/matches/9c343f00/Sevilla-Barcelona-February-23-2019-La-Liga
821,2019-03-02,2018-2019,Real Madrid,https://fbref.com/en/matches/38da3cd1/El-Clasico-Real-Madrid-Barcelona-March-2-2019-La-Liga
822,2019-03-09,2018-2019,Rayo Vallecano,https://fbref.com/en/matches/7e724c75/Barcelona-Rayo-Vallecano-March-9-2019-La-Liga
824,2019-03-17,2018-2019,Real Betis,https://fbref.com/en/matches/c59ccf5a/Real-Betis-Barcelona-March-17-2019-La-Liga
825,2019-03-30,2018-2019,Espanyol,https://fbref.com/en/matches/d0f59a88/Barcelona-Espanyol-March-30-2019-La-Liga
826,2019-04-02,2018-2019,Villarreal,https://fbref.com/en/matches/e6d0225d/Villarreal-Barcelona-April-2-2019-La-Liga
827,2019-04-06,2018-2019,Atlético Madrid,https://fbref.com/en/matches/6fbc572e/Barcelona-Atletico-Madrid-April-6-2019-La-Liga
831,2019-04-20,2018-2019,Real Sociedad,https://fbref.com/en/matches/dc6a34e3/Barcelona-Real-Sociedad-April-20-2019-La-Liga
832,2019-04-23,2018-2019,Alavés,https://fbref.com/en/matches/17a1c1b8/Alaves-Barcelona-April-23-2019-La-Liga
833,2019-04-27,2018-2019,Levante,https://fbref.com/en/matches/2e9825c3/Barcelona-Levante-April-27-2019-La-Liga
837,2019-05-12,2018-2019,Getafe,https://fbref.com/en/matches/13699801/Barcelona-Getafe-May-12-2019-La-Liga
838,2019-05-19,2018-2019,Eibar,https://fbref.com/en/matches/a7b68aed/Eibar-Barcelona-May-19-2019-La-Liga
845,2019-09-21,2019-2020,Granada,https://fbref.com/en/matches/244f79cf/Granada-Barcelona-September-21-2019-La-Liga
846,2019-09-24,2019-2020,Villarreal,https://fbref.com/en/matches/fd89adbb/Barcelona-Villarreal-September-24-2019-La-Liga
849,2019-10-06,2019-2020,Sevilla,https://fbref.com/en/matches/4bb0f58e/Barcelona-Sevilla-October-6-2019-La-Liga
850,2019-10-19,2019-2020,Eibar,https://fbref.com/en/matches/9232aa89/Eibar-Barcelona-October-19-2019-La-Liga
852,2019-10-29,2019-2020,Valladolid,https://fbref.com/en/matches/7f3e94c6/Barcelona-Valladolid-October-29-2019-La-Liga
853,2019-11-02,2019-2020,Levante,https://fbref.com/en/matches/e9d7c91f/Levante-Barcelona-November-2-2019-La-Liga
855,2019-11-09,2019-2020,Celta Vigo,https://fbref.com/en/matches/67485b99/Barcelona-Celta-Vigo-November-9-2019-La-Liga
856,2019-11-23,2019-2020,Leganés,https://fbref.com/en/matches/b31decb6/Leganes-Barcelona-November-23-2019-La-Liga
858,2019-12-01,2019-2020,Atlético Madrid,https://fbref.com/en/matches/d702ef1a/Atletico-Madrid-Barcelona-December-1-2019-La-Liga
859,2019-12-07,2019-2020,Mallorca,https://fbref.com/en/matches/3743ba66/Barcelona-Mallorca-December-7-2019-La-Liga
861,2019-12-14,2019-2020,Real Sociedad,https://fbref.com/en/matches/520c55d4/Real-Sociedad-Barcelona-December-14-2019-La-Liga
862,2019-12-18,2019-2020,Real Madrid,https://fbref.com/en/matches/0e49b179/El-Clasico-Barcelona-Real-Madrid-December-18-2019-La-Liga
863,2019-12-21,2019-2020,Alavés,https://fbref.com/en/matches/1c16a3c8/Barcelona-Alaves-December-21-2019-La-Liga
864,2020-01-04,2019-2020,Espanyol,https://fbref.com/en/matches/cb9dc476/Espanyol-Barcelona-January-4-2020-La-Liga
866,2020-01-19,2019-2020,Granada,https://fbref.com/en/matches/bd36d788/Barcelona-Granada-January-19-2020-La-Liga
868,2020-01-25,2019-2020,Valencia,https://fbref.com/en/matches/9ff75d4d/Valencia-Barcelona-January-25-2020-La-Liga
870,2020-02-02,2019-2020,Levante,https://fbref.com/en/matches/df75eab1/Barcelona-Levante-February-2-2020-La-Liga
872,2020-02-09,2019-2020,Real Betis,https://fbref.com/en/matches/4d233fd1/Real-Betis-Barcelona-February-9-2020-La-Liga
873,2020-02-15,2019-2020,Getafe,https://fbref.com/en/matches/ba5d3fcd/Barcelona-Getafe-February-15-2020-La-Liga
874,2020-02-22,2019-2020,Eibar,https://fbref.com/en/matches/53d0e7ab/Barcelona-Eibar-February-22-2020-La-Liga
876,2020-03-01,2019-2020,Real Madrid,https://fbref.com/en/matches/2c856f90/El-Clasico-Real-Madrid-Barcelona-March-1-2020-La-Liga
877,2020-03-07,2019-2020,Real Sociedad,https://fbref.com/en/matches/92ad4ba9/Barcelona-Real-Sociedad-March-7-2020-La-Liga
878,2020-06-13,2019-2020,Mallorca,https://fbref.com/en/matches/fbb4584c/Mallorca-Barcelona-June-13-2020-La-Liga
879,2020-06-16,2019-2020,Leganés,https://fbref.com/en/matches/4b82f2d2/Barcelona-Leganes-June-16-2020-La-Liga
880,2020-06-19,2019-2020,Sevilla,https://fbref.com/en/matches/b88c004c/Sevilla-Barcelona-June-19-2020-La-Liga
