ID_Partido,Jugador,Posicion,Titular,Minutos,Goles,Asistencias,Amarillas,Rojas,xG
1000,Ousmane Dembélé,MF,1,81,0,2,0,0,
1000,Ferrán Torres,FW,0,9,0,0,0,0,
1000,Robert Lewandowski,FW,1,90,2,0,0,0,
1000,Raphinha,FW,1,60,0,1,0,0,
1000,Ansu Fati,FW,0,30,0,0,0,0,
1000,Pedri,MF,1,90,1,0,0,0,
1000,Sergio Busquets,MF,1,75,0,0,0,0,
1000,Franck Kessié,MF,0,15,0,0,0,0,
1000,Gavi,MF,1,60,0,0,0,0,
1000,Frenkie de Jong,MF,0,30,0,0,0,0,
1000,Alejandro Balde,DF,1,90,0,0,0,0,
1000,Eric García,DF,1,90,0,0,0,0,
1000,Ronald Araújo,DF,1,60,0,0,0,0,
1000,Sergi Roberto,DF,0,30,1,0,0,0,
1000,Jules Koundé,DF,1,90,0,0,0,0,
1000,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1001,Ousmane Dembélé,MF,1,62,0,0,1,0,
1001,Ferrán Torres,FW,0,28,0,0,0,0,
1001,Robert Lewandowski,FW,1,73,1,0,0,0,
1001,Ansu Fati,FW,0,17,0,0,0,0,
1001,Raphinha,FW,1,90,1,0,0,0,
1001,Pedri,MF,1,62,0,0,0,0,
1001,Frenkie de Jong,MF,0,28,0,0,0,0,
1001,Sergio Busquets,MF,1,90,0,0,0,0,
1001,Gavi,MF,1,90,0,0,0,0,
1001,Alejandro Balde,DF,1,63,0,0,1,0,
1001,Jordi Alba,DF,0,27,0,0,0,0,
1001,Eric García,DF,1,54,1,0,0,0,
1001,Sergi Roberto,DF,0,36,0,0,1,0,
1001,Ronald Araújo,DF,1,90,0,0,1,0,
1001,Jules Koundé,DF,1,90,0,2,0,0,
1001,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1002,Ansu Fati,FW,1,64,0,0,0,0,
1002,Ferrán Torres,FW,0,26,1,1,0,0,
1002,Robert Lewandowski,FW,1,90,3,0,0,0,
1002,Ousmane Dembélé,MF,1,74,0,2,0,0,
1002,Memphis,FW,0,16,0,0,0,0,
1002,Pedri,MF,1,74,0,0,0,0,
1002,Gavi,MF,0,16,0,0,0,0,
1002,Frenkie de Jong,MF,1,90,0,0,0,0,
1002,Franck Kessié,MF,1,80,1,0,0,0,
1002,Pablo Torre,FW,0,10,0,0,0,0,
1002,Jordi Alba,DF,1,90,0,0,0,0,
1002,Jules Koundé,DF,1,90,0,1,0,0,
1002,Andreas Christensen,DF,1,90,0,0,0,0,
