ID_Partido,Fecha,Temporada,Rival,URL_FBref
1,2003-08-30,2003-2004,Athletic Club,https://fbref.com/en/matches/6faa4a28/Athletic-Club-Barcelona-August-30-2003-La-Liga
2,2003-09-03,2003-2004,Sevilla,https://fbref.com/en/matches/457826d8/Barcelona-Sevilla-September-3-2003-La-Liga
3,2003-09-14,2003-2004,Albacete,https://fbref.com/en/matches/d495f784/Albacete-Barcelona-September-14-2003-La-Liga
4,2003-09-20,2003-2004,Osasuna,https://fbref.com/en/matches/83f2d529/Barcelona-Osasuna-September-20-2003-La-Liga
5,2003-09-24,2003-2004,FK Púchov,https://fbref.com/en/matches/301999ac/FK-Puchov-Barcelona-September-24-2003-UEFA-Cup
6,2003-09-28,2003-2004,Atlético Madrid,https://fbref.com/en/matches/55c38257/Atletico-Madrid-Barcelona-September-28-2003-La-Liga
7,2003-10-05,2003-2004,Valencia,https://fbref.com/en/matches/542dd6e9/Barcelona-Valencia-October-5-2003-La-Liga
8,2003-10-15,2003-2004,FK Púchov,https://fbref.com/en/matches/34c21ab3/Barcelona-FK-Puchov-October-15-2003-UEFA-Cup
9,2003-10-18,2003-2004,Dep La Coruña,https://fbref.com/en/matches/3220a7f0/Barcelona-Deportivo-La-Coruna-October-18-2003-La-Liga
10,2003-10-26,2003-2004,Mallorca,https://fbref.com/en/matches/2aa7e060/Mallorca-Barcelona-October-26-2003-La-Liga
11,2003-10-29,2003-2004,Real Murcia,https://fbref.com/en/matches/6f364ef0/Barcelona-Real-Murcia-October-29-2003-La-Liga
12,2003-11-02,2003-2004,Real Sociedad,https://fbref.com/en/matches/1ffc1ee8/Real-Sociedad-Barcelona-November-2-2003-La-Liga
13,2003-11-06,2003-2004,Panionios,https://fbref.com/en/matches/1b1dddc7/Panionios-Barcelona-November-6-2003-UEFA-Cup
14,2003-11-09,2003-2004,Real Betis,https://fbref.com/en/matches/e5c1c246/Barcelona-Real-Betis-November-9-2003-La-Liga
15,2003-11-22,2003-2004,Villarreal,https://fbref.com/en/matches/99841591/Villarreal-Barcelona-November-22-2003-La-Liga
16,2003-11-27,2003-2004,Panionios,https://fbref.com/en/matches/bcb06fe0/Barcelona-Panionios-November-27-2003-UEFA-Cup
17,2003-11-30,2003-2004,Valladolid,https://fbref.com/en/matches/f9257ab6/Barcelona-Valladolid-November-30-2003-La-Liga
18,2003-12-03,2003-2004,Málaga,https://fbref.com/en/matches/80f91489/Malaga-Barcelona-December-3-2003-La-Liga
19,2003-12-06,2003-2004,Real Madrid,https://fbref.com/en/matches/cfc52d1c/El-Clasico-Barcelona-Real-Madrid-December-6-2003-La-Liga
20,2003-12-13,2003-2004,Espanyol,https://fbref.com/en/matches/b9f8df1c/Espanyol-Barcelona-December-13-2003-La-Liga
21,2003-12-21,2003-2004,Celta Vigo,https://fbref.com/en/matches/8180fd23/Barcelona-Celta-Vigo-December-21-2003-La-Liga
22,2004-01-04,2003-2004,Racing Sant,https://fbref.com/en/matches/65567af9/Racing-Santander-Barcelona-January-4-2004-La-Liga
23,2004-01-11,2003-2004,Zaragoza,https://fbref.com/en/matches/86154227/Barcelona-Zaragoza-January-11-2004-La-Liga
24,2004-01-17,2003-2004,Athletic Club,https://fbref.com/en/matches/7a18ca59/Barcelona-Athletic-Club-January-17-2004-La-Liga
25,2004-01-25,2003-2004,Sevilla,https://fbref.com/en/matches/e3978481/Sevilla-Barcelona-January-25-2004-La-Liga
26,2004-02-01,2003-2004,Albacete,https://fbref.com/en/matches/72b1501e/Barcelona-Albacete-February-1-2004-La-Liga
27,2004-02-08,2003-2004,Osasuna,https://fbref.com/en/matches/49d365b4/Osasuna-Barcelona-February-8-2004-La-Liga
28,2004-02-15,2003-2004,Atlético Madrid,https://fbref.com/en/matches/ec09e781/Barcelona-Atletico-Madrid-February-15-2004-La-Liga
29,2004-02-21,2003-2004,Valencia,https://fbref.com/en/matches/c0d597e1/Valencia-Barcelona-February-21-2004-La-Liga
30,2004-02-26,2003-2004,Brøndby,https://fbref.com/en/matches/d9589fab/Brondby-Barcelona-February-26-2004-UEFA-Cup
31,2004-02-29,2003-2004,Dep La Coruña,https://fbref.com/en/matches/d9c084f6/Deportivo-La-Coruna-Barcelona-February-29-2004-La-Liga
32,2004-03-03,2003-2004,Brøndby,https://fbref.com/en/matches/a08289f8/Barcelona-Brondby-March-3-2004-UEFA-Cup
33,2004-03-07,2003-2004,Mallorca,https://fbref.com/en/matches/89b091a9/Barcelona-Mallorca-March-7-2004-La-Liga
34,2004-03-11,2003-2004,Celtic,https://fbref.com/en/matches/f3ba4b61/Celtic-Barcelona-March-11-2004-UEFA-Cup
