ID_Partido,Fecha,Rival,Entrenador,Formacion,Posesion_Bruta
1000,2022-08-28,Valladolid,Xavi,4-3-3,
1001,2022-09-03,Sevilla,Xavi,4-3-3,
1002,2022-09-07,Viktoria_Plzeň,Xavi,4-3-3,
1003,2022-09-10,Cádiz,Xavi,4-3-3,
1004,2022-09-13,Bayern_Munich,Xavi,4-3-3,
1005,2022-09-17,Elche,Xavi,4-3-3,
1006,2022-10-01,Mallorca,Xavi,4-3-3,
1007,2022-10-04,Inter,Xavi,4-3-3,
1008,2022-10-09,Celta_Vigo,Xavi,4-3-3,
1009,2022-10-12,Inter,Xavi,4-3-3,
1010,2022-10-16,Real_Madrid,Xavi,4-3-3,
1011,2022-10-20,Villarreal,Xavi,4-3-3,
1012,2022-10-23,Athletic_Club,Ernesto Valverde,4-3-3,
1013,2022-10-26,Bayern_Munich,Xavi,4-3-3,
1014,2022-10-29,Valencia,Xavi,4-3-3,
1015,2022-11-01,Viktoria_Plzeň,Xavi,4-3-3,
1016,2022-11-05,Almería,Xavi,4-3-3,
1018,2022-12-31,Espanyol,Xavi,4-3-3,
1019,2023-01-04,CF_Intercity,Xavi,4-3-3,
101,2005-10-15,Dep_La_Coruña,Frank Rijkaard,Desconocida,
1020,2023-01-08,Atlético_Madrid,Xavi,4-3-3,
1021,2023-01-12,Real_Betis,Xavi,4-3-3,
1022,2023-01-15,Real_Madrid,Xavi,4-2-3-1,
1023,2023-01-19,Ceuta,Xavi,4-3-3,
1024,2023-01-22,Getafe,Xavi,4-3-3,
1025,2023-01-25,Real_Sociedad,Xavi,4-3-3,
1026,2023-01-28,Girona,Xavi,4-3-3,
1027,2023-02-01,Real_Betis,Xavi,4-3-3,
1028,2023-02-05,Sevilla,Xavi,4-3-3,
1029,2023-02-12,Villarreal,Xavi,4-3-3,
102,2005-10-18,Panathinaikos,Frank Rijkaard,Desconocida,
1030,2023-02-16,Manchester_Utd,Xavi,4-3-3,
1031,2023-02-19,Cádiz,Sergio,4-3-3,
1032,2023-02-23,Manchester_Utd,Xavi,4-3-3,
1033,2023-02-26,Almería,Xavi,4-3-3,
1034,2023-03-02,Real_Madrid,Xavi,4-3-3,
1035,2023-03-05,Valencia,Xavi,4-3-3,
1036,2023-03-12,Athletic_Club,Xavi,4-3-3,
1037,2023-03-19,Real_Madrid,Xavi,4-3-3,
1038,2023-04-01,Elche,Xavi,4-3-3,
1039,2023-04-05,Real_Madrid,Xavi,4-3-3,
1040,2023-04-10,Girona,Xavi,4-3-3,
1041,2023-04-16,Getafe,Xavi,4-3-3,
1042,2023-04-23,Atlético_Madrid,Xavi,4-3-3,
1043,2023-04-26,Rayo_Vallecano,Xavi,4-3-3,
1044,2023-04-29,Real_Betis,Xavi,4-3-3,
1045,2023-05-02,Osasuna,Xavi,4-2-3-1,
1046,2023-05-14,Espanyol,Xavi,4-3-3,
1047,2023-05-20,Real_Sociedad,Xavi,4-3-3,
1048,2023-05-23,Valladolid,Xavi,4-3-3,
1049,2023-05-28,Mallorca,Xavi,4-3-3,
1050,2023-06-04,Celta_Vigo,Xavi,4-3-3,
1051,2023-08-13,Getafe,Xavi,4-2-3-1,
1052,2023-08-20,Cádiz,Sergio,3-4-3,
1053,2023-08-27,Villarreal,Xavi,4-3-3,
1054,2023-09-03,Osasuna,Xavi,4-3-3,
1055,2023-09-16,Real_Betis,Xavi,4-3-3,
1056,2023-09-19,Antwerp,Xavi,4-3-3,
1057,2023-09-23,Celta_Vigo,Xavi,4-3-3,
1058,2023-09-26,Mallorca,Xavi,4-3-3,
1059,2023-09-29,Sevilla,Xavi,4-3-3,
105,2005-10-30,Real_Sociedad,Frank Rijkaard,Desconocida,
1060,2023-10-04,Porto,Xavi,4-3-3,
1061,2023-10-08,Granada,Xavi,4-3-3,
1062,2023-10-22,Athletic_Club,Ernesto Valverde,4-3-3,
1063,2023-10-25,Shakhtar_Donetsk,Xavi,4-3-3,
1064,2023-10-28,Real_Madrid,Xavi,3-4-1-2,
1065,2023-11-04,Real_Sociedad,Xavi,3-4-1-2,
1066,2023-11-07,Shakhtar_Donetsk,Xavi,4-3-3,
1067,2023-11-12,Alavés,Xavi,4-2-3-1,
1068,2023-11-25,Rayo_Vallecano,Xavi,4-2-3-1,
1069,2023-11-28,Porto,Xavi,4-3-3,
106,2005-11-02,Panathinaikos,Frank Rijkaard,Desconocida,
1070,2023-12-03,Atlético_Madrid,Xavi,4-3-3,
1071,2023-12-10,Girona,Xavi,4-3-3,
1072,2023-12-13,Antwerp,Xavi,4-3-3,
1073,2023-12-16,Valencia,Xavi,4-3-3,
1074,2023-12-20,Almería,Xavi,4-3-3,
1076,2024-01-07,Barbastro,Xavi,4-3-3,
1077,2024-01-11,Osasuna,Xavi,4-3-3,
1078,2024-01-14,Real_Madrid,Xavi,4-2-3-1,
1079,2024-01-18,U_Salamanca,Xavi,4-3-3,
1080,2024-01-21,Real_Betis,Xavi,4-3-3,
1081,2024-01-24,Athletic_Club,Xavi,4-3-3,
1082,2024-01-27,Villarreal,Xavi,4-3-3,
1083,2024-01-31,Osasuna,Xavi,4-3-3,
1084,2024-02-03,Alavés,Xavi,4-3-3,
1085,2024-02-11,Granada,Xavi,4-3-3,
1086,2024-02-17,Celta_Vigo,Xavi,4-3-3,
1087,2024-02-21,Napoli,Xavi,4-3-3,
1088,2024-02-24,Getafe,Xavi,4-3-3,
1089,2024-03-03,Athletic_Club,Xavi,4-3-3,
1090,2024-03-08,Mallorca,Xavi,4-3-3,
1091,2024-03-12,Napoli,Xavi,4-3-3,
