ID_Partido,ID_StatsBomb,ID_Entrenador,Fecha,Temporada,Competicion,Rival,Localia,Resultado,Goles_Barca,Goles_Rival,Penaltis_Barca,Penaltis_Rival
42,,1,2004-04-25,2003-2004,La Liga,Real Madrid,Away,W,2,1,,
43,,1,2004-05-02,2003-2004,La Liga,Espanyol,Home,W,4,1,,
44,,1,2004-05-08,2003-2004,La Liga,Celta Vigo,Away,L,0,1,,
45,,1,2004-05-16,2003-2004,La Liga,Racing Sant,Home,W,1,0,,
46,,1,2004-05-23,2003-2004,La Liga,Zaragoza,Away,L,1,2,,
47,,1,2004-08-29,2004-2005,La Liga,Racing Sant,Away,W,2,0,,
48,,1,2004-09-11,2004-2005,La Liga,Sevilla,Home,W,2,0,,
49,,1,2004-09-14,2004-2005,Champions Lg,Celtic,Away,W,3,1,,
50,,1,2004-09-19,2004-2005,La Liga,Atlético Madrid,Away,D,1,1,,
51,,1,2004-09-23,2004-2005,La Liga,Zaragoza,Home,W,4,1,,
52,,1,2004-09-26,2004-2005,La Liga,Mallorca,Away,W,3,1,,
53,,1,2004-09-29,2004-2005,Champions Lg,Shakhtar Donetsk,Home,W,3,0,,
54,,1,2004-10-03,2004-2005,La Liga,Numancia,Home,W,1,0,,
55,68353.0,1,2004-10-16,2004-2005,La Liga,Espanyol,Away,W,1,0,,
56,,1,2004-10-20,2004-2005,Champions Lg,Milan,Away,L,0,1,,
57,68313.0,1,2004-10-24,2004-2005,La Liga,Osasuna,Home,W,3,0,,
58,,1,2004-10-30,2004-2005,La Liga,Athletic Club,Away,D,1,1,,
59,,1,2004-11-02,2004-2005,Champions Lg,Milan,Home,W,2,1,,
60,,1,2004-11-06,2004-2005,La Liga,Dep La Coruña,Home,W,2,1,,
61,,1,2004-11-14,2004-2005,La Liga,Real Betis,Away,L,1,2,,
62,,1,2004-11-20,2004-2005,La Liga,Real Madrid,Home,W,3,0,,
63,,1,2004-11-24,2004-2005,Champions Lg,Celtic,Home,D,1,1,,
64,,1,2004-11-27,2004-2005,La Liga,Getafe,Away,W,2,1,,
65,68314.0,1,2004-12-04,2004-2005,La Liga,Málaga,Home,W,4,0,,
66,,1,2004-12-07,2004-2005,Champions Lg,Shakhtar Donetsk,Away,L,0,2,,
67,69153.0,1,2004-12-11,2004-2005,La Liga,Albacete,Away,W,2,1,,
68,,1,2004-12-18,2004-2005,La Liga,Valencia,Home,D,1,1,,
69,68315.0,1,2004-12-21,2004-2005,La Liga,Levante,Home,W,2,1,,
70,,1,2005-01-09,2004-2005,La Liga,Villarreal,Away,L,0,3,,
71,,1,2005-01-16,2004-2005,La Liga,Real Sociedad,Home,W,1,0,,
72,,1,2005-01-22,2004-2005,La Liga,Racing Sant,Home,W,3,0,,
73,,1,2005-01-29,2004-2005,La Liga,Sevilla,Away,W,4,0,,
74,,1,2005-02-06,2004-2005,La Liga,Atlético Madrid,Home,L,0,2,,
75,,1,2005-02-12,2004-2005,La Liga,Zaragoza,Away,W,4,1,,
76,,1,2005-02-19,2004-2005,La Liga,Mallorca,Home,W,2,0,,
77,,1,2005-02-23,2004-2005,Champions Lg,Chelsea,Home,W,2,1,,
78,,1,2005-02-26,2004-2005,La Liga,Numancia,Away,D,1,1,,
79,,1,2005-03-01,2004-2005,La Liga,Espanyol,Home,D,0,0,,
80,,1,2005-03-05,2004-2005,La Liga,Osasuna,Away,W,1,0,,
81,,1,2005-03-08,2004-2005,Champions Lg,Chelsea,Away,L,2,4,,
82,,1,2005-03-12,2004-2005,La Liga,Athletic Club,Home,W,2,0,,
83,,1,2005-03-19,2004-2005,La Liga,Dep La Coruña,Away,W,1,0,,
84,,1,2005-04-03,2004-2005,La Liga,Real Betis,Home,D,3,3,,
85,,1,2005-04-10,2004-2005,La Liga,Real Madrid,Away,L,2,4,,
86,68352.0,1,2005-04-17,2004-2005,La Liga,Getafe,Home,W,2,0,,
87,,1,2005-04-24,2004-2005,La Liga,Málaga,Away,W,4,0,,
88,68316.0,1,2005-05-01,2004-2005,La Liga,Albacete,Home,W,2,0,,
89,,1,2005-05-08,2004-2005,La Liga,Valencia,Away,W,2,0,,
90,,1,2005-05-14,2004-2005,La Liga,Levante,Away,D,1,1,,
91,,1,2005-05-22,2004-2005,La Liga,Villarreal,Home,D,3,3,,
92,,1,2005-05-28,2004-2005,La Liga,Real Sociedad,Away,D,0,0,,
93,,1,2005-08-27,2005-2006,La Liga,Alavés,Away,D,0,0,,
94,,1,2005-09-11,2005-2006,La Liga,Mallorca,Home,W,2,0,,
95,,1,2005-09-14,2005-2006,Champions Lg,Werder Bremen,Away,W,2,0,,
96,,1,2005-09-18,2005-2006,La Liga,Atlético Madrid,Away,L,1,2,,
97,,1,2005-09-21,2005-2006,La Liga,Valencia,Home,D,2,2,,
98,,1,2005-09-24,2005-2006,La Liga,Real Betis,Away,W,4,1,,
99,,1,2005-09-27,2005-2006,Champions Lg,Udinese,Home,W,4,1,,
100,68317.0,1,2005-10-01,2005-2006,La Liga,Zaragoza,Home,D,2,2,,
101,,1,2005-10-15,2005-2006,La Liga,Dep La Coruña,Away,D,3,3,,
102,,1,2005-10-18,2005-2006,Champions Lg,Panathinaikos,Away,D,0,0,,
103,68318.0,1,2005-10-22,2005-2006,La Liga,Osasuna,Home,W,3,0,,
104,69164.0,1,2005-10-26,2005-2006,La Liga,Málaga,Home,W,2,0,,
105,,1,2005-10-30,2005-2006,La Liga,Real Sociedad,Home,W,5,0,,
106,,1,2005-11-02,2005-2006,Champions Lg,Panathinaikos,Home,W,5,0,,
107,68339.0,1,2005-11-06,2005-2006,La Liga,Getafe,Away,W,3,1,,
108,68319.0,1,2005-11-19,2005-2006,La Liga,Real Madrid,Away,W,3,0,,
109,,1,2005-11-22,2005-2006,Champions Lg,Werder Bremen,Home,W,3,1,,
110,68354.0,1,2005-11-27,2005-2006,La Liga,Racing Sant,Home,W,4,1,,
111,68320.0,1,2005-12-04,2005-2006,La Liga,Villarreal,Away,W,2,0,,
112,,1,2005-12-07,2005-2006,Champions Lg,Udinese,Away,W,2,0,,
113,68321.0,1,2005-12-11,2005-2006,La Liga,Sevilla,Home,W,2,1,,
114,68322.0,1,2005-12-17,2005-2006,La Liga,Cádiz,Away,W,3,1,,
115,68323.0,1,2005-12-20,2005-2006,La Liga,Celta Vigo,Home,W,2,0,,
116,68348.0,1,2006-01-07,2005-2006,La Liga,Espanyol,Away,W,2,1,,
117,68342.0,1,2006-01-15,2005-2006,La Liga,Athletic Club,Home,W,2,1,,
118,68324.0,1,2006-01-22,2005-2006,La Liga,Alavés,Home,W,2,0,,
119,68325.0,1,2006-01-29,2005-2006,La Liga,Mallorca,Away,W,3,0,,
120,68350.0,1,2006-02-05,2005-2006,La Liga,Atlético Madrid,Home,L,1,3,,
121,,1,2006-02-12,2005-2006,La Liga,Valencia,Away,L,0,1,,
122,69172.0,1,2006-02-18,2005-2006,La Liga,Real Betis,Home,W,5,1,,
123,,1,2006-02-22,2005-2006,Champions Lg,Chelsea,Away,W,2,1,,
124,68351.0,1,2006-02-25,2005-2006,La Liga,Zaragoza,Away,W,2,0,,
125,,1,2006-03-04,2005-2006,La Liga,Dep La Coruña,Home,W,3,2,,
126,,1,2006-03-07,2005-2006,Champions Lg,Chelsea,Home,D,1,1,,
127,,1,2006-03-12,2005-2006,La Liga,Osasuna,Away,L,1,2,,
128,,1,2006-03-18,2005-2006,La Liga,Real Sociedad,Away,W,2,0,,
129,,1,2006-03-21,2005-2006,La Liga,Getafe,Home,W,3,1,,
130,,1,2006-03-25,2005-2006,La Liga,Málaga,Away,D,0,0,,
131,,1,2006-03-28,2005-2006,Champions Lg,Benfica,Away,D,0,0,,
132,,1,2006-04-01,2005-2006,La Liga,Real Madrid,Home,D,1,1,,
133,,1,2006-04-05,2005-2006,Champions Lg,Benfica,Home,W,2,0,,
134,,1,2006-04-09,2005-2006,La Liga,Racing Sant,Away,D,2,2,,
135,,1,2006-04-14,2005-2006,La Liga,Villarreal,Home,W,1,0,,
136,,1,2006-04-18,2005-2006,Champions Lg,Milan,Away,W,1,0,,
137,,1,2006-04-26,2005-2006,Champions Lg,Milan,Home,D,0,0,,
138,,1,2006-04-29,2005-2006,La Liga,Cádiz,Home,W,1,0,,
139,,1,2006-05-03,2005-2006,La Liga,Celta Vigo,Away,W,1,0,,
140,,1,2006-05-06,2005-2006,La Liga,Espanyol,Home,W,2,0,,
141,,1,2006-05-13,2005-2006,La Liga,Sevilla,Away,L,2,3,,
142,,1,2006-05-17,2005-2006,Champions Lg,Arsenal,Neutral,W,2,1,,
143,,1,2006-05-20,2005-2006,La Liga,Athletic Club,Away,L,1,3,,
144,68326.0,1,2006-08-28,2006-2007,La Liga,Celta Vigo,Away,W,3,2,,
145,68327.0,1,2006-09-09,2006-2007,La Liga,Osasuna,Home,W,3,0,,
146,,1,2006-09-12,2006-2007,Champions Lg,Levski Sofia,Home,W,5,0,,
147,68340.0,1,2006-09-17,2006-2007,La Liga,Racing Sant,Away,W,3,0,,
148,68328.0,1,2006-09-24,2006-2007,La Liga,Valencia,Home,D,1,1,,
149,,1,2006-09-27,2006-2007,Champions Lg,Werder Bremen,Away,D,1,1,,
150,68347.0,1,2006-09-30,2006-2007,La Liga,Athletic Club,Away,W,3,1,,
151,68329.0,1,2006-10-15,2006-2007,La Liga,Sevilla,Home,W,3,1,,
152,,1,2006-10-18,2006-2007,Champions Lg,Chelsea,Away,L,0,1,,
153,68330.0,1,2006-10-22,2006-2007,La Liga,Real Madrid,Away,L,0,2,,
154,,1,2006-10-28,2006-2007,La Liga,Recreativo,Home,W,3,0,,
155,,1,2006-10-31,2006-2007,Champions Lg,Chelsea,Home,D,2,2,,
156,69174.0,1,2006-11-04,2006-2007,La Liga,Dep La Coruña,Away,D,1,1,,
157,68331.0,1,2006-11-12,2006-2007,La Liga,Zaragoza,Home,W,3,1,,
158,,1,2006-11-19,2006-2007,La Liga,Mallorca,Away,W,4,1,,
159,,1,2006-11-22,2006-2007,Champions Lg,Levski Sofia,Away,W,2,0,,
160,,1,2006-11-25,2006-2007,La Liga,Villarreal,Home,W,4,0,,
161,,1,2006-12-02,2006-2007,La Liga,Levante,Away,D,1,1,,
162,,1,2006-12-05,2006-2007,Champions Lg,Werder Bremen,Home,W,2,0,,
163,,1,2006-12-09,2006-2007,La Liga,Real Sociedad,Home,W,1,0,,
164,,1,2006-12-21,2006-2007,La Liga,Atlético Madrid,Home,D,1,1,,
165,,1,2007-01-07,2006-2007,La Liga,Getafe,Away,D,1,1,,
166,,1,2007-01-13,2006-2007,La Liga,Espanyol,Away,L,1,3,,
167,,1,2007-01-21,2006-2007,La Liga,Gimnàstic,Home,W,3,0,,
168,,1,2007-01-24,2006-2007,La Liga,Real Betis,Away,D,1,1,,
169,,1,2007-01-28,2006-2007,La Liga,Celta Vigo,Home,W,3,1,,
170,,1,2007-02-04,2006-2007,La Liga,Osasuna,Away,D,0,0,,
171,69154.0,1,2007-02-11,2006-2007,La Liga,Racing Sant,Home,W,2,0,,
172,68332.0,1,2007-02-18,2006-2007,La Liga,Valencia,Away,L,1,2,,
173,,1,2007-02-21,2006-2007,Champions Lg,Liverpool,Home,L,1,2,,
174,68333.0,1,2007-02-25,2006-2007,La Liga,Athletic Club,Home,W,3,0,,
175,68334.0,1,2007-03-03,2006-2007,La Liga,Sevilla,Away,L,1,2,,
176,,1,2007-03-06,2006-2007,Champions Lg,Liverpool,Away,W,1,0,,
177,68335.0,1,2007-03-10,2006-2007,La Liga,Real Madrid,Home,D,3,3,,
178,68341.0,1,2007-03-17,2006-2007,La Liga,Recreativo,Away,W,4,0,,
179,69175.0,1,2007-03-31,2006-2007,La Liga,Dep La Coruña,Home,W,2,1,,
180,69179.0,1,2007-04-07,2006-2007,La Liga,Zaragoza,Away,L,0,1,,
181,69159.0,1,2007-04-15,2006-2007,La Liga,Mallorca,Home,W,1,0,,
182,69155.0,1,2007-04-22,2006-2007,La Liga,Villarreal,Away,L,0,2,,
183,69156.0,1,2007-04-29,2006-2007,La Liga,Levante,Home,W,1,0,,
184,69160.0,1,2007-05-05,2006-2007,La Liga,Real Sociedad,Away,W,2,0,,
185,69162.0,1,2007-05-13,2006-2007,La Liga,Real Betis,Home,D,1,1,,
186,69176.0,1,2007-05-20,2006-2007,La Liga,Atlético Madrid,Away,W,6,0,,
187,69157.0,1,2007-05-26,2006-2007,La Liga,Getafe,Home,W,1,0,,
188,69165.0,1,2007-06-09,2006-2007,La Liga,Espanyol,Home,D,2,2,,
189,68336.0,1,2007-06-17,2006-2007,La Liga,Gimnàstic,Away,W,5,1,,
190,69180.0,1,2007-08-26,2007-2008,La Liga,Racing Sant,Away,D,0,0,,
191,69169.0,1,2007-09-02,2007-2008,La Liga,Athletic Club,Home,W,3,1,,
192,,1,2007-09-16,2007-2008,La Liga,Osasuna,Away,D,0,0,,
193,,1,2007-09-19,2007-2008,Champions Lg,Lyon,Home,W,3,0,,
194,69148.0,1,2007-09-22,2007-2008,La Liga,Sevilla,Home,W,2,1,,
195,69143.0,1,2007-09-26,2007-2008,La Liga,Zaragoza,Home,W,4,1,,
196,69151.0,1,2007-09-29,2007-2008,La Liga,Levante,Away,W,4,1,,
197,,1,2007-10-02,2007-2008,Champions Lg,Stuttgart,Away,W,2,0,,
198,69144.0,1,2007-10-07,2007-2008,La Liga,Atlético Madrid,Home,W,3,0,,
199,68364.0,1,2007-10-20,2007-2008,La Liga,Villarreal,Away,L,1,3,,
200,,1,2007-10-23,2007-2008,Champions Lg,Rangers,Away,D,0,0,,
201,69158.0,1,2007-10-28,2007-2008,La Liga,Almería,Home,W,2,0,,
202,68363.0,1,2007-11-01,2007-2008,La Liga,Valladolid,Away,D,1,1,,
203,69166.0,1,2007-11-04,2007-2008,La Liga,Real Betis,Home,W,3,0,,
204,,1,2007-11-07,2007-2008,Champions Lg,Rangers,Home,W,2,0,,
205,69178.0,1,2007-11-10,2007-2008,La Liga,Getafe,Away,L,0,2,,
206,69184.0,1,2007-11-24,2007-2008,La Liga,Recreativo,Home,W,3,0,,
207,,1,2007-11-27,2007-2008,Champions Lg,Lyon,Away,D,2,2,,
208,68356.0,1,2007-12-01,2007-2008,La Liga,Espanyol,Away,D,1,1,,
209,69170.0,1,2007-12-09,2007-2008,La Liga,Dep La Coruña,Home,W,2,1,,
210,,1,2007-12-12,2007-2008,Champions Lg,Stuttgart,Home,W,3,1,,
211,69145.0,1,2007-12-15,2007-2008,La Liga,Valencia,Away,W,3,0,,
212,,1,2007-12-23,2007-2008,La Liga,Real Madrid,Home,L,0,1,,
213,,1,2008-01-05,2007-2008,La Liga,Mallorca,Away,W,2,0,,
214,,1,2008-01-12,2007-2008,La Liga,Real Murcia,Home,W,4,0,,
215,69173.0,1,2008-01-20,2007-2008,La Liga,Racing Sant,Home,W,1,0,,
216,69181.0,1,2008-01-27,2007-2008,La Liga,Athletic Club,Away,D,1,1,,
