ID_Partido,Temporada,Fecha,Rival,URL_FBref
5131,2024-2025,2024-12-15,Leganés,https://fbref.com/en/matches/e7bdcc56/Barcelona-Leganes-December-15-2024-La-Liga
5132,2024-2025,2024-12-21,Atlético Madrid,https://fbref.com/en/matches/ac04a5d2/Barcelona-Atletico-Madrid-December-21-2024-La-Liga
5133,2024-2025,2025-01-18,Getafe,https://fbref.com/en/matches/ac3f8e9a/Getafe-Barcelona-January-18-2025-La-Liga
5134,2024-2025,2025-01-26,Valencia,https://fbref.com/en/matches/77dda45d/Barcelona-Valencia-January-26-2025-La-Liga
5135,2024-2025,2025-02-02,Alavés,https://fbref.com/en/matches/5dd33e2b/Barcelona-Alaves-February-2-2025-La-Liga
5136,2024-2025,2025-02-09,Sevilla,https://fbref.com/en/matches/57bc3e19/Sevilla-Barcelona-February-9-2025-La-Liga
5137,2024-2025,2025-02-17,Rayo Vallecano,https://fbref.com/en/matches/b299fca9/Barcelona-Rayo-Vallecano-February-17-2025-La-Liga
5138,2024-2025,2025-02-22,Las Palmas,https://fbref.com/en/matches/6b455e82/Las-Palmas-Barcelona-February-22-2025-La-Liga
5139,2024-2025,2025-03-02,Real Sociedad,https://fbref.com/en/matches/0b2c987f/Barcelona-Real-Sociedad-March-2-2025-La-Liga
5140,2024-2025,2025-03-16,Atlético Madrid,https://fbref.com/en/matches/8ddf3820/Atletico-Madrid-Barcelona-March-16-2025-La-Liga
5141,2024-2025,2025-03-27,Osasuna,https://fbref.com/en/matches/af815599/Barcelona-Osasuna-March-27-2025-La-Liga
5142,2024-2025,2025-03-30,Girona,https://fbref.com/en/matches/6e84530a/Barcelona-Girona-March-30-2025-La-Liga
5143,2024-2025,2025-04-05,Real Betis,https://fbref.com/en/matches/86447b37/Barcelona-Real-Betis-April-5-2025-La-Liga
5144,2024-2025,2025-04-12,Leganés,https://fbref.com/en/matches/5160bd9d/Leganes-Barcelona-April-12-2025-La-Liga
5145,2024-2025,2025-04-19,Celta Vigo,https://fbref.com/en/matches/ac6535dc/Barcelona-Celta-Vigo-April-19-2025-La-Liga
5146,2024-2025,2025-04-22,Mallorca,https://fbref.com/en/matches/a71ce7d1/Barcelona-Mallorca-April-22-2025-La-Liga
5147,2024-2025,2025-05-03,Valladolid,https://fbref.com/en/matches/af94853a/Valladolid-Barcelona-May-3-2025-La-Liga
5148,2024-2025,2025-05-11,Real Madrid,https://fbref.com/en/matches/f1804d9c/El-Clasico-Barcelona-Real-Madrid-May-11-2025-La-Liga
5149,2024-2025,2025-05-15,Espanyol,https://fbref.com/en/matches/45f486b1/Espanyol-Barcelona-May-15-2025-La-Liga
5150,2024-2025,2025-05-18,Villarreal,https://fbref.com/en/matches/db2637b7/Barcelona-Villarreal-May-18-2025-La-Liga
5151,2024-2025,2025-05-25,Athletic Club,https://fbref.com/en/matches/20bdd334/Athletic-Club-Barcelona-May-25-2025-La-Liga
