ID_Rival,Nombre_Rival
250,Aaron Hunt
251,Aarón Martín Caricol
252,Aarón Níguez Esclapez
253,Abdallahi Mohamed Mahmoud
254,Abdelaziz Barrada
255,Abdelkader Mohamed Ghezzal
256,Abdoul Karim Yoda
257,Abdoulay Konko
258,Abdoulaye Ba
259,Abdoulaye Doucouré
260,Abdul Kader Keïta
261,Abdón Prats Bastidas
262,Abel Enrique Aguilar Tapia
263,Abel Gómez Moreno
264,Abou Diaby
265,Abraham González Casanova
266,Abraham Minero Fernández
267,Achille Emaná Edzimbi
268,Adalberto Peñaranda Maestre
269,Aderllan Leandro de Jesus Santos
270,Adil Rami
271,Adnan Januzaj
272,Adriano Correia Claro
273,Adriano Ferreira Martins
274,Adrien Rabiot
275,Adrià Giner Pedrosa
276,Adrián Colunga Pérez
277,Adrián Embarba Blázquez
278,Adrián González Morales
279,Adrián Javier Gunino Duque
280,Adrián López Rodríguez
281,Adrián López Álvarez
282,Adrián Marín Gómez
283,Adrián Sardinero Corpa
284,Agustín Aranzábal Alkorta
285,Agustín García Iñiguez
286,Aitor López Rekarte
287,Aitor Núñez Martín
288,Aitor Ocio Carrión
289,Aitor Ramos Leniz
290,Aitor Ruibal García
291,Aitor Tornavaca Fernández
292,Akihiro Ienaga
293,Alain Didier Zokora-Déguy
294,Alan Kasaev
295,Alan Virginius
296,Albert Celades López
297,Albert Crusat Domene
298,Albert Luque Martos
299,Albert Riera Ortega
300,Alberto Aquilani
301,Alberto Botía Rabasco
302,Alberto Bueno Calvo
303,Alberto De La Bella Madureño
304,Alberto Facundo Costa
305,Alberto Gilardino
306,Alberto Lopo García
307,Alberto Lora Ramos
308,Alberto Marcos Rey
309,Alberto Martín Romo García Adámez
310,Alberto Mateus Contreiras Gonçalves
311,Alberto Moreno Pérez
312,Alberto Perea Correoso
313,Alberto Rivera Pizarro
314,Alberto Rodríguez Baró
315,Alberto Soro Álvarez
316,Alberto Zapater Arjol
317,Aldo Pedro Duscher
318,Aleix García Serrano
319,Aleix Vidal Parreu
320,Alejandro Alfaro Ligero
321,Alejandro Arribas Garrido
322,Alejandro Barrera García
323,Alejandro Berenguer Remiro
324,Alejandro Bergantiños García
325,Alejandro Blanco Sánchez
326,Alejandro Campano Hernando
327,Alejandro Damián Domínguez
328,Alejandro Darío Gómez
329,Alejandro Felip Selma
330,Alejandro Fernández Iglesias
331,Alejandro Gallar Falguera
332,Alejandro Granell Nogué
333,Alejandro Gálvez Jimena
334,Alejandro López Sánchez
335,Alejandro Marañón Pérez
336,Alejandro Menéndez Díez
337,Alejandro Moreno Lopera
338,Alejandro Pozuelo Melero
339,Aleksandar Katai
340,Aleksandar Kolarov
341,Aleksandar Pantić
342,Aleksandr Bukharov
343,Aleksandr Golovin
344,Aleksandr Ryazantsev
345,Aleksei Medvedev
346,Aleksei Vladislavovich Popov
347,Alen Halilović
348,Alessandro Bastoni
349,Alessandro Costacurta
350,Alessandro Nesta
351,Alessio Tacchinardi
352,Alex
353,Alex Fernandez Sanchez
354,Alex Teixeira
355,Alexander Alegría Moreno
356,Alexander Bah
357,Alexander Isak
358,Alexander Kerzhakov
359,Alexander Mesa Travieso
360,Alexander Szymanowski
361,Alexandre Coeff
362,Alexandre Geijo Pazos
363,Alexandre Pato
364,Alexandre Rodrigues da Silva
365,Alexandros Tziolis
366,Alexis Ruano Delgado
367,Alfa Semedo Esteves
368,Alfonso Pedraza Sag
369,Alfreð Finnbogason
370,Alhassane Bangoura
371,Alhassane Keita
372,Allan Romeo Nyom
373,Alyaksandr Valadzko
374,Alyaksandr Yurevich
375,Amankwaa Akurugu
376,Amath Ndiaye
377,Anaitz Arbilla Zabala
378,Anatoliy Tymoshchuk
379,Ander Barrenetxea Muguruza
380,Ander Capa Rodríguez
381,Ander Guevara Lajo
382,Ander Herrera Agüera
383,Ander Iturraspe Derteano
384,Ander Murillo García
385,Anderson
386,Anderson Luis de Carvalho
387,Anderson Silva de França
388,Andoni Gorosabel Espinosa
389,Andoni Iraola Sagarna
390,Andrea Belotti
391,Andreas Hoelgebaum Pereira
392,Andreas Ivanschitz
393,Andreas Ottl
394,Andreas Pereira
395,Andreu Fontàs Prat
396,Andrey Arshavin
397,Andrija Delibašić
398,Andriy Pyatov
399,Andriy Shevchenko
400,Andrzej Niedzielan
401,André Almeida
402,André Miguel Valente Silva
403,André Schürrle
404,André de Castro Pereira
405,André-Frank Zambo Anguissa
406,Andrés Eduardo Fernández Moreno
407,Andrés José Fleurquin Rubio
408,Andrés Nicolás D''Alessandro
409,Andrés Palop Cervera
410,Angelos Basinas
411,Ante Budimir
412,Anthony Martial
413,Anthony Rubén Lozano Colón
414,Anthony Šerić
415,Antoine Griezmann
416,Antolín Alcáraz Viveros
417,Antoni Lluis Adrover Colom
418,Antonio Adán Garrido
419,Antonio Amaya Carazo
420,Antonio Baltasar Doblas Santana
421,Antonio Barragán Fernández
422,Antonio Candreva
423,Antonio Floro Flores
424,Antonio Galdeano Benítez
