Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Lionel Messi;3131;36;11;2;0;;102;;13;;;;;;;;;;;;;;;2013-2014
Dani Alves;3105;4;3;8;0;;14;;67;;;;;;;;;;;;;;;2013-2014
Xavi;3044;4;5;0;0;;25;;5;;;;;;;;;;;;;;;2013-2014
Gerard Piqué;3030;4;0;6;0;;14;;34;;;;;;;;;;;;;;;2013-2014
Cesc Fàbregas;3020;9;16;8;0;;30;;55;;;;;;;;;;;;;;;2013-2014
Alexis Sánchez;2836;19;12;6;0;;43;;41;;;;;;;;;;;;;;;2013-2014
Víctor Valdés;2812;0;0;2;0;;0;;0;;;;;;;;;15;46,9;24;107;83;77,6;2013-2014
Pedro;2653;16;8;3;0;;32;;28;;;;;;;;;;;;;;;2013-2014
Adriano;2521;3;2;8;0;;15;;48;;;;;;;;;;;;;;;2013-2014
Neymar;2510;13;11;7;0;;57;;44;;;;;;;;;;;;;;;2013-2014
Marc Bartra;1860;1;1;3;0;;4;;21;;;;;;;;;;;;;;;2013-2014
Jordi Alba;1600;0;2;8;1;;4;;19;;;;;;;;;;;;;;;2013-2014
José Manuel Pinto;1508;0;0;0;0;;0;;0;;;;;;;;;3;18,8;17;55;38;69,1;2013-2014
Martín Montoya;1303;0;2;1;0;;2;;14;;;;;;;;;;;;;;;2013-2014
Alexandre Song;1244;0;0;2;0;;3;;28;;;;;;;;;;;;;;;2013-2014
Carles Puyol;494;1;0;0;0;;1;;1;;;;;;;;;;;;;;;2013-2014
Cristian Tello;470;2;2;0;0;;8;;2;;;;;;;;;;;;;;;2013-2014
Sergi Roberto;413;0;0;1;0;;2;;6;;;;;;;;;;;;;;;2013-2014
Jonathan dos Santos;22;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2013-2014
Gil Patri;22;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2013-2014
Adama Traoré;18;0;0;0;0;;1;;0;;;;;;;;;;;;;;;2013-2014
Jean Marie Dongou;16;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2013-2014
Ibrahim Afellay;4;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2013-2014
Lionel Messi;5062;58;27;6;0;;129;;34;;;;;;;;0;;;;;;;2014-2015
Neymar;4090;39;8;8;0;;65;;49;;;;;;;;0;;;;;;;2014-2015
Dani Alves;3928;0;12;13;1;;7;;81;;;;;;;;0;;;;;;;2014-2015
Gerard Piqué;3899;7;1;10;0;;11;;36;;;;;;;;0;;;;;;;2014-2015
Javier Mascherano;3870;0;2;11;1;;1;;34;;;;;;;;0;;;;;;;2014-2015
Jordi Alba;3786;2;5;9;1;;11;;31;;;;;;;;0;;;;;;;2014-2015
Sergio Busquets;3575;0;2;8;0;;2;;32;;;;;;;;0;;;;;;;2014-2015
Luis Suárez;3513;25;18;7;0;;57;;30;;;;;;;;0;;;;;;;2014-2015
Ivan Rakitić;3341;8;9;3;0;;19;;27;;;;;;;;0;;;;;;;2014-2015
Claudio Bravo;3330;0;0;1;0;;0;;0;;;;;;;;;23;62,2;19;89;70;78,7;2014-2015
Andrés Iniesta;2905;3;6;3;0;;9;;23;;;;;;;;0;;;;;;;2014-2015
Jérémy Mathieu;2762;3;0;6;0;;6;;15;;;;;;;;0;;;;;;;2014-2015
Pedro;2227;11;8;5;0;;19;;30;;;;;;;;0;;;;;;;2014-2015
Xavi;2195;2;10;1;0;;12;;14;;;;;;;;0;;;;;;;2014-2015
Marc-André ter Stegen;1890;0;0;0;0;;0;;0;;;;;;;;0;10;47,6;11;41;30;73,2;2014-2015
Marc Bartra;1852;1;4;1;0;;4;;7;;;;;;;;0;;;;;;;2014-2015
Rafinha;1692;2;1;2;1;;5;;14;;;;;;;;0;;;;;;;2014-2015
Adriano;1413;2;1;4;0;;4;;28;;;;;;;;0;;;;;;;2014-2015
Sergi Roberto;929;2;0;0;0;;0;;5;;;;;;;;0;;;;;;;2014-2015
Martín Montoya;911;0;0;0;0;;1;;9;;;;;;;;0;;;;;;;2014-2015
Munir El Haddadi;813;1;1;0;0;;6;;5;;;;;;;;0;;;;;;;2014-2015
Sergi Samper;286;0;0;0;0;;0;;4;;;;;;;;0;;;;;;;2014-2015
Sandro Ramírez;276;4;0;0;0;;4;;2;;;;;;;;0;;;;;;;2014-2015
Douglas;265;0;0;1;0;;0;;2;;;;;;;;0;;;;;;;2014-2015
Jordi Masip;180;0;0;0;0;;0;;0;;;;;;;;0;0;0,0;2;2;0;0,0;2014-2015
Gerard Gumbau;90;0;0;0;0;;;;;;;;;;;;0;;;;;;;2014-2015
Adama Traoré;77;1;0;0;0;;;;;;;;;;;;0;;;;;;;2014-2015
Thomas Vermaelen;61;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2014-2015
Alen Halilović;30;0;0;0;0;;;;;;;;;;;;0;;;;;;;2014-2015
Edgar Ié;28;0;0;0;0;;;;;;;;;;;;0;;;;;;;2014-2015
Diawandou Diagne;;;;;;;;;;;;;;;;;;;;;;;;2014-2015
Luis Suárez;4586;54;23;11;0;137;87;51,1;59;64;61;34;9;21;2;0;0;;;;;;;2015-2016
Neymar;4346;31;17;10;0;124;76;49,2;60;130;24;126;11;23;8;0;0;;;;;;;2015-2016
Sergio Busquets;4244;0;5;9;0;6;2;33,3;46;66;1;2;67;76;1;0;0;;;;;;;2015-2016
Lionel Messi;4139;40;20;5;0;158;94;47,5;15;68;10;48;6;10;3;0;0;;;;;;;2015-2016
Javier Mascherano;4104;0;1;15;2;3;2;33,3;33;23;0;1;70;59;0;0;0;;;;;;;2015-2016
Ivan Rakitić;3899;9;4;5;0;45;18;31,1;51;51;4;66;51;43;0;0;1;;;;;;;2015-2016
Gerard Piqué;3808;5;1;17;1;13;8;46,2;25;9;4;2;54;36;0;0;0;;;;;;;2015-2016
Dani Alves;3640;1;7;13;0;16;6;25,0;59;20;5;102;46;42;0;0;0;;;;;;;2015-2016
Jordi Alba;3601;1;7;4;0;7;2;28,6;25;17;2;57;61;41;0;1;0;;;;;;;2015-2016
Andrés Iniesta;3334;1;2;7;0;23;8;26,1;24;39;0;17;27;45;0;0;0;;;;;;;2015-2016
Claudio Bravo;2967;0;0;0;0;0;0;;0;1;0;0;4;0;0;0;0;16;48,5;22;107;86;80,4;2015-2016
Sergi Roberto;2723;1;5;1;0;16;5;18,8;19;22;1;35;44;43;0;0;0;;;;;;;2015-2016
Jérémy Mathieu;2359;0;3;3;0;7;3;42,9;10;6;1;7;38;16;0;0;1;;;;;;;2015-2016
Marc-André ter Stegen;2313;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;9;37,5;15;67;52;77,6;2015-2016
Munir El Haddadi;1546;8;4;1;0;17;9;35,3;15;12;6;4;14;8;1;0;0;;;;;;;2015-2016
Thomas Vermaelen;1263;1;0;2;0;3;3;100,0;7;6;0;0;14;6;0;0;0;;;;;;;2015-2016
Marc Bartra;1206;2;1;1;0;5;2;40,0;6;5;1;0;15;6;0;0;0;;;;;;;2015-2016
Arda Turan;1175;2;4;8;0;11;4;36,4;22;15;2;5;10;23;0;0;0;;;;;;;2015-2016
Adriano;1057;1;2;1;0;1;1;0,0;11;6;0;11;10;7;0;0;0;;;;;;;2015-2016
Aleix Vidal;863;0;3;2;0;1;0;0,0;8;4;1;11;10;7;0;0;0;;;;;;;2015-2016
Sandro Ramírez;837;3;2;0;0;10;5;20,0;5;5;1;4;0;2;0;0;0;;;;;;;2015-2016
Sandro Ramírez;837;3;2;0;0;10;5;20,0;4;;;;;;;;;;;;;;;2015-2016
Sandro Ramírez;837;3;2;0;0;;0;;5;5;1;4;0;2;0;0;0;;;;;;;2015-2016
Sandro Ramírez;837;3;2;0;0;;0;;4;;;;;;;;;;;;;;;2015-2016
Rafinha;504;2;0;0;0;2;4;100,0;5;6;0;0;5;4;0;0;0;;;;;;;2015-2016
Sergi Samper;434;0;0;1;0;0;0;;4;0;0;0;0;2;0;0;0;;;;;;;2015-2016
Gerard Gumbau;240;0;0;3;0;0;0;;2;0;0;0;2;2;0;0;0;;;;;;;2015-2016
Jordi Masip;180;0;0;0;0;;;;;;;;;;;;0;1;50,0;;;0;;2015-2016
Sandro Ramírez;173;0;0;0;0;10;5;20,0;5;5;1;4;0;2;0;0;0;;;;;;;2015-2016
Sandro Ramírez;173;0;0;0;0;10;5;20,0;4;;;;;;;;;;;;;;;2015-2016
Sandro Ramírez;173;0;0;0;0;;0;;5;5;1;4;0;2;0;0;0;;;;;;;2015-2016
Sandro Ramírez;173;0;0;0;0;;0;;4;;;;;;;;;;;;;;;2015-2016
Pedro;165;1;0;3;0;;1;;1;0;0;;;;;;0;;;;;;;2015-2016
Wilfrid Kaptoum;134;1;0;0;0;;0;;1;;;;;;;;0;;;;;;;2015-2016
Douglas;118;0;0;0;0;0;0;;0;1;0;0;1;0;0;0;0;;;;;;;2015-2016
Aitor Cantalapiedra;117;0;1;0;0;;;;;;;;;;;;0;;;;;;;2015-2016
Juan Cámara;31;0;1;0;0;;0;;1;;;;;;;;0;;;;;;;2015-2016
Carles Aleñá;;;;;;;;;;;;;;;;;;;;;;;;2015-2016
Dani Romera;;;;;;;;;;;;;;;;;;;;;;;;2015-2016
Lionel Messi;4450;54;16;9;0;217;92;42,4;20;99;5;69;7;23;1;0;0;;;;;;;2016-2017
Luis Suárez;4296;36;16;14;1;141;67;47,5;50;59;65;24;15;18;4;0;0;;;;;;;2016-2017
Marc-André ter Stegen;4140;0;0;2;0;0;0;;1;5;0;0;4;0;0;1;0;17;37,0;47;195;150;76,9;2016-2017
Neymar;3965;20;20;15;1;125;52;41,6;50;158;24;260;16;46;4;0;0;;;;;;;2016-2017
Sergio Busquets;3922;0;3;15;0;4;0;0,0;51;46;1;2;64;74;0;0;0;;;;;;;2016-2017
Samuel Umtiti;3724;1;0;9;0;8;2;25,0;30;30;0;1;61;33;0;0;1;;;;;;;2016-2017
Sergi Roberto;3566;1;5;8;1;22;7;31,8;26;35;0;58;59;56;0;0;0;;;;;;;2016-2017
Gerard Piqué;3562;3;0;8;0;24;9;37,5;31;12;6;0;45;37;0;0;0;;;;;;;2016-2017
Ivan Rakitić;3519;9;7;10;0;56;19;33,9;42;54;3;86;38;45;0;0;0;;;;;;;2016-2017
Javier Mascherano;3027;1;4;8;0;13;2;15,4;27;23;1;5;67;56;0;0;0;;;;;;;2016-2017
Jordi Alba;2974;1;6;7;0;8;1;12,5;26;17;9;26;31;37;1;0;0;;;;;;;2016-2017
André Gomes;2653;3;2;4;0;25;9;36,0;49;23;4;15;16;38;1;0;0;;;;;;;2016-2017
Andrés Iniesta;2295;1;6;6;0;26;10;38,5;25;38;0;21;19;33;0;0;0;;;;;;;2016-2017
Arda Turan;1850;13;5;1;0;21;11;52,4;30;22;3;34;14;25;0;0;0;;;;;;;2016-2017
Lucas Digne;1849;1;1;3;0;6;1;16,7;28;11;4;40;27;22;0;0;0;;;;;;;2016-2017
Denis Suárez;1794;3;3;1;0;14;7;50,0;17;22;1;27;10;15;1;0;0;;;;;;;2016-2017
Rafinha;1566;7;2;2;0;28;10;35,7;13;41;1;10;15;27;0;0;0;;;;;;;2016-2017
Paco Alcácer;1307;8;3;1;0;27;16;59,3;9;7;6;5;7;2;0;0;0;;;;;;;2016-2017
Jérémy Mathieu;1145;1;0;0;2;5;1;20,0;15;5;1;6;17;13;0;0;1;;;;;;;2016-2017
Jasper Cillessen;900;0;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;3;30,0;9;7;5;71,4;2016-2017
Aleix Vidal;889;2;3;1;0;9;4;44,4;7;6;3;9;11;7;0;0;0;;;;;;;2016-2017
Claudio Bravo;270;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;2;66,7;2;2;0;0,0;2016-2017
Marlon;198;0;0;0;0;0;0;;1;1;0;0;3;3;0;0;0;;;;;;;2016-2017
Munir El Haddadi;125;1;0;0;0;0;0;;0;0;0;1;1;0;0;0;0;;;;;;;2016-2017
Carles Aleñá;118;1;0;1;0;1;0;0,0;2;0;0;0;1;0;0;0;0;;;;;;;2016-2017
Borja López;90;0;0;0;0;;;;;;;;;;;;0;;;;;;;2016-2017
Àlex Carbonell;68;0;0;0;0;;;;;;;;;;;;0;;;;;;;2016-2017
Marc Cardona;31;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;;;;;;;2016-2017
Nili;22;0;0;0;0;;;;;;;;;;;;0;;;;;;;2016-2017
Sergi Samper;17;0;0;0;0;;;;;;;;;;;;0;;;;;;;2016-2017
Jordi Masip;;;;;;;;;;;;;;;;;;;;;;;;2016-2017
Douglas;;;;;;;;;;;;;;;;;;;;;;;;2016-2017
Wilfrid Kaptoum;;;;;;;;;;;;;;;;;;;;;;;;2016-2017
Unai Simón;;;;;;;;;;;;;;;;;;;;;;;;2016-2017
Lionel Messi;4471;45;18;7;0;240;119;49,6;21;99;18;77;10;17;0;0;0;;;;;;;2017-2018
Luis Suárez;4445;31;18;14;0;153;68;44,4;60;63;68;17;12;18;1;0;0;;;;;;;2017-2018
Marc-André ter Stegen;4320;0;0;0;0;0;0;;0;2;0;0;5;0;0;0;0;24;50,0;39;147;115;78,9;2017-2018
Ivan Rakitić;4263;4;5;6;0;33;13;39,4;44;55;3;75;57;40;0;0;0;;;;;;;2017-2018
Sergio Busquets;4156;1;4;11;0;7;4;57,1;43;72;0;0;53;70;1;0;0;;;;;;;2017-2018
Gerard Piqué;4140;4;0;12;2;21;6;28,6;32;17;4;2;38;32;1;1;1;;;;;;;2017-2018
Jordi Alba;3999;3;10;9;0;16;6;37,5;41;27;19;55;77;54;0;0;0;;;;;;;2017-2018
Samuel Umtiti;3539;1;0;7;0;10;5;50,0;32;34;4;0;59;40;0;0;0;;;;;;;2017-2018
Sergi Roberto;3441;1;8;6;2;10;6;60,0;23;41;3;43;41;52;0;1;0;;;;;;;2017-2018
Andrés Iniesta;2867;2;5;2;0;24;6;25,0;18;61;1;23;18;31;0;0;0;;;;;;;2017-2018
Paulinho;2561;9;2;4;0;57;26;45,6;39;39;4;5;22;37;0;0;0;;;;;;;2017-2018
Nélson Semedo;2491;0;1;4;0;5;3;60,0;24;32;4;22;31;39;1;0;0;;;;;;;2017-2018
Thomas Vermaelen;1513;0;1;4;0;3;2;66,7;10;3;1;2;21;9;0;0;0;;;;;;;2017-2018
Philippe Coutinho;1478;10;6;1;0;37;20;54,1;12;32;9;50;7;14;0;0;0;;;;;;;2017-2018
Lucas Digne;1339;1;2;3;0;3;2;66,7;16;8;2;21;18;22;0;1;0;;;;;;;2017-2018
André Gomes;1192;0;1;3;0;9;0;0,0;19;8;3;5;9;18;0;0;0;;;;;;;2017-2018
Denis Suárez;1147;3;5;1;0;15;5;33,3;9;13;2;28;2;10;0;0;0;;;;;;;2017-2018
Ousmane Dembélé;1128;4;7;2;0;24;11;45,8;11;22;3;45;7;9;0;1;0;;;;;;;2017-2018
Aleix Vidal;1036;2;3;1;0;10;6;60,0;4;16;3;9;13;7;0;0;0;;;;;;;2017-2018
Paco Alcácer;996;7;3;0;0;18;8;44,4;2;10;7;7;12;5;0;0;0;;;;;;;2017-2018
Jasper Cillessen;990;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;8;72,7;1;10;9;90,0;2017-2018
Javier Mascherano;945;0;0;1;0;0;0;;11;1;0;0;10;14;0;0;0;;;;;;;2017-2018
Gerard Deulofeu;892;2;2;1;0;12;8;66,7;13;5;5;33;10;5;0;0;0;;;;;;;2017-2018
Yerry Mina;379;0;1;2;0;3;1;33,3;6;7;1;0;7;9;0;0;0;;;;;;;2017-2018
Carles Aleñá;223;0;0;1;0;;;;;;;;;;;;0;;;;;;;2017-2018
José Arnaiz;223;3;0;0;0;0;0;;1;0;0;0;0;1;0;0;0;;;;;;;2017-2018
Oriol Busquets;61;0;0;0;0;;;;;;;;;;;;0;;;;;;;2017-2018
David Costas;34;0;0;0;0;;;;;;;;;;;;0;;;;;;;2017-2018
Rafinha;13;0;0;0;0;;;;;;;;;;;;0;;;;;;;2017-2018
Marc Cucurella;8;0;0;0;0;;;;;;;;;;;;0;;;;;;;2017-2018
Arda Turan;;;;;;;;;;;;;;;;;;;;;;;;2017-2018
Adrián Ortolá;;;;;;;;;;;;;;;;;;;;;;;;2017-2018
Gerard Piqué;4680;7;2;7;0;27;13;48,1;33;27;2;0;56;43;0;1;0;;;;;;;2018-2019
Jordi Alba;4514;3;15;10;0;21;9;42,9;35;22;12;90;89;38;0;0;0;;;;;;;2018-2019
Marc-André ter Stegen;4410;0;0;1;0;0;0;;1;4;0;0;3;0;0;1;0;23;47,9;43;162;121;74,1;2018-2019
Sergio Busquets;4328;0;1;17;0;11;1;9,1;70;74;0;2;79;91;0;0;0;;;;;;;2018-2019
Ivan Rakitić;4233;5;10;10;1;70;22;31,4;44;76;3;31;79;35;1;0;0;;;;;;;2018-2019
Luis Suárez;4129;25;11;10;0;166;74;44,6;46;90;40;33;11;16;2;0;0;;;;;;;2018-2019
Lionel Messi;4029;51;19;3;0;256;127;49,6;31;101;19;106;6;20;1;0;0;;;;;;;2018-2019
Clément Lenglet;3656;2;0;11;1;18;7;38,9;49;34;1;0;44;55;0;0;0;;;;;;;2018-2019
Philippe Coutinho;3336;11;5;2;0;118;53;44,9;31;73;18;86;23;18;0;0;0;;;;;;;2018-2019
Sergi Roberto;3217;1;7;4;0;17;5;29,4;32;47;0;40;56;36;0;0;0;;;;;;;2018-2019
Nélson Semedo;2894;1;1;9;0;9;2;22,2;44;46;7;28;37;54;0;0;0;;;;;;;2018-2019
Arturo Vidal;2758;3;7;10;0;37;14;37,8;89;46;3;7;49;75;0;0;0;;;;;;;2018-2019
Ousmane Dembélé;2490;14;8;1;0;69;33;47,8;28;48;11;113;10;19;0;0;0;;;;;;;2018-2019
Arthur Melo;2464;0;2;3;0;8;4;50,0;16;79;0;5;20;28;0;0;0;;;;;;;2018-2019
Samuel Umtiti;1267;0;1;5;1;2;0;0,0;18;16;2;0;18;6;0;0;0;;;;;;;2018-2019
Carles Aleñá;1088;2;0;3;0;22;5;22,7;16;21;2;3;4;11;0;0;0;;;;;;;2018-2019
Malcom;1073;4;2;0;0;22;10;45,5;14;27;11;43;7;8;0;0;0;;;;;;;2018-2019
Jasper Cillessen;990;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;3;27,3;13;44;33;72,7;2018-2019
Thomas Vermaelen;768;0;0;2;0;2;0;0,0;11;7;0;1;11;4;0;0;0;;;;;;;2018-2019
Munir El Haddadi;397;2;1;0;0;12;4;33,3;4;6;10;1;0;3;0;0;0;;;;;;;2018-2019
Rafinha;347;1;0;1;0;6;3;50,0;10;12;0;6;1;8;0;0;0;;;;;;;2018-2019
Juan Miranda;315;0;0;2;0;2;0;0,0;4;9;1;7;6;4;0;0;0;;;;;;;2018-2019
Kevin-Prince Boateng;301;0;0;1;0;3;1;33,3;4;11;5;0;1;2;0;0;0;;;;;;;2018-2019
Jeison Murillo;293;0;0;2;0;2;1;50,0;6;4;0;0;5;7;0;0;0;;;;;;;2018-2019
Denis Suárez;263;2;0;0;0;10;4;40,0;1;6;1;8;2;0;1;0;0;;;;;;;2018-2019
Chumi;237;0;0;1;0;0;0;;3;1;0;1;3;4;0;0;0;;;;;;;2018-2019
Moussa Wagué;225;0;0;1;0;1;1;100,0;9;0;3;6;4;5;;;0;;;;;;;2018-2019
Riqui Puig;192;0;1;0;0;0;0;;1;3;0;0;1;4;0;0;0;;;;;;;2018-2019
Jean-Clair Todibo;157;0;0;2;0;0;0;;4;0;0;0;3;2;;;0;;;;;;;2018-2019
Álex Collado;85;0;0;0;0;2;0;0,0;0;1;0;0;0;0;;;0;;;;;;;2018-2019
Jorge Cuenca;60;0;0;0;0;0;0;;1;0;0;0;2;1;0;0;0;;;;;;;2018-2019
Oriol Busquets;54;0;0;0;0;0;0;;3;0;0;0;1;0;0;0;0;;;;;;;2018-2019
Sergi Samper;32;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;;;;;;;2018-2019
Abel Ruiz;22;0;0;0;0;1;1;100,0;0;0;0;1;0;1;;;0;;;;;;;2018-2019
Carles Pérez;18;0;0;0;0;1;0;0,0;0;0;0;0;0;0;;;0;;;;;;;2018-2019
Iñaki Peña;;;;;;;;;;;;;;;;;;;;;;;;2018-2019
Jokin Ezkieta;;;;;;;;;;;;;;;;;;;;;;;;2018-2019
Guillem Jaime;;;;;;;;;;;;;;;;;;;;;;;;2018-2019
Marc-André ter Stegen;4140;0;2;1;0;0;0;;0;3;0;0;4;2;;;0;17;37,0;50;151;110;71,5;2019-2020
Gerard Piqué;3980;1;0;20;0;18;9;50,0;40;22;0;0;54;29;;;0;;;;;;;2019-2020
Lionel Messi;3812;31;25;7;0;201;93;46,3;29;101;15;144;9;10;;;0;;;;;;;2019-2020
Antoine Griezmann;3487;15;4;4;0;75;36;48,0;20;27;18;32;17;22;;;0;;;;;;;2019-2020
Clément Lenglet;3415;4;1;12;2;16;6;37,5;46;34;4;1;47;39;;;0;;;;;;;2019-2020
Sergio Busquets;3252;2;2;12;0;11;4;36,4;61;64;0;1;68;59;;;1;;;;;;;2019-2020
Frenkie de Jong;3220;2;3;4;1;8;6;75,0;28;46;1;7;40;32;;;0;;;;;;;2019-2020
Sergi Roberto;3020;1;2;9;0;7;3;42,9;26;43;2;40;41;31;;;0;;;;;;;2019-2020
Nélson Semedo;2997;1;4;5;0;12;3;25,0;37;44;5;31;36;45;;;0;;;;;;;2019-2020
Jordi Alba;2816;2;7;10;0;9;3;33,3;21;29;7;79;48;15;;;1;;;;;;;2019-2020
Luis Suárez;2655;21;11;7;0;105;59;56,2;23;43;21;10;4;1;;;0;;;;;;;2019-2020
Arturo Vidal;2253;8;3;9;1;31;14;45,2;63;32;10;19;18;49;;;0;;;;;;;2019-2020
Ivan Rakitić;2117;1;5;6;0;37;9;24,3;29;49;2;43;28;22;;;0;;;;;;;2019-2020
Arthur Melo;1541;4;4;2;0;11;6;54,5;15;56;1;25;4;12;;;0;;;;;;;2019-2020
Junior Firpo;1402;1;1;6;0;4;1;25,0;40;24;2;10;21;19;;;0;;;;;;;2019-2020
Ansu Fati;1381;8;1;3;1;44;15;34,1;26;32;7;27;9;11;;;0;;;;;;;2019-2020
Samuel Umtiti;1320;0;0;6;0;1;0;0,0;25;19;1;0;32;9;;;0;;;;;;;2019-2020
Carles Pérez;618;2;2;0;0;18;8;44,4;5;8;3;17;1;5;;;0;;;;;;;2019-2020
Riqui Puig;580;0;2;1;0;9;5;55,6;9;11;0;1;5;8;;;0;;;;;;;2019-2020
Ousmane Dembélé;493;1;0;2;1;9;3;33,3;3;6;5;25;0;2;;;0;;;;;;;2019-2020
Neto;450;0;0;1;0;0;0;;1;2;0;0;0;0;;;0;1;20,0;7;18;12;66,7;2019-2020
Martin Braithwaite;407;1;0;1;0;13;8;61,5;8;7;1;4;1;2;;;0;;;;;;;2019-2020
Carles Aleñá;262;0;0;0;0;1;1;100,0;4;4;0;7;1;1;;;0;;;;;;;2019-2020
Ronald Araújo;238;0;0;0;1;1;0;0,0;2;1;0;0;1;2;;;0;;;;;;;2019-2020
Rafinha;186;0;0;0;0;6;1;16,7;3;12;0;12;1;2;;;0;;;;;;;2019-2020
Moussa Wagué;181;0;0;0;0;2;0;0,0;2;0;0;7;2;4;;;0;;;;;;;2019-2020
Jean-Clair Todibo;167;0;0;0;0;1;0;0,0;2;0;0;0;1;6;;;0;;;;;;;2019-2020
Monchu;7;0;0;0;0;0;0;;1;0;0;0;0;0;;;0;;;;;;;2019-2020
Álex Collado;6;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;;;;;;;2019-2020
Abel Ruiz;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Jandro Orellana;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Rey Manaj;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Arnau Tenas;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Kike Saverio;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Jorge Cuenca;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Arnau Comas;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Chumi;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Sergio Akieme;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Ludovit Reis;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Óscar Mingueza;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Dani Morer;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Iñaki Peña;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Konrad De La Fuente;;;;;;;;;;;;;;;;;;;;;;;;2019-2020
Frenkie de Jong;4489;7;7;6;0;25;10;40,0;37;69;7;10;64;38;;;0;;;;;;;2020-2021
Jordi Alba;4193;5;13;13;0;35;12;34,3;29;20;15;168;64;38;;;1;;;;;;;2020-2021
Lionel Messi;4192;38;12;6;1;270;128;47,4;29;140;10;177;8;14;;;0;;;;;;;2020-2021
Marc-André ter Stegen;3900;0;0;1;0;1;0;0,0;1;1;0;0;1;0;;;0;14;35,0;50;147;106;71,4;2020-2021
Antoine Griezmann;3884;20;12;5;0;111;51;45,9;24;52;20;33;20;28;;;0;;;;;;;2020-2021
Clément Lenglet;3694;1;0;14;2;17;7;41,2;66;51;6;6;52;28;;;1;;;;;;;2020-2021
Pedri;3509;4;6;2;0;37;14;37,8;27;58;1;24;42;43;;;0;;;;;;;2020-2021
Sergio Busquets;3506;0;5;10;0;10;5;50,0;62;87;0;4;60;53;;;0;;;;;;;2020-2021
Óscar Mingueza;2795;2;3;7;0;14;6;42,9;47;24;1;30;36;45;;;0;;;;;;;2020-2021
Sergiño Dest;2738;3;1;1;0;21;7;33,3;22;19;6;62;15;29;;;0;;;;;;;2020-2021
Ousmane Dembélé;2700;11;5;4;0;94;41;43,6;21;43;15;120;12;15;;;0;;;;;;;2020-2021
Ronald Araújo;2236;2;1;3;0;20;8;40,0;17;26;2;0;30;18;;;0;;;;;;;2020-2021
Gerard Piqué;1917;2;0;4;1;11;4;36,4;18;6;2;0;38;14;;;0;;;;;;;2020-2021
Martin Braithwaite;1737;7;3;4;0;41;17;41,5;17;28;17;6;8;5;;;0;;;;;;;2020-2021
Francisco Trincão;1334;3;2;3;0;42;19;45,2;14;25;9;21;6;10;;;0;;;;;;;2020-2021
Miralem Pjanić;1302;0;0;3;0;27;6;22,2;18;16;0;19;25;11;;;0;;;;;;;2020-2021
Sergi Roberto;1201;1;2;2;0;7;3;42,9;8;13;2;17;12;12;;;0;;;;;;;2020-2021
Neto;1110;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;6;50,0;9;34;28;82,4;2020-2021
Junior Firpo;874;1;1;3;0;4;2;50,0;19;9;4;13;11;7;;;0;;;;;;;2020-2021
Samuel Umtiti;833;0;0;2;0;2;1;50,0;15;12;0;0;13;1;;;0;;;;;;;2020-2021
Philippe Coutinho;787;3;2;0;0;34;12;35,3;9;14;1;27;3;6;;;0;;;;;;;2020-2021
Ilaix Moriba;680;1;2;1;0;16;3;18,8;21;22;0;1;5;9;;;0;;;;;;;2020-2021
Riqui Puig;598;1;0;2;0;11;2;18,2;8;19;0;1;5;5;;;0;;;;;;;2020-2021
