Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Rafael Márquez;2680;0;0;9;0;;7;;45;;;;;;;;;;;;;;;2005-2006
Giovanni van Bronckhorst;2540;0;3;3;0;;9;;73;;;;;;;;;;;;;;;2005-2006
Juliano Belletti;2353;1;1;10;0;;8;;62;;;;;;;;;;;;;;;2005-2006
Ludovic Giuly;2218;6;6;1;0;;34;;24;;;;;;;;;;;;;;;2005-2006
Andrés Iniesta;2181;1;6;5;0;;11;;37;;;;;;;;;;;;;;;2005-2006
Mark van Bommel;2068;3;2;6;0;;20;;31;;;;;;;;;;;;;;;2005-2006
Sylvinho;2046;2;4;5;0;;4;;34;;;;;;;;;;;;;;;2005-2006
Henrik Larsson;1905;11;4;1;0;;30;;27;;;;;;;;;;;;;;;2005-2006
Xavi;1528;0;1;1;0;;4;;21;;;;;;;;;;;;;;;2005-2006
Thiago Motta;1334;1;1;4;1;;4;;31;;;;;;;;;;;;;;;2005-2006
Lionel Messi;1233;7;4;2;0;;32;;25;;;;;;;;;;;;;;;2005-2006
Gabri García;639;1;0;1;1;;2;;15;;;;;;;;;;;;;;;2005-2006
Santiago Ezquerro;632;3;0;0;0;;9;;7;;;;;;;;;;;;;;;2005-2006
Albert Jorquera;360;0;0;0;0;;0;;0;;;;;;;;;2;50,0;6;20;14;70,0;2005-2006
Maxi López;274;0;1;0;0;;0;;4;;;;;;;;;;;;;;;2005-2006
Rodri;254;0;0;0;0;;0;;3;;;;;;;;;;;;;;;2005-2006
Ludovic Sylvestre;107;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Jesús Olmo;90;0;;1;0;;;;;;;;;;;;0;;;;;;;2005-2006
Andrea Orlandi;73;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Pitu;29;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Paco Montañés;21;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Francisco Martos;17;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Ramón Masó;10;0;;0;0;;;;;;;;;;;;0;;;;;;;2005-2006
Víctor Valdés;4140;0;0;2;0;;0;;0;;;;;;;;;19;41,3;39;159;120;75,5;2006-2007
Carles Puyol;3732;3;0;4;0;;5;;48;;;;;;;;;;;;;;;2006-2007
Ronaldinho;3453;23;10;8;1;;63;;43;;;;;;;;;;;;;;;2006-2007
Xavi;3261;3;4;4;0;;20;;31;;;;;;;;;;;;;;;2006-2007
Deco;3193;3;12;15;1;;30;;68;;;;;;;;;;;;;;;2006-2007
Andrés Iniesta;3178;8;3;4;0;;16;;33;;;;;;;;;;;;;;;2006-2007
Gianluca Zambrotta;2770;3;3;11;1;;6;;54;;;;;;;;;;;;;;;2006-2007
Lionel Messi;2368;15;3;3;0;;36;;40;;;;;;;;;;;;;;;2006-2007
Rafael Márquez;2233;1;0;7;0;;7;;40;;;;;;;;;;;;;;;2006-2007
Lilian Thuram;2223;0;0;3;0;;0;;33;;;;;;;;;;;;;;;2006-2007
Giovanni van Bronckhorst;2102;0;2;4;0;;5;;51;;;;;;;;;;;;;;;2006-2007
Edmílson;1932;0;0;6;0;;4;;45;;;;;;;;;;;;;;;2006-2007
Ludovic Giuly;1836;5;3;0;1;;22;;20;;;;;;;;;;;;;;;2006-2007
Samuel Eto'o;1693;12;10;4;0;;43;;29;;;;;;;;;;;;;;;2006-2007
Eiður Guðjohnsen;1566;8;2;2;0;;18;;23;;;;;;;;;;;;;;;2006-2007
Oleguer Presas;1471;0;0;4;1;;0;;16;;;;;;;;;;;;;;;2006-2007
Sylvinho;1149;0;2;3;1;;2;;14;;;;;;;;;;;;;;;2006-2007
Thiago Motta;1009;0;0;6;1;;3;;33;;;;;;;;;;;;;;;2006-2007
Juliano Belletti;988;0;1;3;0;;3;;17;;;;;;;;;;;;;;;2006-2007
Javier Saviola;760;5;0;2;0;;12;;9;;;;;;;;;;;;;;;2006-2007
Santiago Ezquerro;288;1;0;0;0;;6;;4;;;;;;;;;;;;;;;2006-2007
Jesús Olmo;3;0;;0;0;;;;;;;;;;;;0;;;;;;;2006-2007
Víctor Valdés;4140;0;0;2;0;;0;;0;;;;;;;;;22;47,8;40;168;128;76,2;2007-2008
Xavi;3882;8;6;6;1;;23;;26;;;;;;;;;;;;;;;2007-2008
Andrés Iniesta;3428;4;3;6;0;;29;;47;;;;;;;;;;;;;;;2007-2008
Éric Abidal;3423;0;0;3;0;;1;;58;;;;;;;;;;;;;;;2007-2008
Carles Puyol;3375;1;0;11;0;;4;;43;;;;;;;;;;;;;;;2007-2008
Thierry Henry;3051;15;9;3;0;;48;;47;;;;;;;;;;;;;;;2007-2008
Gabriel Milito;3031;1;0;9;1;;6;;59;;;;;;;;;;;;;;;2007-2008
Yaya Touré;2846;2;0;10;0;;7;;65;;;;;;;;;;;;;;;2007-2008
Gianluca Zambrotta;2730;0;0;8;1;;2;;56;;;;;;;;;;;;;;;2007-2008
Lionel Messi;2701;16;14;4;0;;53;;37;;;;;;;;;;;;;;;2007-2008
Samuel Eto'o;1998;17;3;5;0;;40;;22;;;;;;;;;;;;;;;2007-2008
Lilian Thuram;1963;0;0;3;0;;0;;24;;;;;;;;;;;;;;;2007-2008
Rafael Márquez;1929;2;0;10;1;;5;;39;;;;;;;;;;;;;;;2007-2008
Bojan Krkić;1809;11;4;1;0;;26;;23;;;;;;;;;;;;;;;2007-2008
Ronaldinho;1754;9;3;0;0;;32;;15;;;;;;;;;;;;;;;2007-2008
Deco;1724;1;6;12;0;;15;;46;;;;;;;;;;;;;;;2007-2008
Giovani dos Santos;1391;4;3;3;0;;19;;33;;;;;;;;;;;;;;;2007-2008
Eiður Guðjohnsen;1236;2;1;2;0;;10;;14;;;;;;;;;;;;;;;2007-2008
Sylvinho;1179;0;2;1;0;;1;;11;;;;;;;;;;;;;;;2007-2008
Oleguer Presas;833;0;0;1;0;;0;;10;;;;;;;;;;;;;;;2007-2008
Dani Alves;750;2;2;2;0;;3;;18;;;;;;;;;;;;;;;2007-2008
Edmílson;471;0;0;4;1;;0;;12;;;;;;;;;;;;;;;2007-2008
José Manuel Pinto;270;0;0;0;0;;0;;0;;;;;;;;;0;0,0;8;18;10;55,6;2007-2008
Santiago Ezquerro;111;0;0;0;0;;1;;2;;;;;;;;;;;;;;;2007-2008
Albert Jorquera;90;0;0;0;0;;0;;0;;;;;;;;;0;0,0;1;6;5;83,3;2007-2008
Fali;21;0;0;1;0;;0;;1;;;;;;;;;;;;;;;2007-2008
Marc Crosas;20;0;0;0;0;;0;;1;;;;;;;;;;;;;;;2007-2008
Pedro;19;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2007-2008
José Manuel Rueda;17;0;;0;0;;;;;;;;;;;;0;;;;;;;2007-2008
Víctor Vázquez;14;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2007-2008
Víctor Sánchez;2;0;;0;0;;;;;;;;;;;;0;;;;;;;2007-2008
Víctor Valdés;4230;0;0;3;0;;0;;0;;;;;;;;;19;40,4;41;141;100;70,9;2008-2009
Xavi;3945;8;25;5;0;;19;;30;;;;;;;;;;;;;;;2008-2009
Dani Alves;3825;5;12;13;0;;17;;108;;;;;;;;;;;;;;;2008-2009
Samuel Eto'o;3709;34;6;10;0;;77;;37;;;;;;;;;;;;;;;2008-2009
Lionel Messi;3443;32;16;3;0;;68;;35;;;;;;;;;;;;;;;2008-2009
Gerard Piqué;3285;2;0;10;2;;9;;43;;;;;;;;;;;;;;;2008-2009
Carles Puyol;3141;1;2;7;0;;4;;31;;;;;;;;;;;;;;;2008-2009
