ID_Jugador,Jugador,ID_Nacion
1,Abde Ezzalzouli,25
2,Abel Ruiz,15
3,Abraham González,15
4,Adama Traoré,15
5,Adriano,7
6,Albert Jorquera,15
7,Alberto Botía,15
8,Aleix Garrido,15
9,Aleix Vidal,15
10,Alejandro Balde,15
11,Alexander Hleb,6
12,Alexandre Song,10
13,Alexis Olmedo,15
14,Alexis Sánchez,8
15,Alvaro Sanz,15
16,Ander Astralaga,15
17,Andrea Orlandi,15
18,Andreas Christensen,13
19,Andres Cuenca,15
20,Andreu Fontàs,15
21,André Gomes,31
22,Andrés Iniesta,15
23,Ansu Fati,15
24,Antoine Griezmann,16
25,Arda Turan,34
26,Arnau Comas,15
27,Arnau Tenas,15
28,Arthur Melo,7
29,Arturo Vidal,8
30,Bojan Krkić,15
31,Borja López,15
32,Carles Aleñá,15
33,Carles Planas,15
34,Carles Puyol,15
35,Carles Pérez,15
36,Cesc Fàbregas,15
37,Chadi Riad,25
38,Chumi,15
39,Claudio Bravo,8
40,Clément Lenglet,16
41,Cristian Tello,15
42,Damià Abella,15
43,Dani Alves,7
44,Dani Morer,15
45,Dani Olmo,15
46,Daniel Rodriguez,15
47,David Costas,15
48,David Villa,15
49,Deco,31
50,Demetrio Albertini,24
51,Denis Suárez,15
52,Diego Kochen,37
53,Dmytro Chygrynskiy,35
54,Douglas,7
55,Edgar Davids,29
56,Edmílson,7
57,Eiður Guðjohnsen,23
58,Emerson,7
59,Eric García,15
60,Estanis,15
61,Fali,15
62,Fermin López,15
63,Fernando Navarro,15
64,Ferran Jutglà,15
65,Ferrán Torres,15
66,Francisco Martos,15
67,Francisco Trincão,31
68,Franck Kessié,9
69,Frenkie de Jong,29
70,Gabri García,15
71,Gabriel Milito,2
72,Gavi,15
73,Gerard Deulofeu,15
74,Gerard Gumbau,15
75,Gerard López,15
76,Gerard Martín,15
77,Gerard Piqué,15
78,Gianluca Zambrotta,24
79,Giovani dos Santos,26
80,Giovanni van Bronckhorst,29
81,Guillem Jaime,15
82,Guillermo Fernandez,15
83,Henrik Larsson,33
84,Héctor Bellerín,15
85,Héctor Fort,15
86,Ibrahim Afellay,29
87,Ilaix Moriba,21
88,Ilias Akhomach,25
89,Isaac Cuenca,15
90,Ivan Rakitić,12
91,Iñaki Peña,15
92,Iñigo Martínez,15
93,Jandro Orellana,15
94,Jasper Cillessen,29
95,Javier Mascherano,2
96,Javier Saviola,2
97,Jean Marie Dongou,10
98,Jean-Clair Todibo,16
99,Jeffrén Suárez,38
100,Jeison Murillo,11
101,Jesús Olmo,15
102,Jokin Ezkieta,15
103,Jonathan dos Santos,26
104,Jordi Alba,15
105,Jordi Masip,15
106,Jorge Cuenca,15
107,José Arnaiz,15
108,José Manuel Pinto,15
109,José Manuel Rueda,15
110,João Cancelo,31
111,João Félix,31
112,Juan Cámara,15
113,Juan Miranda,15
114,Jules Koundé,16
115,Juliano Belletti,7
116,Junior Firpo,14
117,Jérémy Mathieu,16
118,Kevin-Prince Boateng,19
119,Kike Saverio,15
120,Konrad De La Fuente,37
121,Lamine Yamal,15
122,Landry Farré,15
123,Lazar Carević,28
124,Lilian Thuram,16
125,Lionel Messi,2
126,Lucas De Vega,15
127,Lucas Digne,16
128,Ludovic Giuly,16
129,Ludovic Sylvestre,20
130,Ludovit Reis,29
131,Luis Enrique,15
132,Luis García,15
133,Luis Suárez,36
134,Luuk de Jong,29
135,Malcom,7
136,Marc Bartra,15
137,Marc Bernal,15
138,Marc Cardona,15
139,Marc Casado,15
140,Marc Crosas,15
141,Marc Guiu,15
142,Marc Muniesa,15
143,Marc Overmars,29
144,Marc-André ter Stegen,18
145,Marcos Alonso,15
146,Mario,15
147,Mark van Bommel,29
148,Marlon,7
149,Martin Braithwaite,13
150,Martí Riverola,15
151,Martín Cáceres,36
152,Martín Montoya,15
153,Matheus Fernandes,7
154,Maxi López,2
155,Maxwell,7
156,Memphis,29
157,Michael Reiziger,29
158,Mika Mármol,15
159,Mikayil Ngor Faye,32
160,Miralem Pjanić,5
161,Monchu,15
162,Moussa Wagué,32
163,Munir El Haddadi,25
164,Neto,7
165,Neymar,7
166,Nicolás González,15
167,Nili,15
168,Noah Darvich,18
169,Nolito,15
170,Nélson Semedo,31
171,Oier Olazábal,15
172,Oleguer Presas,15
173,Oriol Busquets,15
174,Oriol Romeu,15
175,Ousmane Dembélé,16
176,Pablo Torre,15
177,Paco Alcácer,15
178,Paco Montañés,15
179,Patrick Kluivert,29
180,Patrik Andersson,33
181,Pau Cubarsí,15
182,Pau Prim,15
183,Pau Victor,15
184,Paulinho,7
185,Pedri,15
186,Pedro,15
187,Philippe Coutinho,7
188,Phillip Cocu,29
189,Pierre-Emerick Aubameyang,17
190,Pitu,15
191,Player,0
192,Rafael Márquez,26
193,Rafinha,7
194,Ramón Masó,15
195,Ramón Ros,15
196,Raphinha,7
197,Rey Manaj,1
198,Ricardo Quaresma,31
199,Riqui Puig,15
200,Robert Lewandowski,30
201,Rodri,15
202,Ronald Araújo,36
203,Ronaldinho,7
204,Rubén,15
205,Rüştü Reçber,34
206,Samuel Eto'o,10
207,Samuel Umtiti,16
208,Sandro Ramírez,15
209,Santi Ramos Mingo,2
210,Santiago Ezquerro,15
211,Sergi Dominguez,15
212,Sergi Roberto,15
213,Sergi Samper,15
214,Sergio Agüero,2
215,Sergio Akieme,15
216,Sergio Busquets,15
217,Sergio García,15
218,Sergio Santamaría,15
219,Sergiño Dest,37
220,Seydou Keita,27
221,Sylvinho,7
222,Thiago Alcántara,15
223,Thiago Motta,24
224,Thierry Henry,16
225,Thomas Vermaelen,4
226,Toni Fernández,15
227,Unai Hernandez,15
228,Vitor Roque,7
229,Víctor Sánchez,15
230,Víctor Valdés,15
231,Víctor Vázquez,15
232,Wilfrid Kaptoum,10
233,Wojciech Szczęsny,30
234,Xavi,15
235,Xavi Torres,15
236,Yaya Touré,9
237,Yerry Mina,11
238,Yusuf Demir,3
239,Zlatan Ibrahimović,33
240,Àlex Carbonell,15
241,Álex Collado,15
242,Álex Valle,15
243,Álvaro Cortés,15
244,Ángel Alarcón,15
245,Áron Yaakobishvili,22
246,Éric Abidal,16
247,Óscar López,15
248,Óscar Mingueza,15
249,İlkay Gündoğan,18
