id_partido_sb,fecha,rival,competicion,formacion_oficial
9636,2017-10-01,Las Palmas,La Liga,4-4-2
9609,2017-09-19,Eibar,La Liga,4-3-3
9575,2017-08-20,Real Betis,La Liga,4-4-1-1
9928,2018-05-09,Villarreal,La Liga,4-3-2-1
9736,2017-12-23,Real Madrid,La Liga,4-4-2
9742,2018-01-07,Levante UD,La Liga,4-4-2
9765,2018-01-21,Real Betis,La Liga,4-2-2-2
9661,2017-10-28,Athletic Club,La Liga,4-4-2
9592,2017-09-09,Espanyol,La Liga,4-4-2
9870,2018-04-07,Leganés,La Liga,4-2-3-1
9783,2018-02-04,Espanyol,La Liga,4-3-3
9700,2017-12-02,Celta Vigo,La Liga,4-1-2-1-2
9860,2018-03-31,Sevilla,La Liga,4-3-3
9695,2017-11-26,Valencia,La Liga,4-4-2
9794,2018-02-11,Getafe,La Liga,4-4-2
9717,2017-12-10,Villarreal,La Liga,4-4-2
9673,2017-11-04,Sevilla,La Liga,4-4-2
9650,2017-10-21,Málaga,La Liga,4-4-2
9620,2017-09-23,Girona,La Liga,4-4-2
9837,2018-03-04,Atlético Madrid,La Liga,4-4-2
9811,2018-02-24,Girona,La Liga,4-4-2
9642,2017-10-14,Atlético Madrid,La Liga,4-4-2
9774,2018-01-28,Deportivo Alavés,La Liga,4-4-2
9602,2017-09-16,Getafe,La Liga,4-3-3
9948,2018-05-20,Real Sociedad,La Liga,4-3-3
9682,2017-11-18,Leganés,La Liga,4-4-2
9581,2017-08-26,Deportivo Alavés,La Liga,4-3-3
9726,2017-12-17,RC Deportivo La Coruña,La Liga,4-4-2
9754,2018-01-14,Real Sociedad,La Liga,4-2-2-2
9889,2018-04-17,Celta Vigo,La Liga,4-2-3-1
266989,2016-11-06,Sevilla,La Liga,4-3-3
266357,2016-12-10,Osasuna,La Liga,4-3-3
267569,2017-04-23,Real Madrid,La Liga,4-1-2-1-2
267212,2016-09-17,Leganés,La Liga,3-4-3
266669,2016-09-10,Deportivo Alavés,La Liga,4-3-3
266892,2016-08-28,Athletic Club,La Liga,4-3-3
267220,2016-09-21,Atlético Madrid,La Liga,4-3-3
267670,2016-08-20,Real Betis,La Liga,4-3-3
266516,2017-01-29,Real Betis,La Liga,4-3-3
267039,2017-05-14,Las Palmas,La Liga,4-3-3
266477,2017-01-08,Villarreal,La Liga,4-3-3
267101,2017-04-26,Osasuna,La Liga,3-5-2
266440,2017-03-19,Valencia,La Liga,3-4-3
266033,2016-10-22,Valencia,La Liga,4-3-3
267660,2017-03-12,RC Deportivo La Coruña,La Liga,3-4-3
266273,2017-02-11,Deportivo Alavés,La Liga,4-3-3
267395,2017-01-14,Las Palmas,La Liga,4-3-3
266874,2017-02-04,Athletic Club,La Liga,4-3-3
266731,2017-01-22,Eibar,La Liga,4-3-3
266528,2016-12-18,Espanyol,La Liga,4-3-3
266280,2017-04-05,Sevilla,La Liga,3-5-1-1
267432,2017-05-21,Eibar,La Liga,4-3-3
267076,2016-12-03,Real Madrid,La Liga,4-3-3
267590,2017-04-08,Málaga,La Liga,4-3-3
267373,2017-04-15,Real Sociedad,La Liga,4-1-2-1-2
267077,2017-04-29,Espanyol,La Liga,4-3-3
266952,2017-05-06,Villarreal,La Liga,4-3-3
267464,2017-02-26,Atlético Madrid,La Liga,4-3-3
266299,2017-03-04,Celta Vigo,La Liga,3-4-3
266191,2016-11-27,Real Sociedad,La Liga,4-3-3
265952,2017-03-01,Sporting Gijón,La Liga,3-4-3
267492,2016-10-15,RC Deportivo La Coruña,La Liga,3-4-3
267596,2017-02-19,Leganés,La Liga,4-3-3
267058,2016-10-29,Granada,La Liga,4-3-3
3825660,2015-11-08,Villarreal,La Liga,4-3-3
3825637,2015-10-25,Eibar,La Liga,4-3-3
3825645,2015-10-31,Getafe,La Liga,4-3-3
3825627,2015-10-17,Rayo Vallecano,La Liga,4-3-3
3825617,2015-10-03,Sevilla,La Liga,4-3-3
266498,2016-03-12,Getafe,La Liga,4-3-3
266986,2016-04-30,Real Betis,La Liga,4-3-3
267533,2016-04-02,Real Madrid,La Liga,4-3-3
266310,2016-04-20,RC Deportivo La Coruña,La Liga,4-3-3
267576,2016-01-30,Atlético Madrid,La Liga,4-3-3
266653,2016-03-03,Rayo Vallecano,La Liga,4-3-3
265944,2016-04-23,Sporting Gijón,La Liga,4-3-3
265894,2016-01-23,Málaga,La Liga,4-3-3
265958,2016-05-08,Espanyol,La Liga,4-3-3
267611,2015-09-26,Las Palmas,La Liga,4-3-3
267422,2015-08-29,Málaga,La Liga,4-3-3
266236,2015-08-23,Athletic Club,La Liga,4-3-3
267274,2015-12-05,Valencia,La Liga,4-3-3
266961,2015-12-12,RC Deportivo La Coruña,La Liga,4-3-3
266885,2015-11-28,Real Sociedad,La Liga,4-3-3
266815,2016-02-17,Sporting Gijón,La Liga,4-3-3
267506,2016-05-14,Granada,La Liga,4-3-3
266664,2016-04-09,Real Sociedad,La Liga,4-3-3
266106,2016-03-20,Villarreal,La Liga,4-3-3
266670,2016-01-02,Espanyol,La Liga,4-3-3
266149,2016-01-17,Athletic Club,La Liga,4-3-3
266620,2016-01-09,Granada,La Liga,4-3-3
266056,2016-03-06,Eibar,La Liga,4-3-3
267327,2015-12-30,Real Betis,La Liga,4-3-3
266166,2015-09-12,Atlético Madrid,La Liga,4-3-3
266160,2016-02-07,Levante UD,La Liga,4-3-3
265839,2016-02-28,Sevilla,La Liga,4-3-3
266424,2015-11-21,Real Madrid,La Liga,4-3-3
266467,2015-09-23,Celta Vigo,La Liga,4-3-3
267273,2016-02-20,Las Palmas,La Liga,4-3-3
266490,2015-09-20,Levante UD,La Liga,4-2-3-1
266254,2016-02-14,Celta Vigo,La Liga,4-3-3
266557,2016-04-17,Valencia,La Liga,4-3-3
267183,2015-03-22,Real Madrid,La Liga,4-3-3
265835,2014-11-22,Sevilla,La Liga,4-3-3
266838,2014-09-24,Málaga,La Liga,4-3-3
265963,2015-04-28,Getafe,La Liga,4-3-3
266117,2014-09-27,Granada,La Liga,4-3-3
266916,2015-03-08,Rayo Vallecano,La Liga,4-3-3
267197,2015-05-23,RC Deportivo La Coruña,La Liga,4-3-3
70264,2014-12-13,Getafe,La Liga,4-3-3
70273,2014-09-13,Athletic Club,La Liga,4-3-3
267301,2014-11-01,Celta Vigo,La Liga,4-3-3
265896,2014-10-18,Eibar,La Liga,4-3-3
265866,2015-05-02,Córdoba CF,La Liga,4-3-3
267400,2015-04-08,Almería,La Liga,4-3-3
266406,2014-08-31,Villarreal,La Liga,4-3-3
267085,2014-10-25,Real Madrid,La Liga,4-3-3
267561,2014-10-04,Rayo Vallecano,La Liga,4-3-3
266148,2015-02-21,Málaga,La Liga,4-3-3
266045,2015-05-09,Real Sociedad,La Liga,4-3-3
70303,2015-01-11,Atlético Madrid,La Liga,4-3-3
266240,2015-01-04,Real Sociedad,La Liga,4-3-3
267597,2015-02-01,Villarreal,La Liga,4-3-3
266794,2015-01-24,Elche,La Liga,4-3-3
267343,2015-02-28,Granada,La Liga,4-3-3
266631,2015-05-17,Atlético Madrid,La Liga,4-3-3
266320,2014-12-07,Espanyol,La Liga,4-3-3
266230,2015-01-18,RC Deportivo La Coruña,La Liga,4-3-3
266525,2015-04-18,Valencia,La Liga,4-3-3
266560,2014-11-30,Valencia,La Liga,4-3-3
266846,2014-12-20,Córdoba CF,La Liga,4-3-3
266531,2015-04-25,Espanyol,La Liga,4-3-3
266921,2014-08-24,Elche,La Liga,4-3-3
267499,2014-11-08,Almería,La Liga,4-3-3
266741,2015-02-15,Levante UD,La Liga,4-3-3
266871,2015-02-08,Athletic Club,La Liga,4-3-3
266967,2015-03-14,Eibar,La Liga,4-3-3
266929,2015-04-05,Celta Vigo,La Liga,4-3-3
266770,2014-09-21,Levante UD,La Liga,4-3-3
266142,2015-04-11,Sevilla,La Liga,4-3-3
267368,2014-04-05,Real Betis,La Liga,4-3-3
70301,2013-09-14,Sevilla,La Liga,4-3-3
70298,2013-09-01,Valencia,La Liga,4-3-3
70302,2013-09-21,Rayo Vallecano,La Liga,4-3-3
70291,2014-01-26,Málaga,La Liga,4-3-3
267138,2014-04-12,Granada,La Liga,4-3-3
267520,2013-09-24,Real Sociedad,La Liga,4-3-3
70289,2014-04-27,Villarreal,La Liga,4-3-3
266066,2014-03-02,Almería,La Liga,4-3-3
267675,2014-02-09,Sevilla,La Liga,4-3-3
70288,2014-01-19,Levante UD,La Liga,4-3-3
266074,2014-03-16,Osasuna,La Liga,4-3-3
267567,2014-04-20,Athletic Club,La Liga,4-3-3
266201,2014-05-11,Elche,La Liga,4-3-3
266274,2014-03-26,Celta Vigo,La Liga,4-3-3
70293,2013-10-26,Real Madrid,La Liga,4-3-3
265918,2014-02-15,Rayo Vallecano,La Liga,4-3-3
70277,2013-08-18,Levante UD,La Liga,4-3-3
70283,2013-11-01,Espanyol,La Liga,4-3-3
70306,2014-03-29,Espanyol,La Liga,4-3-3
266256,2014-05-17,Atlético Madrid,La Liga,4-3-3
266613,2014-02-01,Valencia,La Liga,4-3-3
266491,2014-05-03,Getafe,La Liga,4-3-3
265830,2014-01-11,Atlético Madrid,La Liga,4-1-2-1-2
