id_partido,fecha,equipo_rival,resultado,fase,minuto,jugador_implicado,tipo_evento,detalle_accion,etiqueta_partido
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,8,Javier Mascherano,Tarjeta Amarilla,0:0  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,9,Anwar El Ghazi,Tarjeta Amarilla,0:0  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,34,Joël Veltman,Tarjeta Amarilla,0:0  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,36,Lionel Messi,Gol,Asistencia de Marc Bartra,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,40,Niklas Moisander,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,42,Jordi Alba,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,45,Dani Alves,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,62,Arkadiusz Milik,Sustitución,Entra al campo (Sale Kolbeinn Sigþórsson),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,71,Joël Veltman,Tarjeta Roja,0:1  — Second Yellow Card,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,72,Jaïro Riedewald,Sustitución,Entra al campo (Sale Lucas Andersen),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,75,Pedro,Sustitución,Entra al campo (Sale Neymar),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,76,Lionel Messi,Gol,Asistencia de Pedro,"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,80,Rafinha,Sustitución,Entra al campo (Sale Ivan Rakitić),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,80,Stefano Denswil,Sustitución,Entra al campo (Sale Thulani Serero),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2936489711,"Wednesday November 5, 2014",Ajax,0-2,Fase de Grupos,83,Adriano,Sustitución,Entra al campo (Sale Dani Alves),"Fase de Grupos vs Ajax (Wednesday November 5, 2014)"
2046986569,"Tuesday November 25, 2014",APOEL FC,0-4,Fase de Grupos,27,Luis Suárez,Gol,Asistencia de Jordi Alba,"Fase de Grupos vs APOEL FC (Tuesday November 25, 2014)"
2046986569,"Tuesday November 25, 2014",APOEL FC,0-4,Fase de Grupos,31,Carlão,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs APOEL FC (Tuesday November 25, 2014)"
2046986569,"Tuesday November 25, 2014",APOEL FC,0-4,Fase de Grupos,33,Dani Alves,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs APOEL FC (Tuesday November 25, 2014)"
2046986569,"Tuesday November 25, 2014",APOEL FC,0-4,Fase de Grupos,35,Rafinha,Tarjeta Amarilla,0:1  — Yellow Card,"Fase de Grupos vs APOEL FC (Tuesday November 25, 2014)"
