id_partido,fecha,equipo_rival,minuto,jugador_implicado,tipo_evento,detalle_accion,fase
427255149,"Tuesday March 8, 2011",Arsenal,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,Javier Mascherano,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,Pedro,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,David Villa,TITULAR,Alineación Inicial,Champions
427255149,"Tuesday March 8, 2011",Arsenal,0,Xavi,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Mark van Bommel,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Giovanni van Bronckhorst,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Deco,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Edmílson,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Ludovic Giuly,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Oleguer Presas,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Ronaldinho,TITULAR,Alineación Inicial,Champions
305710489,"Wednesday May 17, 2006",Arsenal,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Sergio Busquets,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Thierry Henry,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Alexander Hleb,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Bojan Krkić,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Víctor Sánchez,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Sylvinho,TITULAR,Alineación Inicial,Champions
3901541334,"Tuesday November 4, 2008",Basel,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Dani Alves,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Thierry Henry,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Yaya Touré,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
3665978002,"Wednesday April 8, 2009",Bayern Munich,0,Xavi,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Jordi Alba,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Dani Alves,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Sergio Busquets,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Javier Mascherano,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Neymar,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Ivan Rakitić,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Luis Suárez,TITULAR,Alineación Inicial,Champions
3058439297,"Wednesday May 6, 2015",Bayern Munich,0,Marc-André ter Stegen,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Juliano Belletti,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Mark van Bommel,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Giovanni van Bronckhorst,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Deco,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Henrik Larsson,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Oleguer Presas,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Ronaldinho,TITULAR,Alineación Inicial,Champions
2327558886,"Wednesday April 5, 2006",Benfica,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Éric Abidal,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Dani Alves,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Thierry Henry,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Yaya Touré,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
3751565131,"Tuesday April 28, 2009",Chelsea,0,Xavi,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Giovanni van Bronckhorst,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Deco,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Edmílson,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Thiago Motta,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Oleguer Presas,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Ronaldinho,TITULAR,Alineación Inicial,Champions
1862612193,"Tuesday March 7, 2006",Chelsea,0,Víctor Valdés,TITULAR,Alineación Inicial,Champions
