id_partido,fecha,rival,posesion_barca,goles_barca
1324479335,"Wednesday March 28, 2012",Milan,,0
3221686141,"Wednesday November 23, 2011",Milan,,2
546009144,"Thursday September 19, 2024",Monaco,,2
1593901533,"Tuesday October 18, 2005",Panathinaikos,,0
1999881512,"Tuesday April 2, 2013",Paris Saint-Germain,,2
1388414820,"Wednesday November 28, 2018",PSV Eindhoven,,1
954259630,"Tuesday October 23, 2007",Rangers,,0
1983053027,"Wednesday November 6, 2024",Red Star,,2
2354540978,"Wednesday November 4, 2009",Rubin Kazan,,0
2398703832,"Tuesday April 1, 2008",Schalke 04,,0
3619459621,"Tuesday November 20, 2012",Spartak Moscow,,0
2331343780,"Tuesday February 23, 2010",Stuttgart,,1
4149006342,"Tuesday October 2, 2007",Stuttgart,,0
1259345010,"Wednesday October 3, 2018",Tottenham Hotspur,,2
2863598613,"Wednesday December 7, 2005",Udinese,,0
698832190,"Tuesday November 1, 2011",Viktoria Plzeň,,0
1285760224,"Wednesday September 14, 2005",Werder Bremen,,0
