season,player,nation,pos,age,mp,starts,min,goals,assists
2013-2014,Gil Patri,,,,1,0,22,0,0
2013-2014,Jean Marie Dongou,cm CMR,FW,18.0,1,0,9,0,0
2013-2014,Adama Traoré,es ESP,"FW,MF",17.0,1,0,8,0,0
2014-2015,Lionel Messi,ar ARG,"FW,MF",27.0,13,13,1147,10,6
2014-2015,Neymar,br BRA,"FW,MF",22.0,12,12,1027,10,1
2014-2015,Luis Suárez,uy URU,FW,27.0,10,10,828,7,3
2014-2015,Ivan Rakitić,hr CRO,MF,26.0,12,11,886,2,1
2014-2015,Gerard Piqué,es ESP,DF,27.0,11,11,990,1,0
2014-2015,Sandro Ramírez,es ESP,"FW,MF",19.0,3,0,57,1,0
2014-2015,Marc-André ter Stegen,de GER,GK,22.0,13,13,1170,0,0
2014-2015,Javier Mascherano,ar ARG,"DF,MF",30.0,12,12,1079,0,1
2014-2015,Jordi Alba,es ESP,"DF,MF",25.0,11,11,962,0,1
2014-2015,Dani Alves,br BRA,"DF,MF",31.0,11,11,961,0,4
2014-2015,Andrés Iniesta,es ESP,MF,30.0,11,10,787,0,5
2014-2015,Sergio Busquets,es ESP,MF,26.0,10,9,788,0,0
2014-2015,Marc Bartra,es ESP,DF,23.0,6,5,451,0,1
2014-2015,Pedro,es ESP,"FW,MF",27.0,9,4,394,0,2
2014-2015,Jérémy Mathieu,fr FRA,DF,30.0,7,3,323,0,0
2014-2015,Xavi,es ESP,MF,34.0,10,2,333,0,0
2014-2015,Adriano,br BRA,"DF,MF",29.0,7,1,150,0,0
2014-2015,Munir El Haddadi,ma MAR,"FW,MF",18.0,3,1,119,0,0
2014-2015,Rafinha,br BRA,MF,21.0,6,1,114,0,1
2014-2015,Sergi Roberto,es ESP,"DF,MF",22.0,2,1,114,0,0
2014-2015,Sergi Samper,es ESP,MF,19.0,1,1,90,0,0
2014-2015,Martín Montoya,es ESP,DF,23.0,1,1,80,0,0
2014-2015,Claudio Bravo,cl CHI,GK,31.0,0,0,0,0,0
2014-2015,Douglas,br BRA,DF,23.0,0,0,0,0,0
2014-2015,Thomas Vermaelen,be BEL,DF,28.0,0,0,0,0,0
2015-2016,Luis Suárez,uy URU,FW,28.0,9,9,810,8,3
2015-2016,Lionel Messi,ar ARG,FW,28.0,7,7,630,6,1
